replicate_index	threshold_years	sample_frequency	null	null_size	null_mean	observed	p_value
0	10000.0	0.63	chb_unconditional	100000	0.0050723809523809515	0.0	1.0
0	10000.0	0.63	eas_unconditional	100000	0.007698809523809523	0.0	1.0
0	10000.0	0.63	snp_hom_matched	246	0.012269707820074196	0.0	1.0
0	10000.0	0.63	introgressed_hom_matched	307	0.00548752526924663	0.0	1.0
0	20000.0	0.63	chb_unconditional	100000	0.022451904761904763	0.14285714285714285	0.00037999620003799963
0	20000.0	0.63	eas_unconditional	100000	0.045891190476190474	0.14285714285714285	0.013899861001389987
0	20000.0	0.63	snp_hom_matched	246	0.07626147545614484	0.14285714285714285	0.11740890688259109
0	20000.0	0.63	introgressed_hom_matched	307	0.03839169205701243	0.14285714285714285	0.016233766233766232
0	30000.0	0.63	chb_unconditional	100000	0.07667880952380952	0.5476190476190477	9.99990000099999e-06
0	30000.0	0.63	eas_unconditional	100000	0.10005785714285714	0.5476190476190477	9.99990000099999e-06
0	30000.0	0.63	snp_hom_matched	246	0.17534058756779813	0.5476190476190477	0.004048582995951417
0	30000.0	0.63	introgressed_hom_matched	307	0.15489463229683284	0.5476190476190477	0.006493506493506494
0	50000.0	0.63	chb_unconditional	100000	0.31253976190476185	1.0	0.0003699963000369996
0	50000.0	0.63	eas_unconditional	100000	0.20457642857142855	1.0	9.99990000099999e-06
0	50000.0	0.63	snp_hom_matched	246	0.37283008118110605	1.0	0.016194331983805668
0	50000.0	0.63	introgressed_hom_matched	307	0.8603707328048054	1.0	0.5324675324675324
1	10000.0	0.77	chb_unconditional	100000	0.005071228070175438	0.017543859649122806	0.2537674623253767
1	10000.0	0.77	eas_unconditional	100000	0.0077043859649122805	0.017543859649122806	0.35708642913570865
1	10000.0	0.77	snp_hom_matched	367	0.00891652027512995	0.017543859649122806	0.23641304347826086
1	10000.0	0.77	introgressed_hom_matched	125	0.0029897576056444465	0.017543859649122806	0.09523809523809523
1	20000.0	0.77	chb_unconditional	100000	0.02241	0.14035087719298245	9.99990000099999e-06
1	20000.0	0.77	eas_unconditional	100000	0.04600982456140351	0.14035087719298245	0.006649933500664993
1	20000.0	0.77	snp_hom_matched	367	0.05592404155758987	0.14035087719298245	0.002717391304347826
1	20000.0	0.77	introgressed_hom_matched	125	0.023450564517460505	0.14035087719298245	0.007936507936507936
1	30000.0	0.77	chb_unconditional	100000	0.07671087719298245	1.0	9.99990000099999e-06
1	30000.0	0.77	eas_unconditional	100000	0.09993052631578947	1.0	9.99990000099999e-06
1	30000.0	0.77	snp_hom_matched	367	0.1267733106601841	1.0	0.002717391304347826
1	30000.0	0.77	introgressed_hom_matched	125	0.1000047375700041	1.0	0.007936507936507936
1	50000.0	0.77	chb_unconditional	100000	0.31243666666666664	1.0	0.00026999730002699973
1	50000.0	0.77	eas_unconditional	100000	0.20432719298245614	1.0	9.99990000099999e-06
1	50000.0	0.77	snp_hom_matched	367	0.273177183877481	1.0	0.005434782608695652
1	50000.0	0.77	introgressed_hom_matched	125	0.8307078883601717	1.0	0.3888888888888889
2	10000.0	0.53	chb_unconditional	100000	0.005018965517241381	0.0	1.0
2	10000.0	0.53	eas_unconditional	100000	0.007794137931034485	0.0	1.0
2	10000.0	0.53	snp_hom_matched	246	0.012269707820074196	0.0	1.0
2	10000.0	0.53	introgressed_hom_matched	307	0.00548752526924663	0.0	1.0
2	20000.0	0.53	chb_unconditional	100000	0.022318965517241385	0.27586206896551724	9.99990000099999e-06
2	20000.0	0.53	eas_unconditional	100000	0.04595172413793104	0.27586206896551724	5.999940000599994e-05
2	20000.0	0.53	snp_hom_matched	246	0.07626147545614484	0.27586206896551724	0.004048582995951417
2	20000.0	0.53	introgressed_hom_matched	307	0.03839169205701243	0.27586206896551724	0.003246753246753247
2	30000.0	0.53	chb_unconditional	100000	0.07677517241379311	1.0	9.99990000099999e-06
2	30000.0	0.53	eas_unconditional	100000	0.10001034482758621	1.0	9.99990000099999e-06
2	30000.0	0.53	snp_hom_matched	246	0.17534058756779813	1.0	0.004048582995951417
2	30000.0	0.53	introgressed_hom_matched	307	0.15489463229683284	1.0	0.003246753246753247
2	50000.0	0.53	chb_unconditional	100000	0.3127331034482759	1.0	0.0005699943000569994
2	50000.0	0.53	eas_unconditional	100000	0.20438379310344829	1.0	9.99990000099999e-06
2	50000.0	0.53	snp_hom_matched	246	0.37283008118110605	1.0	0.016194331983805668
2	50000.0	0.53	introgressed_hom_matched	307	0.8603707328048054	1.0	0.5324675324675324
3	10000.0	0.51	chb_unconditional	100000	0.005035185185185185	0.037037037037037035	0.12794872051279488
3	10000.0	0.51	eas_unconditional	100000	0.007781851851851851	0.037037037037037035	0.1896881031189688
3	10000.0	0.51	snp_hom_matched	246	0.012269707820074196	0.037037037037037035	0.11336032388663968
3	10000.0	0.51	introgressed_hom_matched	307	0.00548752526924663	0.037037037037037035	0.03896103896103896
3	20000.0	0.51	chb_unconditional	100000	0.02234111111111111	0.2222222222222222	2.999970000299997e-05
3	20000.0	0.51	eas_unconditional	100000	0.04587851851851852	0.2222222222222222	0.0015999840001599984
3	20000.0	0.51	snp_hom_matched	246	0.07626147545614484	0.2222222222222222	0.008097165991902834
3	20000.0	0.51	introgressed_hom_matched	307	0.03839169205701243	0.2222222222222222	0.003246753246753247
3	30000.0	0.51	chb_unconditional	100000	0.07665444444444446	0.6666666666666666	9.99990000099999e-06
3	30000.0	0.51	eas_unconditional	100000	0.09988407407407408	0.6666666666666666	9.99990000099999e-06
3	30000.0	0.51	snp_hom_matched	246	0.17534058756779813	0.6666666666666666	0.004048582995951417
3	30000.0	0.51	introgressed_hom_matched	307	0.15489463229683284	0.6666666666666666	0.003246753246753247
3	50000.0	0.51	chb_unconditional	100000	0.3121666666666667	0.6666666666666666	0.02769972300276997
3	50000.0	0.51	eas_unconditional	100000	0.20477037037037035	0.6666666666666666	0.0011599884001159987
3	50000.0	0.51	snp_hom_matched	246	0.37283008118110605	0.6666666666666666	0.08502024291497975
3	50000.0	0.51	introgressed_hom_matched	307	0.8603707328048054	0.6666666666666666	0.788961038961039
4	10000.0	0.495	chb_unconditional	100000	0.00504782608695652	0.0	1.0
4	10000.0	0.495	eas_unconditional	100000	0.007708260869565216	0.0	1.0
4	10000.0	0.495	snp_hom_matched	137	0.01480175964779112	0.0	1.0
4	10000.0	0.495	introgressed_hom_matched	714	0.011329466695701689	0.0	1.0
4	20000.0	0.495	chb_unconditional	100000	0.02249173913043478	0.2608695652173913	1.999980000199998e-05
4	20000.0	0.495	eas_unconditional	100000	0.04576173913043477	0.2608695652173913	0.0007399926000739993
4	20000.0	0.495	snp_hom_matched	137	0.09308146518797861	0.2608695652173913	0.021739130434782608
4	20000.0	0.495	introgressed_hom_matched	714	0.05616421676584271	0.2608695652173913	0.008391608391608392
4	30000.0	0.495	chb_unconditional	100000	0.0768169565217391	1.0	9.99990000099999e-06
4	30000.0	0.495	eas_unconditional	100000	0.10002173913043476	1.0	9.99990000099999e-06
4	30000.0	0.495	snp_hom_matched	137	0.22836013612564718	1.0	0.007246376811594203
4	30000.0	0.495	introgressed_hom_matched	714	0.2194981990592516	1.0	0.004195804195804196
4	50000.0	0.495	chb_unconditional	100000	0.3123204347826087	1.0	0.0008099919000809992
4	50000.0	0.495	eas_unconditional	100000	0.20458086956521737	1.0	9.99990000099999e-06
4	50000.0	0.495	snp_hom_matched	137	0.49896869292637314	1.0	0.09420289855072464
4	50000.0	0.495	introgressed_hom_matched	714	0.9068623816394586	1.0	0.6853146853146853
5	10000.0	1.0	chb_unconditional	100000	0.005082099999999999	0.01	0.4045359546404536
5	10000.0	1.0	eas_unconditional	100000	0.007723199999999999	0.01	0.5394346056539434
5	10000.0	1.0	snp_hom_matched	367	0.00891652027512995	0.01	0.483695652173913
5	10000.0	1.0	introgressed_hom_matched	125	0.0029897576056444465	0.01	0.1746031746031746
5	20000.0	1.0	chb_unconditional	100000	0.0223988	0.03	0.3885361146388536
5	20000.0	1.0	eas_unconditional	100000	0.04587220000000001	0.03	0.8260817391826082
5	20000.0	1.0	snp_hom_matched	367	0.05592404155758987	0.03	0.8070652173913043
5	20000.0	1.0	introgressed_hom_matched	125	0.023450564517460505	0.03	0.3412698412698413
5	30000.0	1.0	chb_unconditional	100000	0.0767372	0.08	0.4861251387486125
5	30000.0	1.0	eas_unconditional	100000	0.09999740000000001	0.08	0.7338426615733843
5	30000.0	1.0	snp_hom_matched	367	0.1267733106601841	0.08	0.7907608695652174
5	30000.0	1.0	introgressed_hom_matched	125	0.1000047375700041	0.08	0.6507936507936508
5	50000.0	1.0	chb_unconditional	100000	0.3125234	0.85	0.003959960400395996
5	50000.0	1.0	eas_unconditional	100000	0.20444449999999997	0.85	2.999970000299997e-05
5	50000.0	1.0	snp_hom_matched	367	0.273177183877481	0.85	0.008152173913043478
5	50000.0	1.0	introgressed_hom_matched	125	0.8307078883601717	0.85	0.6428571428571429
6	10000.0	0.65	chb_unconditional	100000	0.005061111111111112	0.044444444444444446	0.02067979320206798
6	10000.0	0.65	eas_unconditional	100000	0.007678222222222222	0.044444444444444446	0.04802951970480295
6	10000.0	0.65	snp_hom_matched	246	0.012269707820074196	0.044444444444444446	0.048582995951417005
6	10000.0	0.65	introgressed_hom_matched	307	0.00548752526924663	0.044444444444444446	0.01948051948051948
6	20000.0	0.65	chb_unconditional	100000	0.022478222222222226	0.2222222222222222	9.99990000099999e-06
6	20000.0	0.65	eas_unconditional	100000	0.04581511111111111	0.2222222222222222	0.00010999890001099989
6	20000.0	0.65	snp_hom_matched	246	0.07626147545614484	0.2222222222222222	0.008097165991902834
6	20000.0	0.65	introgressed_hom_matched	307	0.03839169205701243	0.2222222222222222	0.003246753246753247
6	30000.0	0.65	chb_unconditional	100000	0.07670644444444444	1.0	9.99990000099999e-06
6	30000.0	0.65	eas_unconditional	100000	0.09998733333333333	1.0	9.99990000099999e-06
6	30000.0	0.65	snp_hom_matched	246	0.17534058756779813	1.0	0.004048582995951417
6	30000.0	0.65	introgressed_hom_matched	307	0.15489463229683284	1.0	0.003246753246753247
6	50000.0	0.65	chb_unconditional	100000	0.3123473333333333	1.0	0.0003599964000359996
6	50000.0	0.65	eas_unconditional	100000	0.20434777777777777	1.0	9.99990000099999e-06
6	50000.0	0.65	snp_hom_matched	246	0.37283008118110605	1.0	0.016194331983805668
6	50000.0	0.65	introgressed_hom_matched	307	0.8603707328048054	1.0	0.5324675324675324
7	10000.0	0.7	chb_unconditional	100000	0.005078823529411763	0.0196078431372549	0.23006769932300677
7	10000.0	0.7	eas_unconditional	100000	0.007733921568627448	0.0196078431372549	0.3274467255327447
7	10000.0	0.7	snp_hom_matched	367	0.00891652027512995	0.0196078431372549	0.1793478260869565
7	10000.0	0.7	introgressed_hom_matched	125	0.0029897576056444465	0.0196078431372549	0.047619047619047616
7	20000.0	0.7	chb_unconditional	100000	0.02244823529411764	0.09803921568627451	0.005399946000539994
7	20000.0	0.7	eas_unconditional	100000	0.045915882352941174	0.09803921568627451	0.09074909250907491
7	20000.0	0.7	snp_hom_matched	367	0.05592404155758987	0.09803921568627451	0.09510869565217392
7	20000.0	0.7	introgressed_hom_matched	125	0.023450564517460505	0.09803921568627451	0.007936507936507936
7	30000.0	0.7	chb_unconditional	100000	0.0766156862745098	1.0	9.99990000099999e-06
7	30000.0	0.7	eas_unconditional	100000	0.10008725490196078	1.0	9.99990000099999e-06
7	30000.0	0.7	snp_hom_matched	367	0.1267733106601841	1.0	0.002717391304347826
7	30000.0	0.7	introgressed_hom_matched	125	0.1000047375700041	1.0	0.007936507936507936
7	50000.0	0.7	chb_unconditional	100000	0.3124749019607843	1.0	0.00032999670003299966
7	50000.0	0.7	eas_unconditional	100000	0.20435784313725489	1.0	9.99990000099999e-06
7	50000.0	0.7	snp_hom_matched	367	0.273177183877481	1.0	0.005434782608695652
7	50000.0	0.7	introgressed_hom_matched	125	0.8307078883601717	1.0	0.3888888888888889
8	10000.0	0.525	chb_unconditional	100000	0.005058000000000001	0.02857142857142857	0.16336836631633683
8	10000.0	0.525	eas_unconditional	100000	0.007727714285714287	0.02857142857142857	0.23767762322376776
8	10000.0	0.525	snp_hom_matched	246	0.012269707820074196	0.02857142857142857	0.2145748987854251
