source	estimand	unit_id	replicate_index	threshold_years	statistic	observed_selection_score	n_null	null_mean	null_median	null_sd	null_q025	null_q05	null_q95	null_q975	null_upper_exceedance_count	mc_p_upper	neutral_bank_scope	inference_scope	bh_q_upper
gamma_smc	final_af_matched_alt_alt_minus_ref_ref	ancient_eurasia_han_introgression__af20__selected_s0p010__rep002	2	50000	p_hom_alt_minus_hom_ref	0.261144178925	100	0.346481052909	0.350635550492	0.288386631327	-0.211926525581	-0.158701576453	0.791566109284	0.824365453565	63	0.633663366337	same_demography_same_target_af_same_sample_size	selection_isolating_final_af_matched_genotype_contrast_sensitivity	0.633663366337
gamma_smc	final_af_matched_alt_alt_minus_ref_ref	ancient_eurasia_han_introgression__af20__selected_s0p010__rep003	3	1000	p_hom_alt_minus_hom_ref	0.199843044763	100	0.039093175532	0.0119646812107	0.0777213596751	-0.0277554957507	-0.0219682733503	0.215907528707	0.320115224211	6	0.0693069306931	same_demography_same_target_af_same_sample_size	selection_isolating_final_af_matched_genotype_contrast_sensitivity	0.161716171617
gamma_smc	final_af_matched_alt_alt_minus_ref_ref	ancient_eurasia_han_introgression__af20__selected_s0p010__rep003	3	4500	p_hom_alt_minus_hom_ref	0.474400062088	100	0.114292721189	0.0734906538833	0.146422271736	-0.0719424292895	-0.0398900101552	0.410471370395	0.476402082378	3	0.039603960396	same_demography_same_target_af_same_sample_size	selection_isolating_final_af_matched_genotype_contrast_sensitivity	0.161716171617
gamma_smc	final_af_matched_alt_alt_minus_ref_ref	ancient_eurasia_han_introgression__af20__selected_s0p010__rep003	3	10000	p_hom_alt_minus_hom_ref	0.571285492674	100	0.1858550775	0.144749367481	0.203921957603	-0.104132240131	-0.056986765496	0.570278115575	0.643292855559	5	0.0594059405941	same_demography_same_target_af_same_sample_size	selection_isolating_final_af_matched_genotype_contrast_sensitivity	0.161716171617
gamma_smc	final_af_matched_alt_alt_minus_ref_ref	ancient_eurasia_han_introgression__af20__selected_s0p010__rep003	3	20000	p_hom_alt_minus_hom_ref	0.571199369918	100	0.256582720711	0.240220138923	0.246853503638	-0.144362494574	-0.0839820384151	0.705907466775	0.749723411303	14	0.148514851485	same_demography_same_target_af_same_sample_size	selection_isolating_final_af_matched_genotype_contrast_sensitivity	0.259900990099
gamma_smc	final_af_matched_alt_alt_minus_ref_ref	ancient_eurasia_han_introgression__af20__selected_s0p010__rep003	3	30000	p_hom_alt_minus_hom_ref	0.548060639946	100	0.297552365688	0.283828366226	0.266722245367	-0.169163722446	-0.111077311424	0.752355854355	0.802375699805	20	0.207920792079	same_demography_same_target_af_same_sample_size	selection_isolating_final_af_matched_genotype_contrast_sensitivity	0.288778877888
gamma_smc	final_af_matched_alt_alt_minus_ref_ref	ancient_eurasia_han_introgression__af20__selected_s0p010__rep003	3	40000	p_hom_alt_minus_hom_ref	0.529539400313	100	0.32550499247	0.337033778566	0.279131391209	-0.188630049715	-0.134565248651	0.798588911683	0.813758493156	24	0.247524752475	same_demography_same_target_af_same_sample_size	selection_isolating_final_af_matched_genotype_contrast_sensitivity	0.288778877888
gamma_smc	final_af_matched_alt_alt_minus_ref_ref	ancient_eurasia_han_introgression__af20__selected_s0p010__rep003	3	50000	p_hom_alt_minus_hom_ref	0.514714024549	100	0.346481052909	0.350635550492	0.288386631327	-0.211926525581	-0.158701576453	0.791566109284	0.824365453565	32	0.326732673267	same_demography_same_target_af_same_sample_size	selection_isolating_final_af_matched_genotype_contrast_sensitivity	0.326732673267
gamma_smc	final_af_matched_alt_alt_minus_ref_ref	ancient_eurasia_han_introgression__af20__selected_s0p010__rep004	4	1000	p_hom_alt_minus_hom_ref	-0.00864261100896	100	0.039093175532	0.0119646812107	0.0777213596751	-0.0277554957507	-0.0219682733503	0.215907528707	0.320115224211	84	0.841584158416	same_demography_same_target_af_same_sample_size	selection_isolating_final_af_matched_genotype_contrast_sensitivity	0.841584158416
gamma_smc	final_af_matched_alt_alt_minus_ref_ref	ancient_eurasia_han_introgression__af20__selected_s0p010__rep004	4	4500	p_hom_alt_minus_hom_ref	0.0972487563678	100	0.114292721189	0.0734906538833	0.146422271736	-0.0719424292895	-0.0398900101552	0.410471370395	0.476402082378	44	0.445544554455	same_demography_same_target_af_same_sample_size	selection_isolating_final_af_matched_genotype_contrast_sensitivity	0.519801980198
gamma_smc	final_af_matched_alt_alt_minus_ref_ref	ancient_eurasia_han_introgression__af20__selected_s0p010__rep004	4	10000	p_hom_alt_minus_hom_ref	0.278961393306	100	0.1858550775	0.144749367481	0.203921957603	-0.104132240131	-0.056986765496	0.570278115575	0.643292855559	29	0.29702970297	same_demography_same_target_af_same_sample_size	selection_isolating_final_af_matched_genotype_contrast_sensitivity	0.415841584158
gamma_smc	final_af_matched_alt_alt_minus_ref_ref	ancient_eurasia_han_introgression__af20__selected_s0p010__rep004	4	20000	p_hom_alt_minus_hom_ref	0.409069984286	100	0.256582720711	0.240220138923	0.246853503638	-0.144362494574	-0.0839820384151	0.705907466775	0.749723411303	26	0.267326732673	same_demography_same_target_af_same_sample_size	selection_isolating_final_af_matched_genotype_contrast_sensitivity	0.415841584158
