source	unit_id	simulation_class	selection_coefficient	target_allele_frequency	replicate_index	panel_n_diploid_samples	threshold_years	p_overall	p_hom_ref	p_hom_alt	p_hom_alt_minus_hom_ref	bank_role	score_scope
gamma_smc	ancient_eurasia_han_introgression__af20__neutral__rep004	neutral	0	0.2	4	100	30000	0.099380428537	0.107031211728	0.77201132577	0.664980114042	matched_af_sensitivity	focal_nearest_within_diploid
gamma_smc	ancient_eurasia_han_introgression__af20__neutral__rep004	neutral	0	0.2	4	100	40000	0.110391084945	0.123254319051	0.7877080188	0.664453699749	matched_af_sensitivity	focal_nearest_within_diploid
gamma_smc	ancient_eurasia_han_introgression__af20__neutral__rep004	neutral	0	0.2	4	100	50000	0.118871512563	0.135438136314	0.804777633043	0.669339496729	matched_af_sensitivity	focal_nearest_within_diploid
gamma_smc	ancient_eurasia_han_introgression__af20__neutral__rep005	neutral	0	0.2	5	100	1000	0.00481037492051	0.00723914113323	0.00832386688586	0.00108472575263	matched_af_sensitivity	focal_nearest_within_diploid
gamma_smc	ancient_eurasia_han_introgression__af20__neutral__rep005	neutral	0	0.2	5	100	4500	0.0176245296748	0.0257697475903	0.0463196230981	0.0205498755078	matched_af_sensitivity	focal_nearest_within_diploid
gamma_smc	ancient_eurasia_han_introgression__af20__neutral__rep005	neutral	0	0.2	5	100	10000	0.0302448359201	0.0424273881975	0.117186045188	0.0747586569905	matched_af_sensitivity	focal_nearest_within_diploid
gamma_smc	ancient_eurasia_han_introgression__af20__neutral__rep005	neutral	0	0.2	5	100	20000	0.0457200963047	0.0602019980856	0.259761250358	0.199559252272	matched_af_sensitivity	focal_nearest_within_diploid
gamma_smc	ancient_eurasia_han_introgression__af20__neutral__rep005	neutral	0	0.2	5	100	30000	0.0568847361715	0.0712716385788	0.399453462229	0.32818182365	matched_af_sensitivity	focal_nearest_within_diploid
gamma_smc	ancient_eurasia_han_introgression__af20__neutral__rep005	neutral	0	0.2	5	100	40000	0.0654942548813	0.0790399485157	0.523302910548	0.444262962032	matched_af_sensitivity	focal_nearest_within_diploid
gamma_smc	ancient_eurasia_han_introgression__af20__neutral__rep005	neutral	0	0.2	5	100	50000	0.0726476305525	0.0854632945791	0.626858498921	0.541395204342	matched_af_sensitivity	focal_nearest_within_diploid
gamma_smc	ancient_eurasia_han_introgression__af20__neutral__rep006	neutral	0	0.2	6	100	1000	0.015112829299	0.0239842890096	9.09074327703e-05	-0.0238933815768	matched_af_sensitivity	focal_nearest_within_diploid
gamma_smc	ancient_eurasia_han_introgression__af20__neutral__rep006	neutral	0	0.2	6	100	4500	0.0551199277211	0.0874253920262	0.00139769148611	-0.0860277005401	matched_af_sensitivity	focal_nearest_within_diploid
gamma_smc	ancient_eurasia_han_introgression__af20__neutral__rep006	neutral	0	0.2	6	100	10000	0.0962310241427	0.152473877494	0.00574937738302	-0.146724500111	matched_af_sensitivity	focal_nearest_within_diploid
gamma_smc	ancient_eurasia_han_introgression__af20__neutral__rep006	neutral	0	0.2	6	100	20000	0.15056332516	0.238101775539	0.0186402190096	-0.219461556529	matched_af_sensitivity	focal_nearest_within_diploid
gamma_smc	ancient_eurasia_han_introgression__af20__neutral__rep006	neutral	0	0.2	6	100	30000	0.189816935851	0.299599354545	0.0356447495827	-0.263954604962	matched_af_sensitivity	focal_nearest_within_diploid
gamma_smc	ancient_eurasia_han_introgression__af20__neutral__rep006	neutral	0	0.2	6	100	40000	0.219310520327	0.345494672755	0.0549625497014	-0.290532123054	matched_af_sensitivity	focal_nearest_within_diploid
