unit_id	simulation_class	demography_id	source	destination	operation	stale_reason	completion_present	partial_contract_present	file_count	total_size_bytes	inventory_sha256	lock_held
eas_phlash_median__af10__selected_s0p010__rep005	selected	eas_phlash_median	focused_selection_EAS_sim/work/eas_phlash_median__af10__selected_s0p010__rep005	focused_selection_EAS_sim/quarantine/pre_focused_eas_selected_production/eas_phlash_median__af10__selected_s0p010__rep005	same_volume_rename_not_executed	eas_selected_directory_predates_frozen_production_adapter_binding	True	True	19	16642721	56ef032fa34603e4dd4a637e70b74b32d34b136915c4dfd12ce5ae469455db8f	False
eas_phlash_median__af10__selected_s0p010__rep006	selected	eas_phlash_median	focused_selection_EAS_sim/work/eas_phlash_median__af10__selected_s0p010__rep006	focused_selection_EAS_sim/quarantine/pre_focused_eas_selected_production/eas_phlash_median__af10__selected_s0p010__rep006	same_volume_rename_not_executed	eas_selected_directory_predates_frozen_production_adapter_binding	False	True	16	19959	6d59fce2206bb51e370a13a5c7b029ce32d3cc605efbf97845e9b2c997f125dc	False
eas_phlash_median__af10__selected_s0p010__rep007	selected	eas_phlash_median	focused_selection_EAS_sim/work/eas_phlash_median__af10__selected_s0p010__rep007	focused_selection_EAS_sim/quarantine/pre_focused_eas_selected_production/eas_phlash_median__af10__selected_s0p010__rep007	same_volume_rename_not_executed	eas_selected_directory_predates_frozen_production_adapter_binding	True	True	21	16637218	1328e2357aa5b14fbb0bf6097fa33a3eaec64b899837b3e25178ae9cfbf930bf	False
eas_phlash_median__af10__selected_s0p010__rep008	selected	eas_phlash_median	focused_selection_EAS_sim/work/eas_phlash_median__af10__selected_s0p010__rep008	focused_selection_EAS_sim/quarantine/pre_focused_eas_selected_production/eas_phlash_median__af10__selected_s0p010__rep008	same_volume_rename_not_executed	eas_selected_directory_predates_frozen_production_adapter_binding	False	True	16	20147	23aa24f181a2d5066d576aff999942b52473f022a5be1868247fcf0276c8296a	False
eas_phlash_median__af10__selected_s0p010__rep009	selected	eas_phlash_median	focused_selection_EAS_sim/work/eas_phlash_median__af10__selected_s0p010__rep009	focused_selection_EAS_sim/quarantine/pre_focused_eas_selected_production/eas_phlash_median__af10__selected_s0p010__rep009	same_volume_rename_not_executed	eas_selected_directory_predates_frozen_production_adapter_binding	False	True	15	19498	b483c743cbec9306dc17f5eaddda113654206fa0f3928e986aa437ce7397ccaa	False
eas_phlash_median__af10__selected_s0p010__rep010	selected	eas_phlash_median	focused_selection_EAS_sim/work/eas_phlash_median__af10__selected_s0p010__rep010	focused_selection_EAS_sim/quarantine/pre_focused_eas_selected_production/eas_phlash_median__af10__selected_s0p010__rep010	same_volume_rename_not_executed	eas_selected_directory_predates_frozen_production_adapter_binding	False	True	16	20488	ae551e53b083d4451345beb28090f2702756378b08afe18b1462f1998ffa41c8	False
eas_phlash_median__af20__selected_s0p010__rep001	selected	eas_phlash_median	focused_selection_EAS_sim/work/eas_phlash_median__af20__selected_s0p010__rep001	focused_selection_EAS_sim/quarantine/pre_focused_eas_selected_production/eas_phlash_median__af20__selected_s0p010__rep001	same_volume_rename_not_executed	eas_selected_directory_predates_frozen_production_adapter_binding	False	True	9	10832	744729571d9ab849a91be4f62fe594b133b01a6b0e8e8a3b079af991e1e45629	False
eas_phlash_median__af20__selected_s0p010__rep002	selected	eas_phlash_median	focused_selection_EAS_sim/work/eas_phlash_median__af20__selected_s0p010__rep002	focused_selection_EAS_sim/quarantine/pre_focused_eas_selected_production/eas_phlash_median__af20__selected_s0p010__rep002	same_volume_rename_not_executed	eas_selected_directory_predates_frozen_production_adapter_binding	False	True	8	10192	d7f5cdf390c12cca543773c2ad9c0ec4fdbd4226383d71fa854a1671779cabb3	False
eas_phlash_median__af20__selected_s0p010__rep003	selected	eas_phlash_median	focused_selection_EAS_sim/work/eas_phlash_median__af20__selected_s0p010__rep003	focused_selection_EAS_sim/quarantine/pre_focused_eas_selected_production/eas_phlash_median__af20__selected_s0p010__rep003	same_volume_rename_not_executed	eas_selected_directory_predates_frozen_production_adapter_binding	False	True	7	8327	a6d1f1f49119794e11464294d708906f5e0b433dfe86abb1f9c08bc070219f85	False
eas_phlash_median__af20__selected_s0p010__rep004	selected	eas_phlash_median	focused_selection_EAS_sim/work/eas_phlash_median__af20__selected_s0p010__rep004	focused_selection_EAS_sim/quarantine/pre_focused_eas_selected_production/eas_phlash_median__af20__selected_s0p010__rep004	same_volume_rename_not_executed	eas_selected_directory_predates_frozen_production_adapter_binding	False	True	6	7781	add9bcdbe39784e81a5153e7603daca481e3e1caff3fbc2522a0c90833c69266	False
