arm_id	mode	unit_id	replicate_index	seed	status	elapsed_seconds	error
eas_phlash	neutral	eas_phlash__neutral__rep063	63	41260882	completed	85.48170304499945	
eas_phlash	neutral	eas_phlash__neutral__rep064	64	41260883	completed	95.51959591899958	
eas_phlash	neutral	eas_phlash__neutral__rep065	65	41260884	completed	95.72323306199996	
eas_phlash	neutral	eas_phlash__neutral__rep066	66	41260885	completed	87.33332618700024	
eas_phlash	neutral	eas_phlash__neutral__rep067	67	41260886	completed	93.42423111900007	
eas_phlash	neutral	eas_phlash__neutral__rep068	68	41260887	completed	91.5771499980001	
eas_phlash	neutral	eas_phlash__neutral__rep069	69	41260888	completed	90.13052870999945	
eas_phlash	neutral	eas_phlash__neutral__rep070	70	41260889	completed	93.63017825399947	
eas_phlash	neutral	eas_phlash__neutral__rep071	71	41260890	completed	98.27011049199973	
eas_phlash	neutral	eas_phlash__neutral__rep072	72	41260891	completed	93.5557728169997	
eas_phlash	neutral	eas_phlash__neutral__rep073	73	41260892	completed	98.59943726000074	
eas_phlash	neutral	eas_phlash__neutral__rep074	74	41260893	completed	97.22635183700004	
eas_phlash	neutral	eas_phlash__neutral__rep075	75	41260894	completed	95.52743992999967	
eas_phlash	neutral	eas_phlash__neutral__rep076	76	41260895	completed	92.39357792300052	
eas_phlash	neutral	eas_phlash__neutral__rep077	77	41260896	completed	94.22449467100068	
eas_phlash	neutral	eas_phlash__neutral__rep078	78	41260897	completed	96.40207896000084	
eas_phlash	neutral	eas_phlash__neutral__rep079	79	41260898	completed	92.10560249599985	
eas_phlash	neutral	eas_phlash__neutral__rep080	80	41260899	completed	83.58216431600067	
eas_phlash	neutral	eas_phlash__neutral__rep081	81	41260900	completed	81.74838831499983	
eas_phlash	neutral	eas_phlash__neutral__rep082	82	41260901	completed	90.95420599000045	
eas_phlash	neutral	eas_phlash__neutral__rep083	83	41260902	completed	86.7657999109997	
eas_phlash	neutral	eas_phlash__neutral__rep084	84	41260903	completed	93.74567029199989	
eas_phlash	neutral	eas_phlash__neutral__rep085	85	41260904	completed	91.49740219499927	
eas_phlash	neutral	eas_phlash__neutral__rep086	86	41260905	completed	86.6469487280001	
eas_phlash	neutral	eas_phlash__neutral__rep087	87	41260906	completed	88.76326518399947	
eas_phlash	neutral	eas_phlash__neutral__rep088	88	41260907	completed	94.70783503699931	
eas_phlash	neutral	eas_phlash__neutral__rep089	89	41260908	completed	89.10784806900028	
eas_phlash	neutral	eas_phlash__neutral__rep090	90	41260909	completed	89.39222302800044	
eas_phlash	neutral	eas_phlash__neutral__rep091	91	41260910	completed	87.30644192700038	
eas_phlash	neutral	eas_phlash__neutral__rep092	92	41260911	completed	90.69730053900003	
eas_phlash	neutral	eas_phlash__neutral__rep093	93	41260912	completed	91.1390387929996	
eas_phlash	neutral	eas_phlash__neutral__rep094	94	41260913	completed	90.24842101100057	
eas_phlash	neutral	eas_phlash__neutral__rep095	95	41260914	completed	92.14733585500016	
eas_phlash	neutral	eas_phlash__neutral__rep096	96	41260915	completed	87.60517948899997	
eas_phlash	neutral	eas_phlash__neutral__rep097	97	41260916	completed	88.09149277599954	
eas_phlash	neutral	eas_phlash__neutral__rep098	98	41260917	completed	87.41298202300004	
eas_phlash	neutral	eas_phlash__neutral__rep099	99	41260918	completed	85.83306062700012	
eas_phlash	selected	eas_phlash__selected__rep000	0	40260819	completed	95.15672969200023	
eas_phlash	selected	eas_phlash__selected__rep001	1	40260820	completed	93.85434185900021	
eas_phlash	selected	eas_phlash__selected__rep002	2	40260821	completed	96.46829496600003	
eas_phlash	selected	eas_phlash__selected__rep003	3	40260822	completed	92.087830897	
eas_phlash	selected	eas_phlash__selected__rep004	4	40260823	completed	94.36881674300002	
eas_phlash	selected	eas_phlash__selected__rep005	5	40260824	completed	96.57852582199985	
eas_phlash	selected	eas_phlash__selected__rep006	6	40260825	completed	95.07703421900032	
eas_phlash	selected	eas_phlash__selected__rep007	7	40260826	completed	95.59369719400001	
eas_phlash	selected	eas_phlash__selected__rep008	8	40260827	completed	90.59928373999992	
eas_phlash	selected	eas_phlash__selected__rep009	9	40260828	completed	89.59990536799978	
eas_phlash	selected	eas_phlash__selected__rep010	10	40260829	completed	94.1541442329999	
eas_phlash	selected	eas_phlash__selected__rep011	11	40260830	completed	90.63038742000026	
eas_phlash	selected	eas_phlash__selected__rep012	12	40260831	completed	95.09015020900006	
eas_phlash	selected	eas_phlash__selected__rep013	13	40260832	completed	94.80197378599996	
eas_phlash	selected	eas_phlash__selected__rep014	14	40260833	completed	96.75121160299977	
eas_phlash	selected	eas_phlash__selected__rep015	15	40260834	completed	94.88603579900018	
eas_phlash	selected	eas_phlash__selected__rep016	16	40260835	completed	95.75386220799965	
eas_phlash	selected	eas_phlash__selected__rep017	17	40260836	completed	97.19065841299971	
eas_phlash	selected	eas_phlash__selected__rep018	18	40260837	completed	94.2579361940002	
eas_phlash	selected	eas_phlash__selected__rep019	19	40260838	completed	93.73678294900037	
eas_phlash	selected	eas_phlash__selected__rep020	20	40260839	completed	88.65333939500033	
eas_phlash	selected	eas_phlash__selected__rep021	21	40260840	completed	90.15348899299988	
eas_phlash	selected	eas_phlash__selected__rep022	22	40260841	completed	92.55830885900014	
eas_phlash	selected	eas_phlash__selected__rep023	23	40260842	completed	93.70186159000014	
eas_phlash	selected	eas_phlash__selected__rep024	24	40260843	completed	94.10098312299988	
eas_phlash	selected	eas_phlash__selected__rep025	25	40260844	completed	94.79388492399994	
eas_phlash	selected	eas_phlash__selected__rep026	26	40260845	completed	99.86114022899983	
eas_phlash	selected	eas_phlash__selected__rep027	27	40260846	completed	92.54638087799958	
eas_phlash	selected	eas_phlash__selected__rep028	28	40260847	completed	95.24142809000023	
eas_phlash	selected	eas_phlash__selected__rep029	29	40260848	completed	97.3114367549997	
eas_phlash	selected	eas_phlash__selected__rep030	30	40260849	completed	99.4157052720002	
eas_phlash	selected	eas_phlash__selected__rep031	31	40260850	completed	96.38564450700005	
eas_phlash	selected	eas_phlash__selected__rep032	32	40260851	completed	99.04981678799959	
eas_phlash	selected	eas_phlash__selected__rep033	33	40260852	completed	98.90350954299993	
eas_phlash	selected	eas_phlash__selected__rep034	34	40260853	completed	99.03049380499988	
eas_phlash	selected	eas_phlash__selected__rep035	35	40260854	completed	95.99025854199999	
