arm_id	mode	unit_id	replicate_index	genotype_class	n_pairs	threshold_years	threshold_generations	p_tmrca_lt_threshold	mean_tmrca_generations	median_tmrca_generations	seed
eas_phlash	neutral	eas_phlash__neutral__rep000	0	het	0	1000.0	40.0				41260819
eas_phlash	neutral	eas_phlash__neutral__rep000	0	het	0	4500.0	180.0				41260819
eas_phlash	neutral	eas_phlash__neutral__rep000	0	het	0	10000.0	400.0				41260819
eas_phlash	neutral	eas_phlash__neutral__rep000	0	het	0	20000.0	800.0				41260819
eas_phlash	neutral	eas_phlash__neutral__rep000	0	het	0	30000.0	1200.0				41260819
eas_phlash	neutral	eas_phlash__neutral__rep000	0	het	0	40000.0	1600.0				41260819
eas_phlash	neutral	eas_phlash__neutral__rep000	0	het	0	50000.0	2000.0				41260819
eas_phlash	neutral	eas_phlash__neutral__rep000	0	hom_carrier	0	1000.0	40.0				41260819
eas_phlash	neutral	eas_phlash__neutral__rep000	0	hom_carrier	0	4500.0	180.0				41260819
eas_phlash	neutral	eas_phlash__neutral__rep000	0	hom_carrier	0	10000.0	400.0				41260819
eas_phlash	neutral	eas_phlash__neutral__rep000	0	hom_carrier	0	20000.0	800.0				41260819
eas_phlash	neutral	eas_phlash__neutral__rep000	0	hom_carrier	0	30000.0	1200.0				41260819
eas_phlash	neutral	eas_phlash__neutral__rep000	0	hom_carrier	0	40000.0	1600.0				41260819
eas_phlash	neutral	eas_phlash__neutral__rep000	0	hom_carrier	0	50000.0	2000.0				41260819
eas_phlash	neutral	eas_phlash__neutral__rep000	0	hom_noncarrier	100	1000.0	40.0	0.0	18793.08672741055	3215.0	41260819
eas_phlash	neutral	eas_phlash__neutral__rep000	0	hom_noncarrier	100	4500.0	180.0	0.0	18793.08672741055	3215.0	41260819
eas_phlash	neutral	eas_phlash__neutral__rep000	0	hom_noncarrier	100	10000.0	400.0	0.0	18793.08672741055	3215.0	41260819
eas_phlash	neutral	eas_phlash__neutral__rep000	0	hom_noncarrier	100	20000.0	800.0	0.01	18793.08672741055	3215.0	41260819
eas_phlash	neutral	eas_phlash__neutral__rep000	0	hom_noncarrier	100	30000.0	1200.0	0.07	18793.08672741055	3215.0	41260819
eas_phlash	neutral	eas_phlash__neutral__rep000	0	hom_noncarrier	100	40000.0	1600.0	0.09	18793.08672741055	3215.0	41260819
eas_phlash	neutral	eas_phlash__neutral__rep000	0	hom_noncarrier	100	50000.0	2000.0	0.17	18793.08672741055	3215.0	41260819
eas_phlash	neutral	eas_phlash__neutral__rep000	0	overall	100	1000.0	40.0	0.0	18793.08672741055	3215.0	41260819
