arm_id	threshold_years	n_null	mean	sd	min	max	q50	q90	q95	q99
eas_phlash	1000.0	100	0.0002	0.0014070529413628974	0.0	0.01	0.0	0.0	0.0	0.01
eas_phlash	4500.0	100	0.0022	0.004399265319747759	0.0	0.02	0.0	0.01	0.01	0.010100000000000052
eas_phlash	10000.0	100	0.006500000000000001	0.008804842561071294	0.0	0.04	0.0	0.02	0.020499999999999973	0.03010000000000005
eas_phlash	20000.0	100	0.0407	0.02090164557825024	0.0	0.1	0.04	0.07	0.07049999999999998	0.09010000000000004
eas_phlash	30000.0	100	0.09870000000000001	0.039890126876486895	0.03	0.23	0.1	0.1410000000000001	0.16049999999999998	0.21020000000000008
eas_phlash	40000.0	100	0.1523	0.051086280749415305	0.05	0.3	0.15	0.22100000000000009	0.25049999999999994	0.2901
eas_phlash	50000.0	100	0.1998	0.06542757581301387	0.07	0.39	0.2	0.29	0.31049999999999994	0.3405000000000003
