arm_id	unit_id	replicate_index	threshold_years	observed	n_null	p_value	p_value_floor	significant
eas_phlash	eas_phlash__selected__rep000	0	1000.0	0.0	100	1.0	0.009900990099009901	False
eas_phlash	eas_phlash__selected__rep001	1	1000.0	0.0	100	1.0	0.009900990099009901	False
eas_phlash	eas_phlash__selected__rep002	2	1000.0	0.0	100	1.0	0.009900990099009901	False
eas_phlash	eas_phlash__selected__rep003	3	1000.0	0.0	100	1.0	0.009900990099009901	False
eas_phlash	eas_phlash__selected__rep004	4	1000.0	0.0	100	1.0	0.009900990099009901	False
eas_phlash	eas_phlash__selected__rep005	5	1000.0	0.0	100	1.0	0.009900990099009901	False
eas_phlash	eas_phlash__selected__rep006	6	1000.0	0.0	100	1.0	0.009900990099009901	False
eas_phlash	eas_phlash__selected__rep007	7	1000.0	0.0	100	1.0	0.009900990099009901	False
eas_phlash	eas_phlash__selected__rep008	8	1000.0	0.0	100	1.0	0.009900990099009901	False
eas_phlash	eas_phlash__selected__rep009	9	1000.0	0.0	100	1.0	0.009900990099009901	False
eas_phlash	eas_phlash__selected__rep010	10	1000.0	0.0	100	1.0	0.009900990099009901	False
eas_phlash	eas_phlash__selected__rep011	11	1000.0	0.0	100	1.0	0.009900990099009901	False
eas_phlash	eas_phlash__selected__rep012	12	1000.0	0.0	100	1.0	0.009900990099009901	False
eas_phlash	eas_phlash__selected__rep013	13	1000.0	0.0	100	1.0	0.009900990099009901	False
eas_phlash	eas_phlash__selected__rep014	14	1000.0	0.0	100	1.0	0.009900990099009901	False
eas_phlash	eas_phlash__selected__rep015	15	1000.0	0.0	100	1.0	0.009900990099009901	False
eas_phlash	eas_phlash__selected__rep016	16	1000.0	0.0	100	1.0	0.009900990099009901	False
eas_phlash	eas_phlash__selected__rep017	17	1000.0	0.0	100	1.0	0.009900990099009901	False
eas_phlash	eas_phlash__selected__rep018	18	1000.0	0.0	100	1.0	0.009900990099009901	False
eas_phlash	eas_phlash__selected__rep019	19	1000.0	0.0	100	1.0	0.009900990099009901	False
eas_phlash	eas_phlash__selected__rep020	20	1000.0	0.0	100	1.0	0.009900990099009901	False
eas_phlash	eas_phlash__selected__rep021	21	1000.0	0.0	100	1.0	0.009900990099009901	False
eas_phlash	eas_phlash__selected__rep022	22	1000.0	0.0	100	1.0	0.009900990099009901	False
eas_phlash	eas_phlash__selected__rep023	23	1000.0	0.0	100	1.0	0.009900990099009901	False
eas_phlash	eas_phlash__selected__rep024	24	1000.0	0.0	100	1.0	0.009900990099009901	False
eas_phlash	eas_phlash__selected__rep025	25	1000.0	0.0	100	1.0	0.009900990099009901	False
eas_phlash	eas_phlash__selected__rep026	26	1000.0	0.0	100	1.0	0.009900990099009901	False
eas_phlash	eas_phlash__selected__rep027	27	1000.0	0.0	100	1.0	0.009900990099009901	False
eas_phlash	eas_phlash__selected__rep028	28	1000.0	0.0	100	1.0	0.009900990099009901	False
eas_phlash	eas_phlash__selected__rep029	29	1000.0	0.0	100	1.0	0.009900990099009901	False
eas_phlash	eas_phlash__selected__rep030	30	1000.0	0.0	100	1.0	0.009900990099009901	False
eas_phlash	eas_phlash__selected__rep031	31	1000.0	0.0	100	1.0	0.009900990099009901	False
eas_phlash	eas_phlash__selected__rep032	32	1000.0	0.0	100	1.0	0.009900990099009901	False
eas_phlash	eas_phlash__selected__rep033	33	1000.0	0.0	100	1.0	0.009900990099009901	False
eas_phlash	eas_phlash__selected__rep034	34	1000.0	0.0	100	1.0	0.009900990099009901	False
eas_phlash	eas_phlash__selected__rep035	35	1000.0	0.0	100	1.0	0.009900990099009901	False
eas_phlash	eas_phlash__selected__rep036	36	1000.0	0.0	100	1.0	0.009900990099009901	False
eas_phlash	eas_phlash__selected__rep037	37	1000.0	0.0	100	1.0	0.009900990099009901	False
eas_phlash	eas_phlash__selected__rep038	38	1000.0	0.0	100	1.0	0.009900990099009901	False
eas_phlash	eas_phlash__selected__rep039	39	1000.0	0.0	100	1.0	0.009900990099009901	False
eas_phlash	eas_phlash__selected__rep040	40	1000.0	0.0	100	1.0	0.009900990099009901	False
eas_phlash	eas_phlash__selected__rep041	41	1000.0	0.0	100	1.0	0.009900990099009901	False
eas_phlash	eas_phlash__selected__rep042	42	1000.0	0.0	100	1.0	0.009900990099009901	False
eas_phlash	eas_phlash__selected__rep043	43	1000.0	0.0	100	1.0	0.009900990099009901	False
eas_phlash	eas_phlash__selected__rep044	44	1000.0	0.0	100	1.0	0.009900990099009901	False
eas_phlash	eas_phlash__selected__rep045	45	1000.0	0.0	100	1.0	0.009900990099009901	False
eas_phlash	eas_phlash__selected__rep046	46	1000.0	0.01	100	0.0297029702970297	0.009900990099009901	True
eas_phlash	eas_phlash__selected__rep047	47	1000.0	0.01	100	0.0297029702970297	0.009900990099009901	True
eas_phlash	eas_phlash__selected__rep048	48	1000.0	0.0	100	1.0	0.009900990099009901	False
eas_phlash	eas_phlash__selected__rep049	49	1000.0	0.0	100	1.0	0.009900990099009901	False
eas_phlash	eas_phlash__selected__rep050	50	1000.0	0.0	100	1.0	0.009900990099009901	False
eas_phlash	eas_phlash__selected__rep051	51	1000.0	0.0	100	1.0	0.009900990099009901	False
eas_phlash	eas_phlash__selected__rep052	52	1000.0	0.0	100	1.0	0.009900990099009901	False
eas_phlash	eas_phlash__selected__rep053	53	1000.0	0.0	100	1.0	0.009900990099009901	False
eas_phlash	eas_phlash__selected__rep054	54	1000.0	0.0	100	1.0	0.009900990099009901	False
eas_phlash	eas_phlash__selected__rep055	55	1000.0	0.0	100	1.0	0.009900990099009901	False
eas_phlash	eas_phlash__selected__rep056	56	1000.0	0.0	100	1.0	0.009900990099009901	False
eas_phlash	eas_phlash__selected__rep057	57	1000.0	0.0	100	1.0	0.009900990099009901	False
eas_phlash	eas_phlash__selected__rep058	58	1000.0	0.0	100	1.0	0.009900990099009901	False
eas_phlash	eas_phlash__selected__rep059	59	1000.0	0.0	100	1.0	0.009900990099009901	False
eas_phlash	eas_phlash__selected__rep060	60	1000.0	0.0	100	1.0	0.009900990099009901	False
eas_phlash	eas_phlash__selected__rep061	61	1000.0	0.0	100	1.0	0.009900990099009901	False
eas_phlash	eas_phlash__selected__rep062	62	1000.0	0.0	100	1.0	0.009900990099009901	False
eas_phlash	eas_phlash__selected__rep063	63	1000.0	0.0	100	1.0	0.009900990099009901	False
eas_phlash	eas_phlash__selected__rep064	64	1000.0	0.0	100	1.0	0.009900990099009901	False
eas_phlash	eas_phlash__selected__rep065	65	1000.0	0.0	100	1.0	0.009900990099009901	False
eas_phlash	eas_phlash__selected__rep066	66	1000.0	0.0	100	1.0	0.009900990099009901	False
eas_phlash	eas_phlash__selected__rep067	67	1000.0	0.0	100	1.0	0.009900990099009901	False
eas_phlash	eas_phlash__selected__rep068	68	1000.0	0.0	100	1.0	0.009900990099009901	False
eas_phlash	eas_phlash__selected__rep069	69	1000.0	0.0	100	1.0	0.009900990099009901	False
eas_phlash	eas_phlash__selected__rep070	70	1000.0	0.0	100	1.0	0.009900990099009901	False
eas_phlash	eas_phlash__selected__rep071	71	1000.0	0.0	100	1.0	0.009900990099009901	False
eas_phlash	eas_phlash__selected__rep072	72	1000.0	0.0	100	1.0	0.009900990099009901	False
eas_phlash	eas_phlash__selected__rep073	73	1000.0	0.0	100	1.0	0.009900990099009901	False
eas_phlash	eas_phlash__selected__rep074	74	1000.0	0.0	100	1.0	0.009900990099009901	False
eas_phlash	eas_phlash__selected__rep075	75	1000.0	0.0	100	1.0	0.009900990099009901	False
eas_phlash	eas_phlash__selected__rep076	76	1000.0	0.01	100	0.0297029702970297	0.009900990099009901	True
eas_phlash	eas_phlash__selected__rep077	77	1000.0	0.0	100	1.0	0.009900990099009901	False
eas_phlash	eas_phlash__selected__rep078	78	1000.0	0.0	100	1.0	0.009900990099009901	False
eas_phlash	eas_phlash__selected__rep079	79	1000.0	0.0	100	1.0	0.009900990099009901	False
eas_phlash	eas_phlash__selected__rep080	80	1000.0	0.0	100	1.0	0.009900990099009901	False
eas_phlash	eas_phlash__selected__rep081	81	1000.0	0.0	100	1.0	0.009900990099009901	False
eas_phlash	eas_phlash__selected__rep082	82	1000.0	0.0	100	1.0	0.009900990099009901	False
eas_phlash	eas_phlash__selected__rep083	83	1000.0	0.0	100	1.0	0.009900990099009901	False
eas_phlash	eas_phlash__selected__rep084	84	1000.0	0.0	100	1.0	0.009900990099009901	False
eas_phlash	eas_phlash__selected__rep085	85	1000.0	0.0	100	1.0	0.009900990099009901	False
eas_phlash	eas_phlash__selected__rep086	86	1000.0	0.0	100	1.0	0.009900990099009901	False
eas_phlash	eas_phlash__selected__rep087	87	1000.0	0.0	100	1.0	0.009900990099009901	False
eas_phlash	eas_phlash__selected__rep088	88	1000.0	0.0	100	1.0	0.009900990099009901	False
eas_phlash	eas_phlash__selected__rep089	89	1000.0	0.0	100	1.0	0.009900990099009901	False
eas_phlash	eas_phlash__selected__rep090	90	1000.0	0.0	100	1.0	0.009900990099009901	False
eas_phlash	eas_phlash__selected__rep091	91	1000.0	0.0	100	1.0	0.009900990099009901	False
eas_phlash	eas_phlash__selected__rep092	92	1000.0	0.0	100	1.0	0.009900990099009901	False
eas_phlash	eas_phlash__selected__rep093	93	1000.0	0.01	100	0.0297029702970297	0.009900990099009901	True
eas_phlash	eas_phlash__selected__rep094	94	1000.0	0.0	100	1.0	0.009900990099009901	False
eas_phlash	eas_phlash__selected__rep095	95	1000.0	0.0	100	1.0	0.009900990099009901	False
eas_phlash	eas_phlash__selected__rep096	96	1000.0	0.0	100	1.0	0.009900990099009901	False
eas_phlash	eas_phlash__selected__rep097	97	1000.0	0.0	100	1.0	0.009900990099009901	False
eas_phlash	eas_phlash__selected__rep098	98	1000.0	0.0	100	1.0	0.009900990099009901	False
eas_phlash	eas_phlash__selected__rep099	99	1000.0	0.0	100	1.0	0.009900990099009901	False
eas_phlash	eas_phlash__selected__rep000	0	4500.0	0.0	100	1.0	0.009900990099009901	False
eas_phlash	eas_phlash__selected__rep001	1	4500.0	0.0	100	1.0	0.009900990099009901	False
eas_phlash	eas_phlash__selected__rep002	2	4500.0	0.0	100	1.0	0.009900990099009901	False
eas_phlash	eas_phlash__selected__rep003	3	4500.0	0.0	100	1.0	0.009900990099009901	False
eas_phlash	eas_phlash__selected__rep004	4	4500.0	0.0	100	1.0	0.009900990099009901	False
eas_phlash	eas_phlash__selected__rep005	5	4500.0	0.0	100	1.0	0.009900990099009901	False
eas_phlash	eas_phlash__selected__rep006	6	4500.0	0.0	100	1.0	0.009900990099009901	False
eas_phlash	eas_phlash__selected__rep007	7	4500.0	0.0	100	1.0	0.009900990099009901	False
eas_phlash	eas_phlash__selected__rep008	8	4500.0	0.0	100	1.0	0.009900990099009901	False
eas_phlash	eas_phlash__selected__rep009	9	4500.0	0.0	100	1.0	0.009900990099009901	False
eas_phlash	eas_phlash__selected__rep010	10	4500.0	0.0	100	1.0	0.009900990099009901	False
eas_phlash	eas_phlash__selected__rep011	11	4500.0	0.01	100	0.21782178217821782	0.009900990099009901	False
eas_phlash	eas_phlash__selected__rep012	12	4500.0	0.0	100	1.0	0.009900990099009901	False
eas_phlash	eas_phlash__selected__rep013	13	4500.0	0.0	100	1.0	0.009900990099009901	False
eas_phlash	eas_phlash__selected__rep014	14	4500.0	0.0	100	1.0	0.009900990099009901	False
eas_phlash	eas_phlash__selected__rep015	15	4500.0	0.0	100	1.0	0.009900990099009901	False
eas_phlash	eas_phlash__selected__rep016	16	4500.0	0.0	100	1.0	0.009900990099009901	False
eas_phlash	eas_phlash__selected__rep017	17	4500.0	0.0	100	1.0	0.009900990099009901	False
eas_phlash	eas_phlash__selected__rep018	18	4500.0	0.01	100	0.21782178217821782	0.009900990099009901	False
eas_phlash	eas_phlash__selected__rep019	19	4500.0	0.0	100	1.0	0.009900990099009901	False
eas_phlash	eas_phlash__selected__rep020	20	4500.0	0.0	100	1.0	0.009900990099009901	False
eas_phlash	eas_phlash__selected__rep021	21	4500.0	0.0	100	1.0	0.009900990099009901	False
eas_phlash	eas_phlash__selected__rep022	22	4500.0	0.0	100	1.0	0.009900990099009901	False
eas_phlash	eas_phlash__selected__rep023	23	4500.0	0.0	100	1.0	0.009900990099009901	False
eas_phlash	eas_phlash__selected__rep024	24	4500.0	0.0	100	1.0	0.009900990099009901	False
eas_phlash	eas_phlash__selected__rep025	25	4500.0	0.0	100	1.0	0.009900990099009901	False
eas_phlash	eas_phlash__selected__rep026	26	4500.0	0.01	100	0.21782178217821782	0.009900990099009901	False
eas_phlash	eas_phlash__selected__rep027	27	4500.0	0.0	100	1.0	0.009900990099009901	False
eas_phlash	eas_phlash__selected__rep028	28	4500.0	0.0	100	1.0	0.009900990099009901	False
eas_phlash	eas_phlash__selected__rep029	29	4500.0	0.0	100	1.0	0.009900990099009901	False
eas_phlash	eas_phlash__selected__rep030	30	4500.0	0.0	100	1.0	0.009900990099009901	False
eas_phlash	eas_phlash__selected__rep031	31	4500.0	0.0	100	1.0	0.009900990099009901	False
eas_phlash	eas_phlash__selected__rep032	32	4500.0	0.0	100	1.0	0.009900990099009901	False
eas_phlash	eas_phlash__selected__rep033	33	4500.0	0.0	100	1.0	0.009900990099009901	False
eas_phlash	eas_phlash__selected__rep034	34	4500.0	0.01	100	0.21782178217821782	0.009900990099009901	False
eas_phlash	eas_phlash__selected__rep035	35	4500.0	0.01	100	0.21782178217821782	0.009900990099009901	False
eas_phlash	eas_phlash__selected__rep036	36	4500.0	0.0	100	1.0	0.009900990099009901	False
eas_phlash	eas_phlash__selected__rep037	37	4500.0	0.0	100	1.0	0.009900990099009901	False
eas_phlash	eas_phlash__selected__rep038	38	4500.0	0.0	100	1.0	0.009900990099009901	False
eas_phlash	eas_phlash__selected__rep039	39	4500.0	0.0	100	1.0	0.009900990099009901	False
eas_phlash	eas_phlash__selected__rep040	40	4500.0	0.0	100	1.0	0.009900990099009901	False
eas_phlash	eas_phlash__selected__rep041	41	4500.0	0.0	100	1.0	0.009900990099009901	False
eas_phlash	eas_phlash__selected__rep042	42	4500.0	0.0	100	1.0	0.009900990099009901	False
eas_phlash	eas_phlash__selected__rep043	43	4500.0	0.01	100	0.21782178217821782	0.009900990099009901	False
eas_phlash	eas_phlash__selected__rep044	44	4500.0	0.0	100	1.0	0.009900990099009901	False
eas_phlash	eas_phlash__selected__rep045	45	4500.0	0.0	100	1.0	0.009900990099009901	False
eas_phlash	eas_phlash__selected__rep046	46	4500.0	0.01	100	0.21782178217821782	0.009900990099009901	False
eas_phlash	eas_phlash__selected__rep047	47	4500.0	0.01	100	0.21782178217821782	0.009900990099009901	False
eas_phlash	eas_phlash__selected__rep048	48	4500.0	0.0	100	1.0	0.009900990099009901	False
eas_phlash	eas_phlash__selected__rep049	49	4500.0	0.01	100	0.21782178217821782	0.009900990099009901	False
eas_phlash	eas_phlash__selected__rep050	50	4500.0	0.0	100	1.0	0.009900990099009901	False
eas_phlash	eas_phlash__selected__rep051	51	4500.0	0.01	100	0.21782178217821782	0.009900990099009901	False
eas_phlash	eas_phlash__selected__rep052	52	4500.0	0.01	100	0.21782178217821782	0.009900990099009901	False
eas_phlash	eas_phlash__selected__rep053	53	4500.0	0.0	100	1.0	0.009900990099009901	False
eas_phlash	eas_phlash__selected__rep054	54	4500.0	0.02	100	0.019801980198019802	0.009900990099009901	True
eas_phlash	eas_phlash__selected__rep055	55	4500.0	0.0	100	1.0	0.009900990099009901	False
eas_phlash	eas_phlash__selected__rep056	56	4500.0	0.0	100	1.0	0.009900990099009901	False
eas_phlash	eas_phlash__selected__rep057	57	4500.0	0.01	100	0.21782178217821782	0.009900990099009901	False
eas_phlash	eas_phlash__selected__rep058	58	4500.0	0.0	100	1.0	0.009900990099009901	False
eas_phlash	eas_phlash__selected__rep059	59	4500.0	0.0	100	1.0	0.009900990099009901	False
