# Gamma-SMC explicit haplotype pairs
# genotype_class	heterozygous
# n_pairs	22
40	41
42	43
44	45
54	55
60	61
62	63
68	69
70	71
72	73
74	75
90	91
96	97
110	111
114	115
124	125
140	141
144	145
150	151
160	161
170	171
194	195
196	197
