arm	statistic	null	threshold_years	sample_frequency	observed	null_mean	p_value
chb_from_introgression	unconditional	eas_simulated	30000.0	0.62	0.35	0.09999740000000001	0.00016999830001699983
chb_from_introgression	unconditional	own_demography	50000.0	0.62	0.45	0.3125234	0.12473875261247387
chb_from_introgression	unconditional	eas_simulated	50000.0	0.62	0.45	0.20444449999999997	0.010279897201027989
chb_from_introgression	unconditional	own_demography	10000.0	0.74	0.0	0.005082099999999999	1.0
chb_from_introgression	unconditional	eas_simulated	10000.0	0.74	0.0	0.007723199999999999	1.0
chb_from_introgression	unconditional	own_demography	20000.0	0.74	0.17	0.0223988	9.99990000099999e-06
chb_from_introgression	unconditional	eas_simulated	20000.0	0.74	0.17	0.04587220000000001	6.999930000699993e-05
chb_from_introgression	unconditional	own_demography	30000.0	0.74	0.56	0.0767372	9.99990000099999e-06
chb_from_introgression	unconditional	eas_simulated	30000.0	0.74	0.56	0.09999740000000001	9.99990000099999e-06
chb_from_introgression	unconditional	own_demography	50000.0	0.74	0.63	0.3125234	0.025879741202587975
chb_from_introgression	unconditional	eas_simulated	50000.0	0.74	0.63	0.20444449999999997	0.0008299917000829991
chb_from_introgression	unconditional	own_demography	10000.0	0.41	0.02	0.005082099999999999	0.08880911190888091
chb_from_introgression	unconditional	eas_simulated	10000.0	0.41	0.02	0.007723199999999999	0.18092819071809282
chb_from_introgression	unconditional	own_demography	20000.0	0.41	0.11	0.0223988	3.999960000399996e-05
chb_from_introgression	unconditional	eas_simulated	20000.0	0.41	0.11	0.04587220000000001	0.01063989360106399
chb_from_introgression	unconditional	own_demography	30000.0	0.41	0.22	0.0767372	0.0008599914000859991
chb_from_introgression	unconditional	eas_simulated	30000.0	0.41	0.22	0.09999740000000001	0.009179908200917991
chb_from_introgression	unconditional	own_demography	50000.0	0.41	0.33	0.3125234	0.37008629913700863
chb_from_introgression	unconditional	eas_simulated	50000.0	0.41	0.33	0.20444449999999997	0.06506934930650693
chb_from_introgression	unconditional	own_demography	10000.0	0.56	0.01	0.005082099999999999	0.4045359546404536
chb_from_introgression	unconditional	eas_simulated	10000.0	0.56	0.01	0.007723199999999999	0.5394346056539434
chb_from_introgression	unconditional	own_demography	20000.0	0.56	0.09	0.0223988	0.0004699953000469995
chb_from_introgression	unconditional	eas_simulated	20000.0	0.56	0.09	0.04587220000000001	0.05040949590504095
chb_from_introgression	unconditional	own_demography	30000.0	0.56	0.33	0.0767372	1.999980000199998e-05
chb_from_introgression	unconditional	eas_simulated	30000.0	0.56	0.33	0.09999740000000001	0.00027999720002799973
chb_from_introgression	unconditional	own_demography	50000.0	0.56	0.38	0.3125234	0.23741762582374176
chb_from_introgression	unconditional	eas_simulated	50000.0	0.56	0.38	0.20444449999999997	0.02910970890291097
chb_from_introgression	unconditional	own_demography	10000.0	0.57	0.01	0.005082099999999999	0.4045359546404536
chb_from_introgression	unconditional	eas_simulated	10000.0	0.57	0.01	0.007723199999999999	0.5394346056539434
chb_from_introgression	unconditional	own_demography	20000.0	0.57	0.13	0.0223988	9.99990000099999e-06
