# Gamma-SMC explicit haplotype pairs
# genotype_class	heterozygous
# n_pairs	19
14	15
32	33
34	35
38	39
40	41
52	53
60	61
62	63
72	73
76	77
90	91
106	107
110	111
112	113
122	123
148	149
150	151
166	167
190	191
