region_id	start_0based	end_0based_exclusive	start_mb	end_mb	n_windows	minimum_p	maximum_observed_fraction_recent
1	675000	685000	0.675	0.685	1	0.04950495049504951	0.0300893898
2	1985000	1995000	1.985	1.995	1	0.0297029702970297	0.03164200361
3	2765000	2785000	2.765	2.785	2	0.019801980198019802	0.03061992539
4	2805000	2925000	2.805	2.925	12	0.009900990099009901	0.03627791711
5	2935000	2955000	2.935	2.955	2	0.0297029702970297	0.03130240131
6	2965000	2985000	2.965	2.985	2	0.0297029702970297	0.0307930139
7	3005000	3325000	3.005	3.325	32	0.009900990099009901	0.05203145426
8	3445000	3455000	3.445	3.455	1	0.04950495049504951	0.03421298444
9	3465000	3475000	3.465	3.475	1	0.039603960396039604	0.03186236831
10	3525000	3535000	3.525	3.535	1	0.039603960396039604	0.03032621318
11	3555000	3575000	3.555	3.575	2	0.0297029702970297	0.0333105789
12	3835000	5325000	3.835	5.325	149	0.009900990099009901	0.08031546868
13	5475000	5615000	5.475	5.615	14	0.009900990099009901	0.04269248022
14	5895000	5925000	5.895	5.925	3	0.04950495049504951	0.03815008146
15	5945000	5955000	5.945	5.955	1	0.04950495049504951	0.03381995322
16	5965000	5985000	5.965	5.985	2	0.019801980198019802	0.03491008662
17	6045000	6055000	6.045	6.055	1	0.039603960396039604	0.03452094209
18	6085000	6115000	6.085	6.115	3	0.009900990099009901	0.04678057171
19	6175000	6185000	6.175	6.185	1	0.04950495049504951	0.03010711138
20	6205000	6225000	6.205	6.225	2	0.039603960396039604	0.03145262823
21	6285000	6295000	6.285	6.295	1	0.0297029702970297	0.03143022088
22	6325000	6335000	6.325	6.335	1	0.04950495049504951	0.02998547373
23	7235000	7245000	7.235	7.245	1	0.0297029702970297	0.03028925641
24	7325000	7345000	7.325	7.345	2	0.0297029702970297	0.03437574943
25	7595000	7605000	7.595	7.605	1	0.04950495049504951	0.0277299272
26	7655000	7675000	7.655	7.675	2	0.0297029702970297	0.03536208113
27	7805000	7825000	7.805	7.825	2	0.0297029702970297	0.03292435086
28	8765000	8775000	8.765	8.775	1	0.039603960396039604	0.02921248542
29	9115000	9125000	9.115	9.125	1	0.019801980198019802	0.03362533895
30	9235000	9255000	9.235	9.255	2	0.009900990099009901	0.03822583672
31	9285000	9295000	9.285	9.295	1	0.039603960396039604	0.03235455741
32	9315000	9325000	9.315	9.325	1	0.039603960396039604	0.03083310366
33	9875000	9885000	9.875	9.885	1	0.0297029702970297	0.03158873278
