selection_coefficient	replicate	realized_population_allele_frequency	focal_allele_outcome	ancestry_seconds	slim_seconds	center_fraction_recent	center_mean_tmrca_generations	window_10000_fraction_recent	window_100000_fraction_recent	neutral_plateau_fraction_recent	neutral_plateau_mean_tmrca_generations	center_fraction_recent_mc_p_upper	window_10000_fraction_recent_mc_p_upper	window_100000_fraction_recent_mc_p_upper
0.0	35	0.0	lost	15.525056099984797	2.826400899968576	0.007	17247.088313846052	0.007	0.0069405940594059	0.0083347107438016	21226.13044640682	NA	NA	NA
0.0	36	0.0	lost	14.531598899979144	3.1019251000252552	0.012	14002.175942300744	0.012	0.0114603960396039	0.0098099173553719	20204.8166505733	NA	NA	NA
0.0	37	0.0	lost	15.585494600003583	2.906157799996436	0.0095	21778.153224245427	0.0096363636363636	0.0097772277227722	0.0093057851239669	20322.86351027338	NA	NA	NA
0.0	38	0.0	lost	15.674347200023476	2.9606691999943	0.009	32855.34180992116	0.0089999999999999	0.0092524752475247	0.0091033057851239	19390.235099922826	NA	NA	NA
0.0	39	0.0	lost	15.682123599981423	2.95108299999265	0.011	5798.82941454743	0.0109999999999999	0.0107227722772277	0.0077809917355371	21503.996309700746	NA	NA	NA
0.0	40	0.0	lost	11.60536000004504	2.603618599998299	0.0115	17846.656200292262	0.011590909090909	0.0116386138613861	0.0092851239669421	19266.63063055564	NA	NA	NA
0.0	41	0.0	lost	12.561626499984412	2.61519160005264	0.009	23099.63891341368	0.0089999999999999	0.0097524752475247	0.0088264462809917	21324.0536514464	NA	NA	NA
0.0	42	0.0	lost	15.746804900001734	2.9402732999878936	0.0085	17733.352726734527	0.0085	0.0084702970297029	0.0088677685950413	20077.08555342465	NA	NA	NA
0.0	43	0.0	lost	15.760807699989527	3.1497553999652155	0.0095	20343.458552922755	0.0094999999999999	0.0099207920792079	0.0074462809917355	21078.012729720143	NA	NA	NA
0.0	44	0.0	lost	15.707065299968235	3.3004353000433184	0.0075	16057.087394579465	0.0075	0.0073019801980198	0.0087603305785123	20386.92329078025	NA	NA	NA
0.0	45	0.0	lost	15.491811499989126	2.981047999986913	0.01	15803.89172722289	0.010090909090909	0.0102079207920792	0.0077727272727272	19983.63411323292	NA	NA	NA
0.0	46	0.0	lost	15.59206890000496	3.11591039999621	0.008	13279.631907209252	0.008	0.0079702970297029	0.0087727272727272	19543.50538686788	NA	NA	NA
0.0	47	0.0	lost	15.562370200001167	3.2766246999963187	0.012	10792.475668148623	0.0120454545454545	0.0115643564356435	0.007793388429752	20499.93206939568	NA	NA	NA
0.0	48	0.0	lost	10.03140070004156	2.3509518000064418	0.0115	14372.39546350363	0.0115	0.0118366336633663	0.0120165289256198	20208.06585280509	NA	NA	NA
0.0	49	0.0	lost	11.466183200012892	2.5193267000140622	0.0095	28102.283281591383	0.0094545454545454	0.0093217821782178	0.008698347107438	18977.91466559876	NA	NA	NA
0.0	50	0.0	lost	16.16105419996893	3.037547799991444	0.011	17462.053563571117	0.0109999999999999	0.011	0.0078223140495867	19587.1603330416	NA	NA	NA
0.0	51	0.0	lost	15.542897399980577	2.798291400016751	0.01	8608.382792041648	0.0097727272727272	0.0098019801980197	0.0085578512396694	20640.763374432187	NA	NA	NA
0.0	52	0.0	lost	15.990854599978777	3.126391700003296	0.013	38493.67799669117	0.0133181818181818	0.0131336633663366	0.0101074380165289	19347.35559728373	NA	NA	NA
0.0	53	0.0	lost	16.58185840002261	2.8837901999941096	0.006	17943.07341142079	0.006	0.0059999999999999	0.0081404958677685	18975.75357327904	NA	NA	NA
0.0	54	0.0	lost	16.449687200016342	2.927588899969124	0.01	12039.612502055612	0.0097272727272727	0.0094059405940594	0.0082892561983471	19943.35077129723	NA	NA	NA
0.0	55	0.0	lost	16.437485399947036	3.0382976999972016	0.013	20174.883118626625	0.0128636363636363	0.0119653465346534	0.0089380165289256	20676.96798107216	NA	NA	NA
0.0	56	0.0	lost	15.484234499977902	3.3624463999876752	0.0075	13292.180006943066	0.0076363636363636	0.0078861386138613	0.0109297520661157	20325.065138297272	NA	NA	NA
0.0	57	0.0	lost	7.064102800039109	3.184375700016972	0.0085	10293.27493547483	0.0085	0.0088465346534653	0.0064628099173553	19525.96174596933	NA	NA	NA
0.0	58	0.0	lost	15.45757309999317	2.554397900006734	0.0075	22807.618634848463	0.0077272727272727	0.0078663366336633	0.0089173553719008	21467.832417752583	NA	NA	NA
0.0	59	0.0	lost	16.797390199964866	3.560059099982027	0.0065	52865.150525466415	0.0065	0.0063069306930693	0.0086859504132231	21321.11984981852	NA	NA	NA
0.0	60	0.0	lost	15.912600000039674	3.49945740000112	0.004	13311.811042551411	0.004	0.0041039603960396	0.0088471074380165	19871.95289557885	NA	NA	NA
0.0	61	0.0	lost	17.202831399976276	3.4969623999786563	0.0065	30107.884881826634	0.0065	0.0061633663366336	0.0080867768595041	19233.370150466893	NA	NA	NA
0.0	62	0.0	lost	15.95990889996756	3.364168100000825	0.0145	19798.705568420963	0.0145	0.0139306930693069	0.008590909090909	18316.215563497848	NA	NA	NA
0.0	63	0.0	lost	17.043654099979904	3.5817669999669306	0.008	37269.56623187876	0.0083636363636363	0.0086732673267326	0.0082644628099173	19182.168716250064	NA	NA	NA
0.0	64	0.0	lost	16.82931010000175	3.4535053999861702	0.0045	24045.55600757467	0.0046818181818181	0.0053613861386138	0.007995867768595	21286.38610672095	NA	NA	NA
0.0	65	0.0	lost	16.58355040004244	3.253904999990482	0.0095	24546.55432702203	0.0094999999999999	0.0098613861386138	0.0101611570247933	19133.92370004241	NA	NA	NA
0.0	66	0.0	lost	11.16557880002074	2.468437399948016	0.007	17175.272356782833	0.007	0.0073465346534653	0.0084586776859504	22078.46656407604	NA	NA	NA
0.0	67	0.0	lost	15.678318699996453	3.647513499949128	0.0085	23829.39494457846	0.0086818181818181	0.0095445544554455	0.0095743801652892	19537.415648700146	NA	NA	NA
0.0	68	0.0	lost	14.569499899982477	2.6427565999911167	0.0095	14969.173467015562	0.0094090909090909	0.0091039603960396	0.0089545454545454	19302.94092622538	NA	NA	NA
0.0	69	0.0	lost	15.65313209994929	3.525827500037849	0.0115	15259.294329127591	0.0115	0.0115544554455445	0.0101363636363636	19849.489056560305	NA	NA	NA
