replicate	model	history_id	ancestry_seed	mutation_seed	n_diploids	n_sites	n_trees	summary	elapsed_seconds_total
28	StandardCoalescent	-1	1746525084	2152511233	2000	852	671	C:\Users\Lenovo\OneDrive\Documents\cxt_demo\gamma_smc_ts\sim_results\n2000_sensitivity\truth_summaries\replicate_00028.tsv	19.369067499996163
29	StandardCoalescent	-1	1266708660	2928862136	2000	841	653	C:\Users\Lenovo\OneDrive\Documents\cxt_demo\gamma_smc_ts\sim_results\n2000_sensitivity\truth_summaries\replicate_00029.tsv	19.369067499996163
30	StandardCoalescent	-1	4134893872	4246987054	2000	901	659	C:\Users\Lenovo\OneDrive\Documents\cxt_demo\gamma_smc_ts\sim_results\n2000_sensitivity\truth_summaries\replicate_00030.tsv	19.369067499996163
31	StandardCoalescent	-1	2277608293	3658206449	2000	854	571	C:\Users\Lenovo\OneDrive\Documents\cxt_demo\gamma_smc_ts\sim_results\n2000_sensitivity\truth_summaries\replicate_00031.tsv	19.369067499996163
32	StandardCoalescent	-1	2084789254	4064303693	2000	899	652	C:\Users\Lenovo\OneDrive\Documents\cxt_demo\gamma_smc_ts\sim_results\n2000_sensitivity\truth_summaries\replicate_00032.tsv	19.369067499996163
33	StandardCoalescent	-1	2765699277	2926760888	2000	917	660	C:\Users\Lenovo\OneDrive\Documents\cxt_demo\gamma_smc_ts\sim_results\n2000_sensitivity\truth_summaries\replicate_00033.tsv	19.369067499996163
34	StandardCoalescent	-1	4265010867	1742653587	2000	850	674	C:\Users\Lenovo\OneDrive\Documents\cxt_demo\gamma_smc_ts\sim_results\n2000_sensitivity\truth_summaries\replicate_00034.tsv	19.369067499996163
35	StandardCoalescent	-1	3243868893	4107068758	2000	920	679	C:\Users\Lenovo\OneDrive\Documents\cxt_demo\gamma_smc_ts\sim_results\n2000_sensitivity\truth_summaries\replicate_00035.tsv	19.369067499996163
36	StandardCoalescent	-1	4191049291	1226836589	2000	833	622	C:\Users\Lenovo\OneDrive\Documents\cxt_demo\gamma_smc_ts\sim_results\n2000_sensitivity\truth_summaries\replicate_00036.tsv	19.369067499996163
37	StandardCoalescent	-1	997267461	501901184	2000	909	623	C:\Users\Lenovo\OneDrive\Documents\cxt_demo\gamma_smc_ts\sim_results\n2000_sensitivity\truth_summaries\replicate_00037.tsv	19.369067499996163
