unit_id	seed	birth_generation	allele_age_years	final_population_af	eas_source_particle_id	eas_draw_occurrence	eas_particle_multiplicity	eas_selected_log_importance_weight	eas_global_effective_sample_size	eas_global_weight_sum_over_max	eas_global_max_normalized_weight	eas_time_reversal_is_approximation	source_completion_sha256
eas_neutral_exact_population_af_reverse_bridge_r000	2026083600	26329	658225	0.19533969232404283	4646324	0	1	2.6375534974770343	98188.934011960591	482.59209571484041	0.0020721433460669267	True	60e4bafb6f30e453bd0de4962972aea0a7e7681b682ce2073dcbbabf52820c20
eas_neutral_exact_population_af_reverse_bridge_r001	2026083601	16257	406425	0.19533969232404283	2682489	1	1	0.11968489830639584	98188.934011960591	482.59209571484041	0.0020721433460669267	True	f2dcd6b154e3975b933c90da4f6224bfb56e2528659e96e61b1ef5bbcd667ae9
eas_neutral_exact_population_af_reverse_bridge_r002	2026083602	87138	2178450	0.19533969232404283	3789555	2	1	3.1522002472332389	98188.934011960591	482.59209571484041	0.0020721433460669267	True	138331357385dcd886a7494b4152520a017f5b19fd7c2d324b8b991bae5745ca
eas_neutral_exact_population_af_reverse_bridge_r003	2026083603	5073	126825	0.19533969232404283	5945222	3	1	1.8965254880907221	98188.934011960591	482.59209571484041	0.0020721433460669267	True	2c1b1f021770f3780c60989c2a74cbd6a055554bcee457c1b431dec5f8aafc78
eas_neutral_exact_population_af_reverse_bridge_r004	2026083604	9477	236925	0.19533969232404283	490680	4	1	4.7090126624550148	98188.934011960591	482.59209571484041	0.0020721433460669267	True	2a4f146d61d5aadf6d87146b81fa200a9fa7b2f9392898845205677624c677cd
eas_neutral_exact_population_af_reverse_bridge_r005	2026083605	11480	287000	0.19533969232404283	956916	5	1	4.862942751326564	98188.934011960591	482.59209571484041	0.0020721433460669267	True	c9089424c751c7037b89d665c736968dbeaf2572bdb7e42146116e5551b16987
eas_neutral_exact_population_af_reverse_bridge_r006	2026083606	21057	526425	0.19533969232404283	5414492	6	1	3.0420460227910624	98188.934011960591	482.59209571484041	0.0020721433460669267	True	f9b1a3a6dcba2cf339b3cbc3fa9d8b06cc056631ba324226ca8988093a7ff760
eas_neutral_exact_population_af_reverse_bridge_r007	2026083607	3871	96775	0.19533969232404283	8740116	7	1	4.8505468262682268	98188.934011960591	482.59209571484041	0.0020721433460669267	True	76bcf496a61305c925efb4b54d4ce90b4a35e723fe205ef084d8ce1094a5e1b0
eas_neutral_exact_population_af_reverse_bridge_r008	2026083608	13196	329900	0.19533969232404283	8787092	8	1	3.2516338182782132	98188.934011960591	482.59209571484041	0.0020721433460669267	True	f86b3bf23d501716d0e9d43a26dbb02553d76d5586a3bac673328b04ad2fd4d9
eas_neutral_exact_population_af_reverse_bridge_r009	2026083609	5700	142500	0.19533969232404283	2211433	9	1	2.4926845051014421	98188.934011960591	482.59209571484041	0.0020721433460669267	True	4699420b8b11da339196f7b77a28d2c98d81d2711870058ca7f70090e3c18dcc
