unit_id	demography	simulation_class	selection_coefficient	seed	generation_time_years	statistic	window	threshold_years	score	final_population_af	sample_alt_count	sample_af
eas_neutral_exact_population_af_reverse_bridge_r001	EAS	neutral	0	2026083601	25	mean_p_tmrca_lt	focal	20000	0.15386594549999999	0.19533969232404283	33	0.16500000000000001
eas_neutral_exact_population_af_reverse_bridge_r001	EAS	neutral	0	2026083601	25	mean_p_tmrca_lt	focal	30000	0.19967601600000001	0.19533969232404283	33	0.16500000000000001
eas_neutral_exact_population_af_reverse_bridge_r001	EAS	neutral	0	2026083601	25	mean_p_tmrca_lt	focal	40000	0.2338715888	0.19533969232404283	33	0.16500000000000001
eas_neutral_exact_population_af_reverse_bridge_r001	EAS	neutral	0	2026083601	25	mean_p_tmrca_lt	focal	50000	0.2601590386	0.19533969232404283	33	0.16500000000000001
eas_neutral_exact_population_af_reverse_bridge_r001	EAS	neutral	0	2026083601	25	mean_p_tmrca_lt	local_100kb	1000	0.0099646899038099996	0.19533969232404283	33	0.16500000000000001
eas_neutral_exact_population_af_reverse_bridge_r001	EAS	neutral	0	2026083601	25	mean_p_tmrca_lt	local_100kb	4500	0.043643750982899999	0.19533969232404283	33	0.16500000000000001
eas_neutral_exact_population_af_reverse_bridge_r001	EAS	neutral	0	2026083601	25	mean_p_tmrca_lt	local_100kb	10000	0.089639806587099996	0.19533969232404283	33	0.16500000000000001
eas_neutral_exact_population_af_reverse_bridge_r001	EAS	neutral	0	2026083601	25	mean_p_tmrca_lt	local_100kb	20000	0.15476330414299999	0.19533969232404283	33	0.16500000000000001
eas_neutral_exact_population_af_reverse_bridge_r001	EAS	neutral	0	2026083601	25	mean_p_tmrca_lt	local_100kb	30000	0.20395001385700001	0.19533969232404283	33	0.16500000000000001
eas_neutral_exact_population_af_reverse_bridge_r001	EAS	neutral	0	2026083601	25	mean_p_tmrca_lt	local_100kb	40000	0.24305748262900001	0.19533969232404283	33	0.16500000000000001
eas_neutral_exact_population_af_reverse_bridge_r001	EAS	neutral	0	2026083601	25	mean_p_tmrca_lt	local_100kb	50000	0.27537354688600002	0.19533969232404283	33	0.16500000000000001
eas_neutral_exact_population_af_reverse_bridge_r001	EAS	neutral	0	2026083601	25	paper_frac_posterior_mean_below	focal	1000	0.000404040404	0.19533969232404283	33	0.16500000000000001
eas_neutral_exact_population_af_reverse_bridge_r001	EAS	neutral	0	2026083601	25	paper_frac_posterior_mean_below	focal	4500	0.0022222222219999998	0.19533969232404283	33	0.16500000000000001
eas_neutral_exact_population_af_reverse_bridge_r001	EAS	neutral	0	2026083601	25	paper_frac_posterior_mean_below	focal	10000	0.023636363640000001	0.19533969232404283	33	0.16500000000000001
eas_neutral_exact_population_af_reverse_bridge_r001	EAS	neutral	0	2026083601	25	paper_frac_posterior_mean_below	focal	20000	0.086868686870000003	0.19533969232404283	33	0.16500000000000001
eas_neutral_exact_population_af_reverse_bridge_r001	EAS	neutral	0	2026083601	25	paper_frac_posterior_mean_below	focal	30000	0.14848484849999999	0.19533969232404283	33	0.16500000000000001
eas_neutral_exact_population_af_reverse_bridge_r001	EAS	neutral	0	2026083601	25	paper_frac_posterior_mean_below	focal	40000	0.19474747470000001	0.19533969232404283	33	0.16500000000000001
eas_neutral_exact_population_af_reverse_bridge_r001	EAS	neutral	0	2026083601	25	paper_frac_posterior_mean_below	focal	50000	0.2406060606	0.19533969232404283	33	0.16500000000000001
eas_neutral_exact_population_af_reverse_bridge_r001	EAS	neutral	0	2026083601	25	paper_frac_posterior_mean_below	local_100kb	1000	0.000404040404	0.19533969232404283	33	0.16500000000000001
eas_neutral_exact_population_af_reverse_bridge_r001	EAS	neutral	0	2026083601	25	paper_frac_posterior_mean_below	local_100kb	4500	0.00221260221238	0.19533969232404283	33	0.16500000000000001
eas_neutral_exact_population_af_reverse_bridge_r001	EAS	neutral	0	2026083601	25	paper_frac_posterior_mean_below	local_100kb	10000	0.023838383837600001	0.19533969232404283	33	0.16500000000000001
eas_neutral_exact_population_af_reverse_bridge_r001	EAS	neutral	0	2026083601	25	paper_frac_posterior_mean_below	local_100kb	20000	0.084886964887600003	0.19533969232404283	33	0.16500000000000001
