unit_id	seed	han_candidate_id	han_candidate_order	han_candidate_source_kind	han_generation_645_chb_af	final_population_af	sample_alt_count	sample_af	source_completion_sha256
han_introgressed_neutral_g645_gate_r000	2026082605	han_candidate_0005	5	existing_complete_natural_neutral_candidate	0.01138721555	0.0017695754537899999	0	0	be85d0937ce4d987d2f50ddb68fb8787e2224c6c2452f6bfcef197927d82c1c0
han_introgressed_neutral_g645_gate_r001	2026082614	han_candidate_0014	14	existing_complete_natural_neutral_candidate	0.0117221336544	0.033599149388600001	9	0.044999999999999998	44fb0a81f0c9a5de5cfa794af016f30cf5daea6fa3d3f6b2dd892b5e02679c3d
han_introgressed_neutral_g645_gate_r002	2026082622	han_candidate_0022	22	existing_complete_natural_neutral_candidate	0.012978076546	0.027257537783899999	6	0.029999999999999999	3525558f0595608d815373f3757326666c18b103fc2c1922097723e01476a95b
han_introgressed_neutral_g645_gate_r003	2026082645	han_candidate_0045	45	existing_complete_natural_neutral_candidate	0.0113034860239	0.062466772993100002	12	0.059999999999999998	c4996642e3480cd40ce16405eee8e980ad089d92ee8249b5b403504aaef6ccf8
han_introgressed_neutral_g645_gate_r004	2026082686	han_candidate_0086	86	existing_complete_natural_neutral_candidate	0.0118058631805	0.018880534670000001	3	0.014999999999999999	7efee561d1ac0785eb5b7b3864760c996c96cc5ab6308e915b04a01bb9f7ec79
han_introgressed_neutral_g645_gate_r005	2026084640	han_candidate_0140	140	new_screen_then_replay	0.012726887967699999	0.0227462595884	4	0.02	a29c6afddc3a045255fd05ed7910d013c29741a018cf6fc45c791fb899952f13
han_introgressed_neutral_g645_gate_r006	2026084650	han_candidate_0150	150	new_screen_then_replay	0.012726887967699999	0.038011695906400002	9	0.044999999999999998	31ba86a10c30fa66101dcd9dca848e6a6b290375db507ac53ff22d251432ed71
han_introgressed_neutral_g645_gate_r007	2026084676	han_candidate_0176	176	new_screen_then_replay	0.012810617493800001	0.064509759246600004	12	0.059999999999999998	210173e615992012a15a8b23c98ad51090281f2bc3efae1d2306f0689b9f36eb
han_introgressed_neutral_g645_gate_r008	2026084697	han_candidate_0197	197	new_screen_then_replay	0.0118058631805	0.0302042986254	7	0.035000000000000003	27dc5fe1fc08be945dec3ec3c217aadfda45bc1d38944281438cd218a576f3a7
han_introgressed_neutral_g645_gate_r009	2026084751	han_candidate_0251	251	new_screen_then_replay	0.011470945076099999	0.00021265284423200001	0	0	5939518fc0bbcc0d1b9147f23577021d6ee83f28a533813a8be8e5c6a5469d57
