summary_scope	base_specification_id	selection_coefficient	target_allele_frequency	genotype_class	threshold_years	n_paired_replicates	gamma_minus_truth_bias	mae	rmse	aggregation_weighting	pairing_rule
overall_micro_trajectory_weighted				overall	50000.0	155	-0.1159755314463871	0.14681559256380644	0.19562103573780804	accepted_trajectory_equal_micro_across_biological_cells	one_truth_and_one_gamma_value_per_replicate
cell	intro_s0p001_af10	0.001	0.1	heterozygous	1000.0	10	4.85905794e-09	4.85905794e-09	1.5365690373125786e-08	trajectory_equal_within_biological_cell	one_truth_and_one_gamma_value_per_replicate
cell	intro_s0p001_af10	0.001	0.1	heterozygous	4500.0	10	7.873508915256608e-07	7.873508915256608e-07	2.4898221349041076e-06	trajectory_equal_within_biological_cell	one_truth_and_one_gamma_value_per_replicate
cell	intro_s0p001_af10	0.001	0.1	heterozygous	10000.0	10	1.0719713421683971e-05	1.0719713421683971e-05	3.389871020822762e-05	trajectory_equal_within_biological_cell	one_truth_and_one_gamma_value_per_replicate
cell	intro_s0p001_af10	0.001	0.1	heterozygous	20000.0	10	9.1224274662967e-05	9.1224274662967e-05	0.00028847646400266736	trajectory_equal_within_biological_cell	one_truth_and_one_gamma_value_per_replicate
cell	intro_s0p001_af10	0.001	0.1	heterozygous	30000.0	10	0.0002906880369249481	0.0002906880369249481	0.0009192356874967748	trajectory_equal_within_biological_cell	one_truth_and_one_gamma_value_per_replicate
cell	intro_s0p001_af10	0.001	0.1	heterozygous	40000.0	10	0.0006228606358475622	0.0006228606358475622	0.001969652235627516	trajectory_equal_within_biological_cell	one_truth_and_one_gamma_value_per_replicate
cell	intro_s0p001_af10	0.001	0.1	heterozygous	50000.0	10	0.0010780134859077121	0.0010780134859077121	0.0034089425056678226	trajectory_equal_within_biological_cell	one_truth_and_one_gamma_value_per_replicate
cell	intro_s0p001_af10	0.001	0.1	hom_alt	1000.0	10	0.025809724986629645	0.025809724986629645	0.04402587154888137	trajectory_equal_within_biological_cell	one_truth_and_one_gamma_value_per_replicate
cell	intro_s0p001_af10	0.001	0.1	hom_alt	4500.0	10	0.045176487003211654	0.04580465525464021	0.052396069404027044	trajectory_equal_within_biological_cell	one_truth_and_one_gamma_value_per_replicate
cell	intro_s0p001_af10	0.001	0.1	hom_alt	10000.0	10	0.06638871383010055	0.07254114722565608	0.08549244426562745	trajectory_equal_within_biological_cell	one_truth_and_one_gamma_value_per_replicate
cell	intro_s0p001_af10	0.001	0.1	hom_alt	20000.0	10	0.11048827834524873	0.12687152712480426	0.1627290327092615	trajectory_equal_within_biological_cell	one_truth_and_one_gamma_value_per_replicate
cell	intro_s0p001_af10	0.001	0.1	hom_alt	30000.0	10	-0.030711325433544955	0.17902648217513228	0.21029054218609475	trajectory_equal_within_biological_cell	one_truth_and_one_gamma_value_per_replicate
cell	intro_s0p001_af10	0.001	0.1	hom_alt	40000.0	10	-0.15358939718243383	0.25204626827735443	0.34374152983245393	trajectory_equal_within_biological_cell	one_truth_and_one_gamma_value_per_replicate
cell	intro_s0p001_af10	0.001	0.1	hom_alt	50000.0	10	-0.30052047838428575	0.35004887253539685	0.41490724177554456	trajectory_equal_within_biological_cell	one_truth_and_one_gamma_value_per_replicate
cell	intro_s0p001_af10	0.001	0.1	hom_ref	1000.0	10	0.011764960065397439	0.011764960065397439	0.01766016567433543	trajectory_equal_within_biological_cell	one_truth_and_one_gamma_value_per_replicate
