base_specification_id	replicate_id	replicate_index	specification_id	selection_coefficient	target_allele_frequency	simulation_status	decode_status	error_type	detail	decode_error_type	decode_detail	invocation_count	cumulative_elapsed_seconds	completed_external_draws	launched_external_draws	interrupted_internal_conditioned_trajectories	last_completed_draw_sample_af	last_completed_draw_n_hom_ref	conditioning_missingness	status
intro_s0p001_af60	intro_s0p001_af60__rep008	8	intro_s0p001_af60__rep008	0.001	0.6	complete	complete					2	477.5821439999854	1	2	1	0.77	4.0	nonrandom	complete
intro_s0p001_af60	intro_s0p001_af60__rep009	9	intro_s0p001_af60__rep009	0.001	0.6	complete	complete					2	522.8511494999403	1	2	1	0.68	11.0	nonrandom	complete
intro_s0p001_af60	intro_s0p001_af60__rep010	10	intro_s0p001_af60__rep010	0.001	0.6	exhausted	not_simulated	CumulativeSpecificationTimeout	SLiM conditioning exhausted the declared cumulative per-specification limit of 1800 seconds			7	1800.19502799998	0	6	5			nonrandom	exhausted
intro_s0p001_af70	intro_s0p001_af70__rep001	1	intro_s0p001_af70__rep001	0.001	0.7	exhausted	not_simulated	CumulativeSpecificationTimeout	SLiM conditioning exhausted the declared cumulative per-specification limit of 1800 seconds			7	1801.0750586999602	0	6	5			nonrandom	exhausted
intro_s0p001_af70	intro_s0p001_af70__rep002	2	intro_s0p001_af70__rep002	0.001	0.7	exhausted	not_simulated	CumulativeSpecificationTimeout	SLiM conditioning exhausted the declared cumulative per-specification limit of 1800 seconds			7	1800.0928980000608	0	6	5			nonrandom	exhausted
intro_s0p001_af70	intro_s0p001_af70__rep003	3	intro_s0p001_af70__rep003	0.001	0.7	exhausted	not_simulated	CumulativeSpecificationTimeout	SLiM conditioning exhausted the declared cumulative per-specification limit of 1800 seconds			7	1800.331796499995	0	6	5			nonrandom	exhausted
intro_s0p001_af70	intro_s0p001_af70__rep004	4	intro_s0p001_af70__rep004	0.001	0.7	exhausted	not_simulated	CumulativeSpecificationTimeout	SLiM conditioning exhausted the declared cumulative per-specification limit of 1800 seconds			7	1800.0921841999807	0	6	5			nonrandom	exhausted
intro_s0p001_af70	intro_s0p001_af70__rep005	5	intro_s0p001_af70__rep005	0.001	0.7	timed_out	not_simulated	SpecificationTimeout	SLiM conditioning exceeded the declared per-specification limit of 42.6596 seconds			7	1800.0005664999662	0	7	6			nonrandom	timed_out
intro_s0p001_af70	intro_s0p001_af70__rep006	6	intro_s0p001_af70__rep006	0.001	0.7	exhausted	not_simulated	CumulativeSpecificationTimeout	SLiM conditioning exhausted the declared cumulative per-specification limit of 1800 seconds			7	1800.1179569999222	0	6	5			nonrandom	exhausted
intro_s0p001_af70	intro_s0p001_af70__rep007	7	intro_s0p001_af70__rep007	0.001	0.7	exhausted	not_simulated	CumulativeSpecificationTimeout	SLiM conditioning exhausted the declared cumulative per-specification limit of 1800 seconds			7	1800.320396400024	0	6	5			nonrandom	exhausted
intro_s0p001_af70	intro_s0p001_af70__rep008	8	intro_s0p001_af70__rep008	0.001	0.7	exhausted	not_simulated	CumulativeSpecificationTimeout	SLiM conditioning exhausted the declared cumulative per-specification limit of 1800 seconds			7	1800.1483625000146	0	6	5			nonrandom	exhausted
intro_s0p001_af70	intro_s0p001_af70__rep009	9	intro_s0p001_af70__rep009	0.001	0.7	timed_out	not_simulated	SpecificationTimeout	SLiM conditioning exceeded the declared per-specification limit of 70.4984 seconds			7	1800.0166251999856	0	7	6			nonrandom	timed_out
intro_s0p001_af70	intro_s0p001_af70__rep010	10	intro_s0p001_af70__rep010	0.001	0.7	exhausted	not_simulated	CumulativeSpecificationTimeout	SLiM conditioning exhausted the declared cumulative per-specification limit of 1800 seconds			7	1800.213907899968	0	6	5			nonrandom	exhausted
intro_s0p001_af80	intro_s0p001_af80__rep001	1	intro_s0p001_af80__rep001	0.001	0.8	complete	complete					6	1673.5981277000355	1	6	5	0.8	4.0	nonrandom	complete
intro_s0p001_af80	intro_s0p001_af80__rep002	2	intro_s0p001_af80__rep002	0.001	0.8	exhausted	not_simulated	CumulativeSpecificationTimeout	SLiM conditioning exhausted the declared cumulative per-specification limit of 1800 seconds			7	1800.137809900014	0	6	5			nonrandom	exhausted
intro_s0p001_af80	intro_s0p001_af80__rep003	3	intro_s0p001_af80__rep003	0.001	0.8	exhausted	not_simulated	CumulativeSpecificationTimeout	SLiM conditioning exhausted the declared cumulative per-specification limit of 1800 seconds			7	1800.2422626000225	0	6	5			nonrandom	exhausted
intro_s0p001_af80	intro_s0p001_af80__rep004	4	intro_s0p001_af80__rep004	0.001	0.8	exhausted	not_simulated	CumulativeSpecificationTimeout	SLiM conditioning exhausted the declared cumulative per-specification limit of 1800 seconds			7	1800.0474371999808	0	6	5			nonrandom	exhausted
intro_s0p001_af80	intro_s0p001_af80__rep005	5	intro_s0p001_af80__rep005	0.001	0.8	exhausted	not_simulated	CumulativeSpecificationTimeout	SLiM conditioning exhausted the declared cumulative per-specification limit of 1800 seconds			7	1800.1854626999557	0	6	5			nonrandom	exhausted
intro_s0p001_af80	intro_s0p001_af80__rep006	6	intro_s0p001_af80__rep006	0.001	0.8	exhausted	not_simulated	CumulativeSpecificationTimeout	SLiM conditioning exhausted the declared cumulative per-specification limit of 1800 seconds			7	1800.3599536000365	0	6	5			nonrandom	exhausted
intro_s0p001_af80	intro_s0p001_af80__rep007	7	intro_s0p001_af80__rep007	0.001	0.8	exhausted	not_simulated	CumulativeSpecificationTimeout	SLiM conditioning exhausted the declared cumulative per-specification limit of 1800 seconds			7	1800.6343384999345	0	6	5			nonrandom	exhausted
intro_s0p001_af80	intro_s0p001_af80__rep008	8	intro_s0p001_af80__rep008	0.001	0.8	exhausted	not_simulated	CumulativeSpecificationTimeout	SLiM conditioning exhausted the declared cumulative per-specification limit of 1800 seconds			7	1800.853152600026	0	6	5			nonrandom	exhausted
intro_s0p001_af80	intro_s0p001_af80__rep009	9	intro_s0p001_af80__rep009	0.001	0.8	timed_out	not_simulated	SpecificationTimeout	SLiM conditioning exceeded the declared per-specification limit of 89.9434 seconds			7	1800.158503999961	0	7	6			nonrandom	timed_out
intro_s0p001_af80	intro_s0p001_af80__rep010	10	intro_s0p001_af80__rep010	0.001	0.8	exhausted	not_simulated	CumulativeSpecificationTimeout	SLiM conditioning exhausted the declared cumulative per-specification limit of 1800 seconds			7	1800.4520911000145	0	6	5			nonrandom	exhausted
intro_s0p001_af90	intro_s0p001_af90__rep001	1	intro_s0p001_af90__rep001	0.001	0.9	exhausted	not_simulated	CumulativeSpecificationTimeout	SLiM conditioning exhausted the declared cumulative per-specification limit of 1800 seconds			7	1804.2477718999944	0	6	5			nonrandom	exhausted
intro_s0p001_af90	intro_s0p001_af90__rep002	2	intro_s0p001_af90__rep002	0.001	0.9	exhausted	not_simulated	CumulativeSpecificationTimeout	SLiM conditioning exhausted the declared cumulative per-specification limit of 1800 seconds			7	1800.0016585999656	0	6	5			nonrandom	exhausted
intro_s0p001_af90	intro_s0p001_af90__rep003	3	intro_s0p001_af90__rep003	0.001	0.9	exhausted	not_simulated	CumulativeSpecificationTimeout	SLiM conditioning exhausted the declared cumulative per-specification limit of 1800 seconds			7	1800.2268228000721	0	6	5			nonrandom	exhausted
intro_s0p001_af90	intro_s0p001_af90__rep004	4	intro_s0p001_af90__rep004	0.001	0.9	exhausted	not_simulated	CumulativeSpecificationTimeout	SLiM conditioning exhausted the declared cumulative per-specification limit of 1800 seconds			7	1800.1596329999375	0	6	5			nonrandom	exhausted
intro_s0p001_af90	intro_s0p001_af90__rep005	5	intro_s0p001_af90__rep005	0.001	0.9	exhausted	not_simulated	CumulativeSpecificationTimeout	SLiM conditioning exhausted the declared cumulative per-specification limit of 1800 seconds			7	1800.666167899988	0	6	5			nonrandom	exhausted
intro_s0p001_af90	intro_s0p001_af90__rep006	6	intro_s0p001_af90__rep006	0.001	0.9	exhausted	not_simulated	CumulativeSpecificationTimeout	SLiM conditioning exhausted the declared cumulative per-specification limit of 1800 seconds			7	1801.557904900037	0	6	5			nonrandom	exhausted
intro_s0p001_af90	intro_s0p001_af90__rep007	7	intro_s0p001_af90__rep007	0.001	0.9	exhausted	not_simulated	CumulativeSpecificationTimeout	SLiM conditioning exhausted the declared cumulative per-specification limit of 1800 seconds			7	1800.8226443000458	0	6	5			nonrandom	exhausted
intro_s0p001_af90	intro_s0p001_af90__rep008	8	intro_s0p001_af90__rep008	0.001	0.9	exhausted	not_simulated	CumulativeSpecificationTimeout	SLiM conditioning exhausted the declared cumulative per-specification limit of 1800 seconds			7	1800.1419800999502	0	6	5			nonrandom	exhausted
intro_s0p001_af90	intro_s0p001_af90__rep009	9	intro_s0p001_af90__rep009	0.001	0.9	timed_out	not_simulated	SpecificationTimeout	SLiM conditioning exceeded the declared per-specification limit of 93.1829 seconds			7	1800.0743222999965	0	7	6			nonrandom	timed_out
intro_s0p001_af90	intro_s0p001_af90__rep010	10	intro_s0p001_af90__rep010	0.001	0.9	exhausted	not_simulated	CumulativeSpecificationTimeout	SLiM conditioning exhausted the declared cumulative per-specification limit of 1800 seconds			7	1800.0230212000097	0	6	5			nonrandom	exhausted
intro_s0p005_af10	intro_s0p005_af10__rep001	1	intro_s0p005_af10__rep001	0.005	0.1	complete	complete					1	66.44869639998069	1	1	0	0.465	26.0	nonrandom	complete
intro_s0p005_af10	intro_s0p005_af10__rep002	2	intro_s0p005_af10__rep002	0.005	0.1	complete	complete					1	88.97366880002664	1	1	0	0.36	44.0	nonrandom	complete
intro_s0p005_af10	intro_s0p005_af10__rep003	3	intro_s0p005_af10__rep003	0.005	0.1	complete	complete					1	50.41123349999543	1	1	0	0.9	2.0	nonrandom	complete
intro_s0p005_af10	intro_s0p005_af10__rep004	4	intro_s0p005_af10__rep004	0.005	0.1	complete	complete					1	60.04159320000326	1	1	0	0.77	6.0	nonrandom	complete
intro_s0p005_af10	intro_s0p005_af10__rep005	5	intro_s0p005_af10__rep005	0.005	0.1	complete	complete					1	105.147860499972	1	1	0	0.65	15.0	nonrandom	complete
intro_s0p005_af10	intro_s0p005_af10__rep006	6	intro_s0p005_af10__rep006	0.005	0.1	complete	complete					1	165.88895480002975	2	2	0	0.85	4.0	nonrandom	complete
intro_s0p005_af10	intro_s0p005_af10__rep007	7	intro_s0p005_af10__rep007	0.005	0.1	complete	complete					2	363.13277850003215	3	4	1	0.795	4.0	nonrandom	complete
intro_s0p005_af10	intro_s0p005_af10__rep008	8	intro_s0p005_af10__rep008	0.005	0.1	complete	complete					1	51.238958000030834	1	1	0	0.71	5.0	nonrandom	complete
intro_s0p005_af10	intro_s0p005_af10__rep009	9	intro_s0p005_af10__rep009	0.005	0.1	complete	complete					1	51.751255100010894	1	1	0	0.5	31.0	nonrandom	complete
intro_s0p005_af10	intro_s0p005_af10__rep010	10	intro_s0p005_af10__rep010	0.005	0.1	complete	complete					1	163.6004056999809	2	2	0	0.86	3.0	nonrandom	complete
intro_s0p005_af20	intro_s0p005_af20__rep001	1	intro_s0p005_af20__rep001	0.005	0.2	complete	complete					1	56.19759959995281	1	1	0	0.595	15.0	nonrandom	complete
intro_s0p005_af20	intro_s0p005_af20__rep002	2	intro_s0p005_af20__rep002	0.005	0.2	complete	complete					1	96.44947110000066	1	1	0	0.725	9.0	nonrandom	complete
intro_s0p005_af20	intro_s0p005_af20__rep003	3	intro_s0p005_af20__rep003	0.005	0.2	complete	complete					1	101.1750726000173	1	1	0	0.815	4.0	nonrandom	complete
intro_s0p005_af20	intro_s0p005_af20__rep004	4	intro_s0p005_af20__rep004	0.005	0.2	complete	complete					1	63.123569199990015	1	1	0	0.55	13.0	nonrandom	complete
intro_s0p005_af20	intro_s0p005_af20__rep005	5	intro_s0p005_af20__rep005	0.005	0.2	complete	complete					1	231.89691890001995	3	3	0	0.935	2.0	nonrandom	complete
intro_s0p005_af20	intro_s0p005_af20__rep006	6	intro_s0p005_af20__rep006	0.005	0.2	complete	complete					1	51.40033299999777	1	1	0	0.645	9.0	nonrandom	complete
intro_s0p005_af20	intro_s0p005_af20__rep007	7	intro_s0p005_af20__rep007	0.005	0.2	complete	complete					1	144.82295579998754	1	1	0	0.71	9.0	nonrandom	complete
intro_s0p005_af20	intro_s0p005_af20__rep008	8	intro_s0p005_af20__rep008	0.005	0.2	complete	complete					1	62.11921469995286	1	1	0	0.565	21.0	nonrandom	complete
intro_s0p005_af20	intro_s0p005_af20__rep009	9	intro_s0p005_af20__rep009	0.005	0.2	complete	complete					1	146.59998719999567	2	2	0	0.565	17.0	nonrandom	complete
intro_s0p005_af20	intro_s0p005_af20__rep010	10	intro_s0p005_af20__rep010	0.005	0.2	complete	complete					1	111.98467500001424	1	1	0	0.335	47.0	nonrandom	complete
intro_s0p005_af30	intro_s0p005_af30__rep001	1	intro_s0p005_af30__rep001	0.005	0.3	complete	complete					1	54.82291740004439	1	1	0	0.885	2.0	nonrandom	complete
