source	position_0based	contrast_scope	alt_minus_ref_normalized_cdf_auc	alt_minus_ref_mean_tmrca_generations	alt_minus_ref_mean_tmrca_years	expected_sweep_sign_normalized_cdf_auc	expected_sweep_sign_mean_tmrca	base_specification_id	replicate_id	replicate_index	specification_id	selection_coefficient	target_allele_frequency
gamma_smc	5000000.0	internal_genotype_contrast_no_neutral_null	0.06264828186185602	-17355.463996000002	-433886.59990000003	positive	negative	intro_s0p001_af20	intro_s0p001_af20__rep002	2	intro_s0p001_af20__rep002	0.001	0.2
tree_truth	5000000.0	internal_genotype_contrast_no_neutral_null	0.06149732620320858	-44091.01402318897	-1102275.3505797242	positive	negative	intro_s0p001_af20	intro_s0p001_af20__rep003	3	intro_s0p001_af20__rep003	0.001	0.2
gamma_smc	5000000.0	internal_genotype_contrast_no_neutral_null	0.1540861397167	-19100.693169000002	-477517.32922500005	positive	negative	intro_s0p001_af20	intro_s0p001_af20__rep003	3	intro_s0p001_af20__rep003	0.001	0.2
tree_truth	5000000.0	internal_genotype_contrast_no_neutral_null	0.15388888888888894	-26451.35735169724	-661283.933792431	positive	negative	intro_s0p001_af20	intro_s0p001_af20__rep004	4	intro_s0p001_af20__rep004	0.001	0.2
gamma_smc	5000000.0	internal_genotype_contrast_no_neutral_null	0.007879969757709979	100.01702000000296	2500.425500000074	positive	negative	intro_s0p001_af20	intro_s0p001_af20__rep004	4	intro_s0p001_af20__rep004	0.001	0.2
tree_truth	5000000.0	internal_genotype_contrast_no_neutral_null	0.37315126050420167	-9665.678477077945	-241641.96192694863	positive	negative	intro_s0p001_af20	intro_s0p001_af20__rep005	5	intro_s0p001_af20__rep005	0.001	0.2
gamma_smc	5000000.0	internal_genotype_contrast_no_neutral_null	0.23872189804401	-16573.809501	-414345.237525	positive	negative	intro_s0p001_af20	intro_s0p001_af20__rep005	5	intro_s0p001_af20__rep005	0.001	0.2
tree_truth	5000000.0	internal_genotype_contrast_no_neutral_null	0.09711538461538471	-36223.27988165572	-905581.997041393	positive	negative	intro_s0p001_af20	intro_s0p001_af20__rep006	6	intro_s0p001_af20__rep006	0.001	0.2
gamma_smc	5000000.0	internal_genotype_contrast_no_neutral_null	-0.02536498648813501	-16582.87911	-414571.97775	positive	negative	intro_s0p001_af20	intro_s0p001_af20__rep006	6	intro_s0p001_af20__rep006	0.001	0.2
tree_truth	5000000.0	internal_genotype_contrast_no_neutral_null	0.062346938775510174	-14112.959183673469	-352823.97959183675	positive	negative	intro_s0p001_af20	intro_s0p001_af20__rep007	7	intro_s0p001_af20__rep007	0.001	0.2
gamma_smc	5000000.0	internal_genotype_contrast_no_neutral_null	0.25490435933327754	-14660.638191	-366515.954775	positive	negative	intro_s0p001_af20	intro_s0p001_af20__rep007	7	intro_s0p001_af20__rep007	0.001	0.2
