base_specification_id	selection_coefficient	target_allele_frequency	source	genotype_class	threshold_years	n_observed_replicates	mean_p_tmrca_lt_threshold	median_p_tmrca_lt_threshold	sample_sd_p_tmrca_lt_threshold	q25_p_tmrca_lt_threshold	q75_p_tmrca_lt_threshold	bootstrap_mean_ci95_low	bootstrap_mean_ci95_high	bootstrap_draws	bootstrap_seed	conditioning_missingness
intro_s0p001_af10	0.001	0.1	gamma_smc	overall	10000.0	10	0.047347663204	0.046833521735	0.020895157073320805	0.0318290777125	0.056016509137500003	0.03579721610682501	0.060230101040999996	5000	37419462	nonrandom
intro_s0p001_af10	0.001	0.1	gamma_smc	overall	20000.0	10	0.07197162668399999	0.07705535185500001	0.031099849665148657	0.0438721034125	0.088545593435	0.054300601880449995	0.090079467589475	5000	668252451	nonrandom
intro_s0p001_af10	0.001	0.1	gamma_smc	overall	30000.0	10	0.09071285936	0.09818938097999999	0.039816512056948174	0.0574402981325	0.116934889225	0.06795198458725	0.11523622226937501	5000	1689651722	nonrandom
intro_s0p001_af10	0.001	0.1	gamma_smc	overall	40000.0	10	0.10569175603200001	0.1165027199	0.046839490679019415	0.06944271300749999	0.13708710405000002	0.07814611347892499	0.13352457294630002	5000	759530784	nonrandom
intro_s0p001_af10	0.001	0.1	gamma_smc	overall	50000.0	10	0.11807643730499999	0.1310641104	0.05238070913513553	0.07667423634750001	0.152739128775	0.0867186452908	0.14872194003985	5000	812089551	nonrandom
intro_s0p001_af10	0.001	0.1	tree_truth	heterozygous	1000.0	10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5000	479405976	nonrandom
intro_s0p001_af10	0.001	0.1	tree_truth	heterozygous	4500.0	10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5000	1288636504	nonrandom
intro_s0p001_af10	0.001	0.1	tree_truth	heterozygous	10000.0	10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5000	1388237699	nonrandom
intro_s0p001_af10	0.001	0.1	tree_truth	heterozygous	20000.0	10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5000	1997721012	nonrandom
intro_s0p001_af10	0.001	0.1	tree_truth	heterozygous	30000.0	10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5000	1649300358	nonrandom
