base_specification_id	replicate_id	replicate_index	specification_id	selection_coefficient	target_allele_frequency	achieved_allele_frequency	achieved_allele_frequency_scope	accepted_seed	attempts_to_accept	completed_external_sample_panel_draws	interrupted_internal_conditioned_trajectories	launched_external_draws	invocation_count	cumulative_elapsed_seconds	n_hom_ref	n_heterozygous	n_hom_alt	decoded	conditioning_missingness
intro_s0p005_af20	intro_s0p005_af20__rep003	3	intro_s0p005_af20__rep003	0.005	0.2	0.815	sample_estimate	1229358037	1	1	0	1	1	101.1750726000173	4	29	67	True	nonrandom
intro_s0p005_af20	intro_s0p005_af20__rep004	4	intro_s0p005_af20__rep004	0.005	0.2	0.55	sample_estimate	1193690329	1	1	0	1	1	63.123569199990015	13	64	23	True	nonrandom
intro_s0p005_af20	intro_s0p005_af20__rep005	5	intro_s0p005_af20__rep005	0.005	0.2	0.935	sample_estimate	1869352253	3	3	0	3	1	231.89691890001995	2	9	89	True	nonrandom
intro_s0p005_af20	intro_s0p005_af20__rep006	6	intro_s0p005_af20__rep006	0.005	0.2	0.645	sample_estimate	1761893706	1	1	0	1	1	51.40033299999777	9	53	38	True	nonrandom
intro_s0p005_af20	intro_s0p005_af20__rep007	7	intro_s0p005_af20__rep007	0.005	0.2	0.71	sample_estimate	976478781	1	1	0	1	1	144.82295579998754	9	40	51	True	nonrandom
intro_s0p005_af20	intro_s0p005_af20__rep008	8	intro_s0p005_af20__rep008	0.005	0.2	0.565	sample_estimate	1134373480	1	1	0	1	1	62.11921469995286	21	45	34	True	nonrandom
intro_s0p005_af20	intro_s0p005_af20__rep009	9	intro_s0p005_af20__rep009	0.005	0.2	0.565	sample_estimate	1042751216	2	2	0	2	1	146.59998719999567	17	53	30	True	nonrandom
intro_s0p005_af20	intro_s0p005_af20__rep010	10	intro_s0p005_af20__rep010	0.005	0.2	0.335	sample_estimate	1793742439	1	1	0	1	1	111.98467500001424	47	39	14	True	nonrandom
intro_s0p005_af30	intro_s0p005_af30__rep001	1	intro_s0p005_af30__rep001	0.005	0.3	0.885	sample_estimate	600771637	1	1	0	1	1	54.82291740004439	2	19	79	True	nonrandom
intro_s0p005_af30	intro_s0p005_af30__rep002	2	intro_s0p005_af30__rep002	0.005	0.3	0.795	sample_estimate	1632417881	1	1	0	1	1	133.0683396999957	7	27	66	True	nonrandom
intro_s0p005_af30	intro_s0p005_af30__rep003	3	intro_s0p005_af30__rep003	0.005	0.3	0.595	sample_estimate	405468463	3	3	0	3	1	184.2796671999968	19	43	38	True	nonrandom
intro_s0p005_af30	intro_s0p005_af30__rep004	4	intro_s0p005_af30__rep004	0.005	0.3	0.8	sample_estimate	1113559129	1	1	0	1	1	75.82121759996517	3	34	63	True	nonrandom
intro_s0p005_af30	intro_s0p005_af30__rep005	5	intro_s0p005_af30__rep005	0.005	0.3	0.62	sample_estimate	697648029	1	1	0	1	1	76.40350680000847	10	56	34	True	nonrandom
intro_s0p005_af30	intro_s0p005_af30__rep006	6	intro_s0p005_af30__rep006	0.005	0.3	0.83	sample_estimate	500539986	4	4	1	5	2	373.3152272999869	3	28	69	True	nonrandom
intro_s0p005_af30	intro_s0p005_af30__rep007	7	intro_s0p005_af30__rep007	0.005	0.3	0.8	sample_estimate	535612525	1	1	0	1	2	113.59818340005586	2	36	62	True	nonrandom
intro_s0p005_af30	intro_s0p005_af30__rep008	8	intro_s0p005_af30__rep008	0.005	0.3	0.58	sample_estimate	805037206	2	2	0	2	1	221.0079884000006	14	56	30	True	nonrandom
intro_s0p005_af30	intro_s0p005_af30__rep009	9	intro_s0p005_af30__rep009	0.005	0.3	0.78	sample_estimate	2042326999	1	1	0	1	1	65.97958360001212	2	40	58	True	nonrandom
intro_s0p005_af30	intro_s0p005_af30__rep010	10	intro_s0p005_af30__rep010	0.005	0.3	0.84	sample_estimate	635806055	1	1	0	1	1	50.10998979996657	7	18	75	True	nonrandom
intro_s0p005_af40	intro_s0p005_af40__rep001	1	intro_s0p005_af40__rep001	0.005	0.4	0.67	sample_estimate	321166564	1	1	0	1	1	81.99166399997193	11	44	45	True	nonrandom
