# Gamma-SMC explicit haplotype pairs
# genotype_class	hom_ref
# n_pairs	34
0	1
2	3
4	5
8	9
12	13
16	17
18	19
26	27
42	43
44	45
48	49
52	53
58	59
78	79
84	85
92	93
96	97
98	99
100	101
104	105
108	109
110	111
124	125
132	133
134	135
140	141
150	151
162	163
172	173
174	175
178	179
182	183
184	185
196	197
