# Gamma-SMC explicit haplotype pairs
# genotype_class	heterozygous
# n_pairs	18
0	1
8	9
12	13
14	15
16	17
22	23
28	29
32	33
34	35
56	57
84	85
96	97
112	113
122	123
138	139
150	151
172	173
182	183
