arm_id	estimator	genotype_class	conditioned_on_presence	threshold_years	n_selected	n_significant	power	median_p_value	median_observed	n_null	arm_label
chb_archaic_single_founder	gamma_smc_frac	overall	False	1000.0	100	0	0.0	1.0	0.0	100	CHB archaic, single founder (EPAS1-like)
chb_archaic_single_founder	gamma_smc_frac	overall	False	4500.0	100	59	0.59	0.0396039603960396	0.03	100	CHB archaic, single founder (EPAS1-like)
chb_archaic_single_founder	gamma_smc_frac	overall	False	10000.0	100	58	0.58	0.0297029702970297	0.14	100	CHB archaic, single founder (EPAS1-like)
chb_archaic_single_founder	gamma_smc_frac	overall	False	20000.0	100	27	0.27	0.2079207920792079	0.27	100	CHB archaic, single founder (EPAS1-like)
chb_archaic_single_founder	gamma_smc_frac	overall	False	30000.0	100	20	0.2	0.2871287128712871	0.345	100	CHB archaic, single founder (EPAS1-like)
chb_archaic_single_founder	gamma_smc_frac	overall	False	40000.0	100	13	0.13	0.3415841584158415	0.375	100	CHB archaic, single founder (EPAS1-like)
chb_archaic_single_founder	gamma_smc_frac	overall	False	50000.0	100	10	0.1	0.3762376237623762	0.41	100	CHB archaic, single founder (EPAS1-like)
chb_archaic_single_founder	gamma_smc_frac	overall	True	1000.0	0	0				0	CHB archaic, single founder (EPAS1-like)
chb_archaic_single_founder	gamma_smc_frac	overall	True	4500.0	0	0				0	CHB archaic, single founder (EPAS1-like)
chb_archaic_single_founder	gamma_smc_frac	overall	True	10000.0	0	0				0	CHB archaic, single founder (EPAS1-like)
chb_archaic_single_founder	gamma_smc_frac	overall	True	20000.0	0	0				0	CHB archaic, single founder (EPAS1-like)
chb_archaic_single_founder	gamma_smc_frac	overall	True	30000.0	0	0				0	CHB archaic, single founder (EPAS1-like)
chb_archaic_single_founder	gamma_smc_frac	overall	True	40000.0	0	0				0	CHB archaic, single founder (EPAS1-like)
chb_archaic_single_founder	gamma_smc_frac	overall	True	50000.0	0	0				0	CHB archaic, single founder (EPAS1-like)
chb_archaic_single_founder	gamma_smc_meanp	overall	False	1000.0	100	52	0.52	0.0445544554455445	0.022816667955	100	CHB archaic, single founder (EPAS1-like)
chb_archaic_single_founder	gamma_smc_meanp	overall	False	4500.0	100	47	0.47	0.0841584158415841	0.094274277585	100	CHB archaic, single founder (EPAS1-like)
chb_archaic_single_founder	gamma_smc_meanp	overall	False	10000.0	100	37	0.37	0.1386138613861386	0.17706795485	100	CHB archaic, single founder (EPAS1-like)
chb_archaic_single_founder	gamma_smc_meanp	overall	False	20000.0	100	23	0.23	0.2277227722772277	0.27851851885	100	CHB archaic, single founder (EPAS1-like)
chb_archaic_single_founder	gamma_smc_meanp	overall	False	30000.0	100	21	0.21	0.3316831683168317	0.3322367821	100	CHB archaic, single founder (EPAS1-like)
chb_archaic_single_founder	gamma_smc_meanp	overall	False	40000.0	100	15	0.15	0.4554455445544554	0.36977772345	100	CHB archaic, single founder (EPAS1-like)
chb_archaic_single_founder	gamma_smc_meanp	overall	False	50000.0	100	13	0.13	0.5148514851485149	0.3952669024499999	100	CHB archaic, single founder (EPAS1-like)
chb_archaic_single_founder	gamma_smc_meanp	overall	True	1000.0	0	0				0	CHB archaic, single founder (EPAS1-like)
chb_archaic_single_founder	gamma_smc_meanp	overall	True	4500.0	0	0				0	CHB archaic, single founder (EPAS1-like)
chb_archaic_single_founder	gamma_smc_meanp	overall	True	10000.0	0	0				0	CHB archaic, single founder (EPAS1-like)
chb_archaic_single_founder	gamma_smc_meanp	overall	True	20000.0	0	0				0	CHB archaic, single founder (EPAS1-like)
chb_archaic_single_founder	gamma_smc_meanp	overall	True	30000.0	0	0				0	CHB archaic, single founder (EPAS1-like)
chb_archaic_single_founder	gamma_smc_meanp	overall	True	40000.0	0	0				0	CHB archaic, single founder (EPAS1-like)
chb_archaic_single_founder	gamma_smc_meanp	overall	True	50000.0	0	0				0	CHB archaic, single founder (EPAS1-like)
chb_archaic_single_founder	tree_truth	any_carrier	False	1000.0	0	0				0	CHB archaic, single founder (EPAS1-like)
chb_archaic_single_founder	tree_truth	any_carrier	False	4500.0	0	0				0	CHB archaic, single founder (EPAS1-like)
chb_archaic_single_founder	tree_truth	any_carrier	False	10000.0	0	0				0	CHB archaic, single founder (EPAS1-like)
chb_archaic_single_founder	tree_truth	any_carrier	False	20000.0	0	0				0	CHB archaic, single founder (EPAS1-like)
chb_archaic_single_founder	tree_truth	any_carrier	False	30000.0	0	0				0	CHB archaic, single founder (EPAS1-like)
