key,position_bp,decoded_all_T50000
neutral/rep0286,1610000,0.1952
neutral/rep0286,1620000,0.1793
neutral/rep0286,1630000,0.1875
neutral/rep0286,1640000,0.1833
neutral/rep0286,1650000,0.1932
neutral/rep0286,1660000,0.1898
neutral/rep0286,1670000,0.1768
neutral/rep0286,1680000,0.205
neutral/rep0286,1690000,0.2209
neutral/rep0286,1700000,0.2292
neutral/rep0286,1710000,0.2409
neutral/rep0286,1720000,0.2969
neutral/rep0286,1730000,0.2894
neutral/rep0286,1740000,0.2669
neutral/rep0286,1750000,0.1882
neutral/rep0286,1760000,0.1883
neutral/rep0286,1770000,0.2246
neutral/rep0286,1780000,0.2294
neutral/rep0286,1790000,0.2519
neutral/rep0286,1800000,0.345
neutral/rep0286,1810000,0.4842
neutral/rep0286,1820000,0.5549
neutral/rep0286,1830000,0.4434
neutral/rep0286,1840000,0.3151
neutral/rep0286,1850000,0.2659
neutral/rep0286,1860000,0.2923
neutral/rep0286,1870000,0.2761
neutral/rep0286,1880000,0.2567
neutral/rep0286,1890000,0.2383
neutral/rep0286,1900000,0.2593
neutral/rep0286,1910000,0.2544
neutral/rep0286,1920000,0.2426
neutral/rep0286,1930000,0.1902
neutral/rep0286,1940000,0.2387
neutral/rep0286,1950000,0.2461
neutral/rep0286,1960000,0.2242
neutral/rep0286,1970000,0.1691
neutral/rep0286,1980000,0.1359
neutral/rep0286,1990000,0.1334
neutral/rep0286,2000000,0.1114
neutral/rep0286,2010000,0.1046
neutral/rep0286,2020000,0.1117
neutral/rep0286,2030000,0.1202
neutral/rep0286,2040000,0.1208
neutral/rep0286,2050000,0.1272
neutral/rep0286,2060000,0.1203
neutral/rep0286,2070000,0.118
neutral/rep0286,2080000,0.1402
neutral/rep0286,2090000,0.2185
neutral/rep0286,2100000,0.2781
neutral/rep0286,2110000,0.3098
neutral/rep0286,2120000,0.3375
neutral/rep0286,2130000,0.3854
neutral/rep0286,2140000,0.3803
neutral/rep0286,2150000,0.3163
neutral/rep0286,2160000,0.1581
neutral/rep0286,2170000,0.1366
neutral/rep0286,2180000,0.1213
neutral/rep0286,2190000,0.1212
neutral/rep0286,2200000,0.1172
neutral/rep0286,2210000,0.1165
neutral/rep0286,2220000,0.1255
neutral/rep0286,2230000,0.1182
neutral/rep0286,2240000,0.1012
neutral/rep0286,2250000,0.1209
neutral/rep0286,2260000,0.1263
neutral/rep0286,2270000,0.1152
neutral/rep0286,2280000,0.1065
neutral/rep0286,2290000,0.122
neutral/rep0286,2300000,0.1694
neutral/rep0286,2310000,0.1787
neutral/rep0286,2320000,0.1839
neutral/rep0286,2330000,0.1776
neutral/rep0286,2340000,0.1855
neutral/rep0286,2350000,0.1976
neutral/rep0286,2360000,0.2118
neutral/rep0286,2370000,0.2085
neutral/rep0286,2380000,0.1773
