source,method,alpha,s,selected_regions,selected_called,power,neutral_positions,neutral_called,positional_fpr
decoded,all_10000,0.01,0.002,100,0,0.0,1000,14,0.014
decoded,all_10000,0.05,0.002,100,4,0.04,1000,46,0.046
decoded,all_20000,0.01,0.002,100,2,0.02,1000,14,0.014
decoded,all_20000,0.05,0.002,100,11,0.11,1000,50,0.05
decoded,all_30000,0.01,0.002,100,3,0.03,1000,9,0.009
decoded,all_30000,0.05,0.002,100,8,0.08,1000,55,0.055
decoded,all_40000,0.01,0.002,100,3,0.03,1000,8,0.008
decoded,all_40000,0.05,0.002,100,9,0.09,1000,56,0.056
decoded,all_5000,0.01,0.002,100,1,0.01,1000,8,0.008
decoded,all_5000,0.05,0.002,100,3,0.03,1000,42,0.042
decoded,all_50000,0.01,0.002,100,3,0.03,1000,14,0.014
decoded,all_50000,0.05,0.002,100,5,0.05,1000,50,0.05
truth,all_10000,0.01,0.002,100,2,0.02,1000,12,0.012
truth,all_10000,0.05,0.002,100,3,0.03,1000,38,0.038
truth,all_20000,0.01,0.002,100,1,0.01,1000,10,0.01
truth,all_20000,0.05,0.002,100,7,0.07,1000,52,0.052
truth,all_30000,0.01,0.002,100,5,0.05,1000,12,0.012
truth,all_30000,0.05,0.002,100,11,0.11,1000,50,0.05
truth,all_40000,0.01,0.002,100,4,0.04,1000,11,0.011
truth,all_40000,0.05,0.002,100,14,0.14,1000,53,0.053
truth,all_5000,0.01,0.002,100,1,0.01,1000,10,0.01
truth,all_5000,0.05,0.002,100,7,0.07,1000,39,0.039
truth,all_50000,0.01,0.002,100,6,0.06,1000,12,0.012
truth,all_50000,0.05,0.002,100,19,0.19,1000,54,0.054
