source,cutoff_years,alpha,stride_bp,max_gap_strides,min_significant_strides,mode,bin_0,bin_1,bin_2,bin_3,bin_4,bin_5,bin_6
decoded,5000,0.001,10000,0,1,neutral,0.004,0.002,0.005,0.003,0.025,0.042,0.136
decoded,5000,0.001,10000,0,1,selected,0.06,0.02,0.04,0.01,0.04,0.04,0.16
decoded,5000,0.001,10000,0,3,neutral,0.001,0.0,0.002,0.003,0.011,0.019,0.057
decoded,5000,0.001,10000,0,3,selected,0.04,0.0,0.02,0.01,0.01,0.01,0.04
decoded,5000,0.001,10000,0,5,neutral,0.0,0.0,0.002,0.003,0.005,0.014,0.035
decoded,5000,0.001,10000,0,5,selected,0.04,0.0,0.01,0.0,0.01,0.01,0.03
decoded,5000,0.001,10000,0,10,neutral,0.0,0.0,0.001,0.002,0.004,0.006,0.02
decoded,5000,0.001,10000,0,10,selected,0.02,0.0,0.01,0.0,0.01,0.01,0.02
decoded,5000,0.001,10000,0,20,neutral,0.0,0.0,0.001,0.001,0.001,0.001,0.001
decoded,5000,0.001,10000,0,20,selected,0.0,0.0,0.01,0.0,0.01,0.01,0.0
decoded,5000,0.001,10000,1,1,neutral,0.003,0.002,0.005,0.003,0.022,0.038,0.123
decoded,5000,0.001,10000,1,1,selected,0.06,0.02,0.04,0.01,0.04,0.03,0.14
decoded,5000,0.001,10000,1,3,neutral,0.001,0.0,0.002,0.003,0.011,0.022,0.057
decoded,5000,0.001,10000,1,3,selected,0.04,0.0,0.02,0.01,0.01,0.02,0.04
decoded,5000,0.001,10000,1,5,neutral,0.001,0.0,0.002,0.003,0.005,0.015,0.036
decoded,5000,0.001,10000,1,5,selected,0.04,0.0,0.01,0.0,0.01,0.01,0.03
decoded,5000,0.001,10000,1,10,neutral,0.0,0.0,0.001,0.002,0.004,0.006,0.019
decoded,5000,0.001,10000,1,10,selected,0.02,0.0,0.01,0.0,0.01,0.01,0.02
decoded,5000,0.001,10000,1,20,neutral,0.0,0.0,0.001,0.001,0.001,0.001,0.002
decoded,5000,0.001,10000,1,20,selected,0.0,0.0,0.01,0.0,0.01,0.01,0.0
decoded,5000,0.001,20000,0,1,neutral,0.002,0.002,0.004,0.002,0.02,0.034,0.105
decoded,5000,0.001,20000,0,1,selected,0.06,0.02,0.04,0.01,0.03,0.02,0.13
decoded,5000,0.001,20000,0,3,neutral,0.001,0.0,0.002,0.002,0.007,0.01,0.034
decoded,5000,0.001,20000,0,3,selected,0.03,0.0,0.01,0.0,0.01,0.01,0.02
decoded,5000,0.001,20000,0,5,neutral,0.0,0.0,0.001,0.002,0.004,0.006,0.02
decoded,5000,0.001,20000,0,5,selected,0.02,0.0,0.01,0.0,0.01,0.01,0.02
decoded,5000,0.001,20000,0,10,neutral,0.0,0.0,0.001,0.001,0.001,0.001,0.002
decoded,5000,0.001,20000,0,10,selected,0.0,0.0,0.01,0.0,0.01,0.01,0.0
