# Gamma-SMC explicit haplotype pairs
# genotype_class	hom_alt
# n_pairs	58
2	3
8	9
12	13
14	15
22	23
24	25
28	29
32	33
34	35
36	37
42	43
46	47
48	49
56	57
60	61
64	65
66	67
72	73
76	77
78	79
80	81
82	83
84	85
86	87
88	89
96	97
98	99
100	101
104	105
108	109
110	111
112	113
114	115
116	117
120	121
122	123
124	125
126	127
128	129
132	133
134	135
136	137
138	139
142	143
148	149
152	153
156	157
158	159
160	161
162	163
164	165
166	167
172	173
174	175
184	185
188	189
194	195
196	197
