# Gamma-SMC explicit haplotype pairs
# genotype_class	hom_ref
# n_pairs	18
4	5
18	19
20	21
24	25
32	33
48	49
56	57
72	73
90	91
96	97
98	99
106	107
122	123
126	127
134	135
140	141
164	165
190	191
