fold,scheme,source,method,training_power
0,grid10kb,truth,all_r2_T50000,0.23125
0,grid10kb,decoded,all_r1_T30000,0.1625
0,archaic_sites,truth,all_r1_T50000,0.35
0,archaic_sites,decoded,all_r2_T20000,0.21875
1,grid10kb,truth,all_r2_T50000,0.25
1,grid10kb,decoded,all_r1_T40000,0.11875
1,archaic_sites,truth,all_r2_T50000,0.36875
1,archaic_sites,decoded,all_r3_T10000,0.2125
2,grid10kb,truth,all_r2_T50000,0.24375
2,grid10kb,decoded,all_r1_T10000,0.1125
2,archaic_sites,truth,all_r1_T50000,0.4
2,archaic_sites,decoded,all_r1_T10000,0.25
3,grid10kb,truth,all_r2_T50000,0.25
3,grid10kb,decoded,all_r1_T10000,0.15
3,archaic_sites,truth,all_r2_T50000,0.43125
3,archaic_sites,decoded,all_r3_T30000,0.28125
4,grid10kb,truth,all_r2_T50000,0.2375
4,grid10kb,decoded,all_r1_T30000,0.1375
4,archaic_sites,truth,all_r1_T50000,0.4
4,archaic_sites,decoded,all_r1_T20000,0.25
