key,onset_years,fold,grid10kb_r1,grid10kb_r2,grid10kb_r3,archaic_sites_r1,archaic_sites_r2,archaic_sites_r3
neutral/rep0709,0,3,0.5875,0.58,0.575,0.5875,0.58,0.55
neutral/rep0710,0,1,0.435,0.4125,0.405,0.435,0.415,0.3625
neutral/rep0711,0,0,0.1925,0.1925,0.12,0.1925,0.125,0.1225
neutral/rep0712,0,2,0.33,0.32,0.26,0.33,0.33,0.2625
neutral/rep0713,0,0,0.4475,0.355,0.3525,0.4475,0.36,0.355
neutral/rep0714,0,4,0.4,0.365,0.3175,0.4,0.38,0.325
neutral/rep0715,0,4,0.275,0.2725,0.2625,0.275,0.2725,0.2625
neutral/rep0716,0,3,0.3675,0.3625,0.3325,0.4175,0.3475,0.335
neutral/rep0717,0,0,0.2675,0.2675,0.2175,0.27,0.27,0.22
neutral/rep0718,0,2,0.3825,0.34,0.34,0.4025,0.3825,0.3475
neutral/rep0719,0,2,0.39,0.39,0.3825,0.39,0.39,0.375
neutral/rep0720,0,4,0.5825,0.515,0.515,0.5825,0.5225,0.515
neutral/rep0721,0,2,0.36,0.3425,0.34,0.3625,0.36,0.3425
neutral/rep0722,0,0,0.6725,0.66,0.4775,0.68,0.6725,0.465
neutral/rep0723,0,3,0.44,0.395,0.3925,0.44,0.3975,0.3975
neutral/rep0724,0,3,0.245,0.235,0.2275,0.245,0.245,0.2225
neutral/rep0725,0,4,0.415,0.3025,0.3,0.415,0.41,0.3025
neutral/rep0726,0,3,0.4725,0.4425,0.42,0.495,0.4725,0.4425
neutral/rep0727,0,1,0.39,0.335,0.31,0.39,0.39,0.335
neutral/rep0728,0,1,0.445,0.435,0.435,0.45,0.4375,0.4325
neutral/rep0729,0,3,0.3625,0.3575,0.3525,0.3675,0.3625,0.3575
neutral/rep0730,0,0,0.17,0.165,0.1475,0.1725,0.165,0.1475
neutral/rep0731,0,0,0.1025,0.1,0.0825,0.1025,0.085,0.0825
neutral/rep0732,0,1,0.4575,0.44,0.4275,0.4575,0.4275,0.4175
neutral/rep0733,0,4,0.2,0.1975,0.19,0.215,0.1975,0.1975
neutral/rep0734,0,1,0.26,0.2425,0.2375,0.2725,0.26,0.2425
neutral/rep0735,0,0,0.135,0.1175,0.1125,0.135,0.1175,0.1125
neutral/rep0736,0,3,0.555,0.4975,0.4925,0.56,0.555,0.4975
neutral/rep0737,0,0,0.35,0.2975,0.2775,0.35,0.305,0.2975
neutral/rep0738,0,4,0.3275,0.3225,0.3225,0.33,0.3275,0.3275
neutral/rep0739,0,1,0.68,0.48,0.41,0.6875,0.5,0.41
neutral/rep0740,0,0,0.4625,0.46,0.4475,0.465,0.4625,0.4625
neutral/rep0741,0,0,0.4325,0.4275,0.42,0.4325,0.4275,0.42
neutral/rep0742,0,4,0.275,0.24,0.215,0.275,0.24,0.24
neutral/rep0743,0,4,0.2575,0.2475,0.2375,0.26,0.2575,0.2525
neutral/rep0744,0,2,0.61,0.5925,0.585,0.615,0.61,0.61
neutral/rep0745,0,3,0.5225,0.515,0.49,0.5325,0.5225,0.5225
neutral/rep0746,0,2,0.32,0.3075,0.27,0.32,0.3075,0.245
neutral/rep0747,0,3,0.225,0.2075,0.2075,0.225,0.2175,0.2125
neutral/rep0748,0,2,0.66,0.6175,0.5875,0.69,0.62,0.57
neutral/rep0749,0,0,0.3525,0.345,0.275,0.3525,0.345,0.34
neutral/rep0750,0,2,0.5275,0.4975,0.4975,0.545,0.53,0.525
neutral/rep0751,0,4,0.5125,0.5125,0.51,0.5125,0.5125,0.4925
neutral/rep0752,0,4,0.315,0.3125,0.2725,0.3375,0.3125,0.3125
neutral/rep0753,0,4,0.4425,0.4,0.4,0.445,0.4425,0.415
neutral/rep0754,0,3,0.305,0.2925,0.29,0.305,0.2925,0.2925
neutral/rep0755,0,4,0.205,0.19,0.18,0.205,0.19,0.19
neutral/rep0756,0,0,0.5025,0.47,0.47,0.5025,0.5025,0.46
neutral/rep0757,0,0,0.05,0.0475,0.0275,0.05,0.05,0.0475
neutral/rep0758,0,0,0.4525,0.4375,0.4,0.455,0.45,0.45
neutral/rep0759,0,3,0.415,0.3975,0.39,0.4225,0.415,0.3975
neutral/rep0760,0,2,0.3775,0.3525,0.35,0.3775,0.37,0.335
neutral/rep0761,0,1,0.4275,0.4125,0.4025,0.43,0.405,0.3975
neutral/rep0762,0,3,0.2975,0.2675,0.265,0.2975,0.275,0.27
neutral/rep0763,0,2,0.2025,0.1975,0.1025,0.2025,0.1075,0.105
neutral/rep0764,0,0,0.2425,0.225,0.225,0.2425,0.235,0.225
neutral/rep0765,0,1,0.3375,0.2925,0.2125,0.3425,0.3375,0.22
neutral/rep0766,0,0,0.47,0.4575,0.4575,0.47,0.47,0.45
neutral/rep0767,0,2,0.4125,0.4075,0.3825,0.4125,0.4075,0.3825
neutral/rep0768,0,2,0.3675,0.205,0.185,0.3675,0.36,0.205
neutral/rep0769,0,3,0.41,0.4075,0.4025,0.41,0.385,0.2825
neutral/rep0770,0,0,0.3225,0.3225,0.2875,0.33,0.325,0.3225
neutral/rep0771,0,1,0.32,0.2925,0.29,0.32,0.2975,0.29
neutral/rep0772,0,2,0.405,0.395,0.355,0.405,0.3975,0.3575
neutral/rep0773,0,0,0.31,0.3075,0.3075,0.31,0.31,0.305
neutral/rep0774,0,1,0.8025,0.795,0.79,0.8175,0.8025,0.785
neutral/rep0775,0,2,0.39,0.36,0.345,0.4425,0.39,0.36
neutral/rep0776,0,2,0.3825,0.3525,0.3475,0.3825,0.3525,0.3475
neutral/rep0777,0,3,0.39,0.3675,0.3625,0.39,0.39,0.3625
neutral/rep0778,0,0,0.2575,0.245,0.245,0.2575,0.255,0.2475
neutral/rep0779,0,0,0.165,0.16,0.155,0.165,0.16,0.155
neutral/rep0780,0,0,0.155,0.15,0.15,0.155,0.155,0.1525
neutral/rep0781,0,2,0.12,0.1175,0.115,0.1225,0.12,0.1125
neutral/rep0782,0,0,0.055,0.055,0.055,0.055,0.055,0.05
neutral/rep0783,0,4,0.015,0.015,0.0125,0.015,0.015,0.015
neutral/rep0784,0,2,0.1475,0.14,0.1375,0.1475,0.1475,0.1425
neutral/rep0785,0,0,0.4075,0.3975,0.3475,0.4075,0.35,0.3425
neutral/rep0786,0,2,0.14,0.12,0.12,0.1425,0.1375,0.1375
neutral/rep0787,0,4,0.165,0.16,0.1375,0.165,0.1625,0.1375
neutral/rep0788,0,1,0.3525,0.315,0.2425,0.3525,0.33,0.315
neutral/rep0789,0,2,0.2325,0.215,0.1975,0.2325,0.215,0.2075
neutral/rep0790,0,4,0.425,0.4075,0.3925,0.425,0.425,0.4075
neutral/rep0791,0,4,0.485,0.4675,0.4675,0.555,0.485,0.47
neutral/rep0792,0,2,0.3125,0.3025,0.2625,0.3125,0.3025,0.285
neutral/rep0793,0,2,0.455,0.4,0.3675,0.455,0.455,0.4
neutral/rep0794,0,0,0.455,0.4175,0.4175,0.455,0.44,0.43
neutral/rep0795,0,3,0.385,0.3575,0.32,0.385,0.385,0.355
neutral/rep0796,0,2,0.2825,0.2775,0.2675,0.2825,0.2775,0.27
neutral/rep0797,0,0,0.59,0.5025,0.4725,0.59,0.5675,0.495
neutral/rep0798,0,2,0.41,0.405,0.3925,0.4325,0.405,0.3975
neutral/rep0799,0,3,0.2725,0.2625,0.2625,0.2775,0.2725,0.2625
neutral/rep0800,0,1,0.265,0.195,0.195,0.265,0.215,0.2
neutral/rep0801,0,1,0.6275,0.6025,0.6025,0.64,0.6275,0.395
neutral/rep0802,0,3,0.5825,0.555,0.55,0.5825,0.55,0.5075
neutral/rep0803,0,3,0.2775,0.2375,0.225,0.2825,0.2375,0.235
neutral/rep0804,0,1,0.23,0.215,0.2125,0.23,0.23,0.2
neutral/rep0805,0,0,0.605,0.5925,0.5725,0.6075,0.605,0.5925
neutral/rep0806,0,1,0.57,0.5525,0.5425,0.5825,0.57,0.5525
neutral/rep0807,0,3,0.1875,0.165,0.1625,0.1875,0.1675,0.165
neutral/rep0808,0,2,0.42,0.41,0.3975,0.42,0.415,0.4075
neutral/rep0809,0,2,0.4825,0.475,0.4475,0.485,0.485,0.465
neutral/rep0810,0,1,0.31,0.2825,0.28,0.31,0.2825,0.28
neutral/rep0811,0,4,0.4325,0.3875,0.21,0.4325,0.39,0.385
neutral/rep0812,0,1,0.5275,0.49,0.46,0.54,0.52,0.505
neutral/rep0813,0,1,0.19,0.1675,0.145,0.19,0.17,0.1675
neutral/rep0814,0,1,0.5675,0.37,0.37,0.5675,0.3825,0.38
neutral/rep0815,0,1,0.44,0.3925,0.375,0.4425,0.44,0.44
neutral/rep0816,0,4,0.18,0.175,0.1725,0.18,0.175,0.175
neutral/rep0817,0,0,0.1525,0.15,0.1475,0.165,0.1525,0.1475
neutral/rep0818,0,2,0.63,0.615,0.6125,0.63,0.63,0.615
neutral/rep0819,0,4,0.315,0.2725,0.2375,0.3325,0.265,0.2625
neutral/rep0820,0,1,0.1875,0.155,0.155,0.1875,0.155,0.155
neutral/rep0821,0,2,0.3625,0.355,0.3275,0.3625,0.355,0.3275
neutral/rep0822,0,2,0.3625,0.3525,0.2725,0.3625,0.355,0.335
neutral/rep0823,0,2,0.3925,0.38,0.3675,0.3925,0.38,0.3675
neutral/rep0824,0,0,0.6,0.53,0.4375,0.6,0.55,0.51
neutral/rep0825,0,4,0.3875,0.3575,0.35,0.39,0.365,0.3575
neutral/rep0826,0,0,0.55,0.485,0.475,0.5525,0.52,0.4875
neutral/rep0827,0,0,0.15,0.145,0.1375,0.15,0.1375,0.11
neutral/rep0828,0,2,0.425,0.4125,0.4125,0.45,0.4225,0.42
neutral/rep0829,0,1,0.1875,0.18,0.1675,0.1975,0.18,0.1675
neutral/rep0830,0,3,0.3625,0.3525,0.345,0.365,0.3625,0.3575
neutral/rep0831,0,4,0.3825,0.3525,0.3475,0.385,0.3825,0.3525
neutral/rep0832,0,1,0.3675,0.27,0.245,0.3675,0.2975,0.275
neutral/rep0833,0,3,0.5075,0.4825,0.425,0.52,0.5075,0.45
neutral/rep0834,0,1,0.5875,0.5775,0.5025,0.5875,0.5875,0.525
neutral/rep0835,0,4,0.1225,0.1175,0.055,0.1225,0.055,0.0475
neutral/rep0836,0,3,0.4625,0.445,0.435,0.4625,0.4625,0.445
neutral/rep0837,0,3,0.585,0.5725,0.57,0.585,0.575,0.57
neutral/rep0838,0,2,0.5675,0.5275,0.5225,0.5675,0.5275,0.3625
neutral/rep0839,0,0,0.6175,0.6075,0.58,0.6325,0.6075,0.58
neutral/rep0840,0,2,0.3525,0.3425,0.2975,0.3525,0.3475,0.3
neutral/rep0841,0,2,0.82,0.7825,0.7825,0.8475,0.82,0.785
neutral/rep0842,0,1,0.495,0.4725,0.4575,0.5,0.4725,0.4575
neutral/rep0843,0,4,0.54,0.5325,0.51,0.5475,0.54,0.475
neutral/rep0844,0,4,0.5375,0.53,0.5175,0.5375,0.5375,0.5275
neutral/rep0845,0,4,0.41,0.3825,0.3725,0.41,0.3925,0.3875
neutral/rep0846,0,0,0.435,0.4225,0.42,0.435,0.4275,0.425
neutral/rep0847,0,3,0.45,0.265,0.2525,0.45,0.265,0.2225
neutral/rep0848,0,1,0.3575,0.3575,0.3575,0.3575,0.3575,0.3575
neutral/rep0849,0,0,0.3,0.2625,0.2625,0.3025,0.295,0.2925
neutral/rep0850,0,0,0.6525,0.445,0.445,0.6525,0.6225,0.445
neutral/rep0851,0,4,0.65,0.65,0.605,0.655,0.6525,0.605
neutral/rep0852,0,1,0.2775,0.26,0.2575,0.2775,0.26,0.26
neutral/rep0853,0,1,0.7625,0.6425,0.6425,0.7625,0.7625,0.685
neutral/rep0854,0,0,0.3025,0.2925,0.29,0.315,0.3025,0.2925
neutral/rep0855,0,2,0.23,0.2275,0.2075,0.23,0.2275,0.2275
neutral/rep0856,0,1,0.49,0.4875,0.47,0.49,0.4875,0.4875
neutral/rep0857,0,3,0.0,0.0,0.0,0.0,0.0,0.0
neutral/rep0858,0,2,0.3125,0.2875,0.2875,0.32,0.3125,0.2875
neutral/rep0859,0,4,0.3575,0.355,0.2675,0.3575,0.355,0.2725
neutral/rep0860,0,3,0.6475,0.625,0.6125,0.6475,0.6275,0.625
neutral/rep0861,0,0,0.2525,0.205,0.1525,0.2525,0.205,0.2025
neutral/rep0862,0,3,0.37,0.3125,0.3125,0.38,0.37,0.3125
neutral/rep0863,0,2,0.4425,0.395,0.3825,0.445,0.4275,0.3225
neutral/rep0864,0,3,0.405,0.4,0.3525,0.425,0.405,0.355
neutral/rep0865,0,1,0.5375,0.515,0.5125,0.5375,0.5375,0.515
neutral/rep0866,0,1,0.3125,0.3125,0.3125,0.3375,0.3125,0.3125
neutral/rep0867,0,0,0.6275,0.6075,0.6,0.6275,0.6225,0.585
neutral/rep0868,0,2,0.3925,0.39,0.3375,0.3925,0.3925,0.38
neutral/rep0869,0,0,0.485,0.47,0.47,0.485,0.475,0.39
neutral/rep0870,0,3,0.46,0.415,0.4025,0.46,0.4525,0.4125
neutral/rep0871,0,0,0.5025,0.47,0.3975,0.52,0.505,0.47
neutral/rep0872,0,0,0.3875,0.385,0.3775,0.41,0.4075,0.3925
neutral/rep0873,0,0,0.485,0.465,0.45,0.4875,0.47,0.4625
neutral/rep0874,0,2,0.055,0.0525,0.04,0.055,0.0525,0.0525
neutral/rep0875,0,3,0.37,0.365,0.315,0.37,0.365,0.2875
neutral/rep0876,0,1,0.4275,0.3525,0.325,0.43,0.3975,0.335
neutral/rep0877,0,4,0.3775,0.3425,0.325,0.395,0.375,0.3325
neutral/rep0878,0,4,0.445,0.4425,0.4425,0.445,0.4425,0.4425
neutral/rep0879,0,1,0.3175,0.3025,0.2825,0.3175,0.305,0.3025
neutral/rep0880,0,0,0.88,0.8775,0.7625,0.8825,0.88,0.8775
neutral/rep0881,0,4,0.34,0.3275,0.31,0.34,0.3275,0.325
neutral/rep0882,0,1,0.4925,0.4925,0.4725,0.5025,0.4925,0.4925
neutral/rep0883,0,1,0.5125,0.4675,0.465,0.535,0.5175,0.4675
neutral/rep0884,0,0,0.295,0.28,0.2725,0.2975,0.2725,0.2725
neutral/rep0885,0,3,0.3075,0.22,0.205,0.3075,0.3075,0.235
neutral/rep0886,0,3,0.3975,0.3875,0.38,0.3975,0.39,0.39
neutral/rep0887,0,2,0.335,0.2775,0.2775,0.345,0.335,0.285
neutral/rep0888,0,4,0.23,0.2075,0.2075,0.2325,0.2225,0.2125
neutral/rep0889,0,0,0.65,0.525,0.525,0.65,0.6475,0.4925
neutral/rep0890,0,3,0.3675,0.36,0.355,0.37,0.3675,0.36
neutral/rep0891,0,4,0.3775,0.37,0.3675,0.42,0.3775,0.3775
neutral/rep0892,0,2,0.36,0.3275,0.3,0.4,0.36,0.315
neutral/rep0893,0,1,0.5525,0.55,0.5375,0.6025,0.5525,0.55
neutral/rep0894,0,0,0.26,0.1925,0.1925,0.2625,0.26,0.19
neutral/rep0895,0,0,0.3475,0.3275,0.29,0.3475,0.3375,0.3275
neutral/rep0896,0,3,0.3725,0.3225,0.3225,0.3725,0.3375,0.245
neutral/rep0897,0,4,0.4375,0.43,0.43,0.4375,0.435,0.38
neutral/rep0898,0,0,0.325,0.28,0.28,0.3375,0.325,0.28
neutral/rep0899,0,4,0.3,0.2825,0.2825,0.3,0.3,0.3
neutral/rep0900,0,3,0.2275,0.205,0.2,0.2275,0.205,0.2025
neutral/rep0901,0,3,0.275,0.27,0.2675,0.28,0.275,0.2675
neutral/rep0902,0,2,0.0625,0.04,0.02,0.0625,0.0625,0.0275
neutral/rep0903,0,1,0.1,0.0975,0.0875,0.1,0.0975,0.0875
neutral/rep0904,0,1,0.425,0.42,0.3875,0.425,0.425,0.3925
neutral/rep0905,0,3,0.3875,0.37,0.3675,0.39,0.3875,0.3675
neutral/rep0906,0,4,0.5025,0.4925,0.36,0.5025,0.4225,0.395
neutral/rep0907,0,3,0.5,0.395,0.3725,0.5,0.5,0.395
neutral/rep0908,0,0,0.44,0.425,0.365,0.4425,0.425,0.365
neutral/rep0909,0,1,0.6525,0.6075,0.51,0.6525,0.6425,0.6075
neutral/rep0910,0,0,0.245,0.2425,0.2375,0.2525,0.245,0.2375
neutral/rep0911,0,1,0.39,0.36,0.3,0.39,0.39,0.3675
neutral/rep0912,0,3,0.6025,0.5875,0.5625,0.6025,0.58,0.5675
neutral/rep0913,0,0,0.3075,0.2925,0.285,0.3075,0.2975,0.285
neutral/rep0914,0,4,0.2425,0.2425,0.2325,0.245,0.245,0.235
neutral/rep0915,0,3,0.48,0.4775,0.405,0.48,0.48,0.405
neutral/rep0916,0,3,0.315,0.3025,0.2875,0.3175,0.3175,0.29
neutral/rep0917,0,3,0.2325,0.205,0.18,0.235,0.21,0.18
neutral/rep0918,0,0,0.53,0.5275,0.4475,0.5375,0.535,0.535
neutral/rep0919,0,2,0.4875,0.4575,0.39,0.4875,0.4775,0.4275
neutral/rep0920,0,1,0.555,0.5475,0.5375,0.5875,0.555,0.55
neutral/rep0921,0,1,0.475,0.4475,0.4325,0.475,0.4475,0.445
neutral/rep0922,0,4,0.08,0.08,0.08,0.08,0.0775,0.0775
neutral/rep0923,0,0,0.755,0.7425,0.5725,0.755,0.745,0.7425
neutral/rep0924,0,3,0.3125,0.3075,0.2775,0.315,0.3125,0.3075
neutral/rep0925,0,4,0.24,0.235,0.215,0.24,0.2325,0.2175
neutral/rep0926,0,0,0.18,0.13,0.115,0.1875,0.18,0.125
neutral/rep0927,0,3,0.2975,0.2725,0.26,0.2975,0.2725,0.2675
neutral/rep0928,0,3,0.2675,0.2575,0.25,0.27,0.2575,0.2575
neutral/rep0929,0,4,0.4625,0.455,0.425,0.4725,0.47,0.465
neutral/rep0930,0,2,0.415,0.41,0.3975,0.415,0.41,0.405
neutral/rep0931,0,3,0.19,0.16,0.1475,0.19,0.1575,0.1575
neutral/rep0932,0,3,0.08,0.0775,0.0775,0.08,0.08,0.0775
neutral/rep0933,0,4,0.7425,0.7275,0.6425,0.7425,0.73,0.725
neutral/rep0934,0,0,0.4275,0.4,0.38,0.4275,0.4,0.38
neutral/rep0935,0,3,0.4575,0.385,0.3075,0.4575,0.455,0.3775
neutral/rep0936,0,1,0.34,0.3175,0.3125,0.34,0.3375,0.31
neutral/rep0937,0,1,0.315,0.27,0.2325,0.315,0.2725,0.265
neutral/rep0938,0,0,0.7425,0.73,0.6925,0.7425,0.725,0.6925
neutral/rep0939,0,3,0.24,0.22,0.2125,0.24,0.2375,0.2275
neutral/rep0940,0,4,0.1925,0.185,0.1775,0.1925,0.185,0.185
neutral/rep0941,0,4,0.085,0.0575,0.0575,0.085,0.0575,0.0525
neutral/rep0942,0,2,0.335,0.3175,0.2975,0.335,0.3275,0.3125
neutral/rep0943,0,1,0.4,0.2725,0.26,0.4,0.2325,0.23
neutral/rep0944,0,2,0.4225,0.4175,0.415,0.4275,0.4225,0.4225
neutral/rep0945,0,4,0.1275,0.125,0.1225,0.135,0.13,0.1225
neutral/rep0946,0,3,0.3125,0.2825,0.2075,0.3125,0.3075,0.22
neutral/rep0947,0,3,0.5225,0.51,0.4575,0.5225,0.515,0.4675
neutral/rep0948,0,4,0.545,0.5275,0.5225,0.545,0.525,0.525
neutral/rep0949,0,4,0.4,0.3475,0.3275,0.4,0.395,0.3475
neutral/rep0950,0,1,0.53,0.5175,0.295,0.53,0.5175,0.305
neutral/rep0951,0,2,0.3625,0.2925,0.215,0.3625,0.2975,0.2925
neutral/rep0952,0,4,0.1625,0.0925,0.0925,0.1625,0.0925,0.0925
neutral/rep0953,0,0,0.31,0.2825,0.2825,0.31,0.2975,0.2825
neutral/rep0954,0,1,0.69,0.645,0.64,0.6975,0.69,0.645
neutral/rep0955,0,3,0.4225,0.41,0.39,0.4225,0.41,0.4
neutral/rep0956,0,0,0.1975,0.1625,0.075,0.1975,0.1975,0.1625
neutral/rep0957,0,2,0.5275,0.49,0.49,0.5275,0.5275,0.4925
neutral/rep0958,0,1,0.3425,0.325,0.3225,0.3425,0.3225,0.3225
neutral/rep0959,0,2,0.54,0.535,0.4625,0.5425,0.54,0.535
neutral/rep0960,0,3,0.61,0.6,0.525,0.615,0.6075,0.6075
neutral/rep0961,0,3,0.505,0.4275,0.41,0.505,0.485,0.4075
neutral/rep0962,0,2,0.2225,0.1925,0.19,0.2225,0.19,0.19
neutral/rep0963,0,1,0.4,0.3975,0.3925,0.4075,0.4025,0.4
neutral/rep0964,0,3,0.3925,0.355,0.34,0.4025,0.355,0.3425
neutral/rep0965,0,1,0.6,0.595,0.5825,0.605,0.6,0.58
neutral/rep0966,0,1,0.6225,0.605,0.58,0.64,0.615,0.6025
neutral/rep0967,0,3,0.3225,0.32,0.215,0.3225,0.32,0.32
neutral/rep0968,0,3,0.3275,0.3125,0.295,0.3725,0.3275,0.3125
neutral/rep0969,0,0,0.4475,0.44,0.415,0.45,0.44,0.44
neutral/rep0970,0,3,0.4825,0.47,0.3125,0.4825,0.365,0.3575
neutral/rep0971,0,4,0.5925,0.58,0.58,0.595,0.5925,0.59
neutral/rep0972,0,2,0.1975,0.195,0.195,0.2,0.1975,0.195
neutral/rep0973,0,4,0.22,0.2175,0.195,0.22,0.2175,0.2175
neutral/rep0974,0,0,0.3825,0.3725,0.315,0.3825,0.3725,0.3575
neutral/rep0975,0,1,0.465,0.4625,0.42,0.495,0.4625,0.445
neutral/rep0976,0,0,0.23,0.1825,0.1825,0.2325,0.1225,0.12
neutral/rep0977,0,0,0.3625,0.3275,0.3225,0.3625,0.335,0.335
neutral/rep0978,0,3,0.405,0.36,0.3575,0.4075,0.4075,0.345
neutral/rep0979,0,3,0.245,0.2425,0.215,0.245,0.2125,0.2125
neutral/rep0980,0,1,0.575,0.565,0.4975,0.575,0.575,0.57
neutral/rep0981,0,4,0.2275,0.17,0.17,0.2275,0.1775,0.1725
neutral/rep0982,0,3,0.595,0.5775,0.57,0.6,0.5875,0.58
neutral/rep0983,0,1,0.155,0.1525,0.135,0.155,0.1525,0.1525
neutral/rep0984,0,2,0.6875,0.6675,0.6575,0.6875,0.6675,0.41
neutral/rep0985,0,4,0.27,0.1075,0.1075,0.27,0.26,0.1075
neutral/rep0986,0,0,0.0,0.0,0.0,0.0,0.0,0.0
neutral/rep0987,0,0,0.2925,0.2675,0.2375,0.2925,0.26,0.24
neutral/rep0988,0,1,0.17,0.1525,0.145,0.17,0.1525,0.145
neutral/rep0989,0,4,0.2375,0.23,0.2225,0.2375,0.2375,0.23
neutral/rep0990,0,4,0.3175,0.2925,0.28,0.3175,0.2925,0.2825
neutral/rep0991,0,1,0.3425,0.305,0.265,0.3425,0.325,0.3075
neutral/rep0992,0,3,0.4525,0.4275,0.375,0.4525,0.395,0.395
neutral/rep0993,0,0,0.505,0.48,0.46,0.53,0.4825,0.47
neutral/rep0994,0,1,0.35,0.3325,0.29,0.35,0.305,0.295
neutral/rep0995,0,4,0.49,0.4575,0.4475,0.49,0.485,0.455
neutral/rep0996,0,1,0.4375,0.3725,0.3325,0.4825,0.425,0.3975
neutral/rep0997,0,4,0.33,0.3025,0.2975,0.37,0.315,0.305
neutral/rep0998,0,3,0.2575,0.24,0.2375,0.285,0.2625,0.2575
neutral/rep0999,0,2,0.3725,0.33,0.3225,0.38,0.3325,0.3325
