key,onset_years,fold,grid10kb_r1,grid10kb_r2,grid10kb_r3,archaic_sites_r1,archaic_sites_r2,archaic_sites_r3
neutral/rep0458,0,1,0.3625,0.3475,0.2925,0.3625,0.35,0.34
neutral/rep0459,0,1,0.4675,0.455,0.4475,0.4725,0.4725,0.4675
neutral/rep0460,0,3,0.6,0.5325,0.53,0.6,0.6,0.57
neutral/rep0461,0,3,0.5225,0.41,0.3925,0.5325,0.5225,0.4025
neutral/rep0462,0,1,0.285,0.2375,0.2375,0.285,0.25,0.24
neutral/rep0463,0,1,0.235,0.23,0.2225,0.245,0.235,0.23
neutral/rep0464,0,1,0.5275,0.46,0.4175,0.535,0.5275,0.4625
neutral/rep0465,0,0,0.34,0.3275,0.325,0.34,0.3325,0.3325
neutral/rep0466,0,1,0.42,0.415,0.4075,0.425,0.42,0.4075
neutral/rep0467,0,0,0.4525,0.45,0.4375,0.455,0.4525,0.445
neutral/rep0468,0,1,0.295,0.285,0.28,0.3,0.285,0.285
neutral/rep0469,0,3,0.485,0.44,0.405,0.49,0.47,0.415
neutral/rep0470,0,1,0.635,0.63,0.625,0.635,0.635,0.6275
neutral/rep0471,0,3,0.6275,0.615,0.5875,0.6525,0.5925,0.5675
neutral/rep0472,0,0,0.4125,0.395,0.395,0.4125,0.4125,0.3975
neutral/rep0473,0,2,0.2925,0.2775,0.2725,0.295,0.2925,0.27
neutral/rep0474,0,4,0.405,0.4,0.3925,0.42,0.4075,0.405
neutral/rep0475,0,0,0.33,0.28,0.2375,0.33,0.28,0.2325
neutral/rep0476,0,2,0.545,0.48,0.46,0.585,0.5425,0.48
neutral/rep0477,0,4,0.0,0.0,0.0,0.0,0.0,0.0
neutral/rep0478,0,0,0.435,0.42,0.3325,0.4525,0.435,0.365
neutral/rep0479,0,4,0.185,0.1775,0.165,0.185,0.185,0.165
neutral/rep0480,0,4,0.175,0.1725,0.155,0.175,0.16,0.135
neutral/rep0481,0,4,0.385,0.3775,0.375,0.385,0.38,0.3775
neutral/rep0482,0,4,0.185,0.185,0.1725,0.185,0.18,0.18
neutral/rep0483,0,4,0.365,0.295,0.29,0.365,0.295,0.29
neutral/rep0484,0,2,0.61,0.5975,0.5925,0.61,0.5975,0.5975
neutral/rep0485,0,4,0.325,0.28,0.275,0.325,0.2825,0.2775
neutral/rep0486,0,1,0.3275,0.3,0.2825,0.3275,0.3225,0.3125
neutral/rep0487,0,2,0.7475,0.69,0.69,0.7475,0.7175,0.6875
neutral/rep0488,0,4,0.48,0.4525,0.4525,0.48,0.4525,0.4525
neutral/rep0489,0,4,0.1975,0.195,0.19,0.2025,0.195,0.19
neutral/rep0490,0,4,0.35,0.3225,0.3225,0.35,0.35,0.3425
neutral/rep0491,0,2,0.155,0.1125,0.0875,0.155,0.1475,0.0875
neutral/rep0492,0,1,0.5075,0.49,0.465,0.5125,0.4975,0.4975
neutral/rep0493,0,4,0.255,0.2475,0.2275,0.255,0.2525,0.25
neutral/rep0494,0,4,0.6375,0.515,0.4675,0.6375,0.475,0.47
neutral/rep0495,0,2,0.255,0.21,0.21,0.255,0.25,0.21
neutral/rep0496,0,3,0.405,0.4025,0.395,0.4125,0.4075,0.4025
neutral/rep0497,0,3,0.1725,0.1625,0.1625,0.1775,0.175,0.1675
neutral/rep0498,0,0,0.36,0.35,0.3175,0.36,0.35,0.3175
neutral/rep0499,0,4,0.34,0.3325,0.2275,0.34,0.3325,0.2275
neutral/rep0500,0,3,0.5725,0.415,0.315,0.5725,0.415,0.315
neutral/rep0501,0,2,0.4925,0.49,0.4525,0.5,0.495,0.475
neutral/rep0502,0,3,0.57,0.5125,0.5025,0.57,0.5125,0.5025
neutral/rep0503,0,1,0.14,0.1375,0.135,0.14,0.1375,0.135
neutral/rep0504,0,0,0.3925,0.39,0.37,0.3925,0.39,0.3675
neutral/rep0505,0,0,0.7725,0.585,0.5575,0.8425,0.7725,0.585
neutral/rep0506,0,0,0.305,0.2725,0.2675,0.31,0.3,0.295
neutral/rep0507,0,2,0.2675,0.25,0.22,0.2725,0.25,0.22
neutral/rep0508,0,1,0.1275,0.1225,0.0975,0.1275,0.1275,0.0975
neutral/rep0509,0,3,0.405,0.385,0.3625,0.41,0.405,0.385
neutral/rep0510,0,0,0.3575,0.35,0.35,0.3575,0.35,0.35
neutral/rep0511,0,2,0.465,0.4475,0.39,0.465,0.4625,0.46
neutral/rep0512,0,0,0.33,0.26,0.26,0.39,0.3425,0.26
neutral/rep0513,0,4,0.275,0.2725,0.2525,0.2875,0.2725,0.265
neutral/rep0514,0,3,0.225,0.1875,0.1875,0.2275,0.225,0.195
neutral/rep0515,0,3,0.1975,0.1675,0.1225,0.1975,0.1675,0.1225
neutral/rep0516,0,2,0.5475,0.5325,0.52,0.55,0.5475,0.53
neutral/rep0517,0,4,0.445,0.435,0.41,0.4525,0.4475,0.4375
neutral/rep0518,0,2,0.545,0.52,0.44,0.55,0.545,0.495
neutral/rep0519,0,4,0.275,0.27,0.2525,0.275,0.2725,0.27
neutral/rep0520,0,4,0.5675,0.525,0.4875,0.615,0.5725,0.5175
neutral/rep0521,0,1,0.475,0.475,0.3625,0.475,0.475,0.375
neutral/rep0522,0,4,0.4875,0.48,0.43,0.5025,0.49,0.48
neutral/rep0523,0,1,0.445,0.445,0.365,0.445,0.445,0.4425
neutral/rep0524,0,3,0.525,0.28,0.2775,0.525,0.3075,0.28
neutral/rep0525,0,1,0.435,0.4325,0.34,0.4375,0.435,0.3525
neutral/rep0526,0,3,0.4025,0.3925,0.36,0.405,0.3925,0.3625
neutral/rep0527,0,0,0.3125,0.31,0.2325,0.315,0.31,0.235
neutral/rep0528,0,0,0.16,0.1525,0.14,0.16,0.1525,0.1525
neutral/rep0529,0,0,0.245,0.2375,0.2125,0.245,0.245,0.215
neutral/rep0530,0,1,0.3775,0.37,0.36,0.3775,0.3325,0.2975
neutral/rep0531,0,4,0.5225,0.52,0.515,0.5325,0.5225,0.52
neutral/rep0532,0,3,0.29,0.29,0.2825,0.315,0.29,0.29
neutral/rep0533,0,4,0.3875,0.34,0.34,0.3925,0.3875,0.3625
neutral/rep0534,0,3,0.1225,0.1125,0.1125,0.125,0.1175,0.115
neutral/rep0535,0,1,0.325,0.3075,0.275,0.325,0.31,0.275
neutral/rep0536,0,4,0.26,0.25,0.2375,0.2625,0.2575,0.25
neutral/rep0537,0,4,0.395,0.3775,0.3175,0.395,0.38,0.3775
neutral/rep0538,0,0,0.3775,0.3725,0.3625,0.3775,0.375,0.375
neutral/rep0539,0,1,0.6675,0.6325,0.535,0.6675,0.6675,0.64
neutral/rep0540,0,2,0.845,0.8275,0.825,0.845,0.8275,0.8275
neutral/rep0541,0,2,0.49,0.4075,0.3825,0.49,0.4475,0.4025
neutral/rep0542,0,3,0.25,0.2075,0.2,0.3125,0.25,0.21
neutral/rep0543,0,0,0.5625,0.5425,0.54,0.5625,0.55,0.545
neutral/rep0544,0,2,0.4,0.35,0.35,0.4,0.395,0.35
neutral/rep0545,0,1,0.385,0.3625,0.2725,0.385,0.3625,0.3175
neutral/rep0546,0,4,0.4225,0.3725,0.3725,0.425,0.42,0.375
neutral/rep0547,0,3,0.4025,0.3875,0.375,0.4025,0.3975,0.38
neutral/rep0548,0,2,0.0,0.0,0.0,0.0,0.0,0.0
neutral/rep0549,0,3,0.0625,0.0625,0.0575,0.0625,0.0625,0.06
neutral/rep0550,0,3,0.3025,0.2975,0.2875,0.305,0.295,0.28
neutral/rep0551,0,3,0.4625,0.455,0.45,0.4725,0.4725,0.4625
neutral/rep0552,0,4,0.2375,0.2275,0.22,0.2375,0.2225,0.2225
neutral/rep0553,0,1,0.4725,0.4525,0.4425,0.4875,0.4725,0.4425
neutral/rep0554,0,2,0.5575,0.5275,0.515,0.5575,0.515,0.515
neutral/rep0555,0,0,0.18,0.155,0.155,0.18,0.165,0.1475
neutral/rep0556,0,3,0.485,0.4725,0.4625,0.485,0.4725,0.4625
neutral/rep0557,0,4,0.3,0.3,0.265,0.3,0.3,0.2925
neutral/rep0558,0,4,0.3975,0.325,0.2525,0.3975,0.3975,0.325
neutral/rep0559,0,0,0.2625,0.22,0.2125,0.2625,0.22,0.22
neutral/rep0560,0,2,0.2375,0.2175,0.2,0.2375,0.2325,0.215
neutral/rep0561,0,2,0.4075,0.4075,0.3925,0.4075,0.4075,0.3975
neutral/rep0562,0,4,0.415,0.415,0.4025,0.4175,0.4125,0.4075
neutral/rep0563,0,1,0.36,0.355,0.32,0.36,0.3325,0.3225
neutral/rep0564,0,2,0.4,0.3425,0.2475,0.4025,0.3475,0.3325
neutral/rep0565,0,3,0.2775,0.2675,0.2125,0.2775,0.2475,0.14
neutral/rep0566,0,1,0.4525,0.39,0.39,0.49,0.4525,0.3925
neutral/rep0567,0,2,0.2425,0.1975,0.1975,0.25,0.245,0.2
neutral/rep0568,0,4,0.34,0.3,0.295,0.34,0.315,0.2975
neutral/rep0569,0,4,0.2625,0.245,0.2425,0.31,0.26,0.25
neutral/rep0570,0,3,0.3175,0.315,0.3125,0.32,0.3175,0.3125
neutral/rep0571,0,1,0.27,0.2625,0.25,0.285,0.2675,0.2625
neutral/rep0572,0,1,0.545,0.54,0.4825,0.545,0.52,0.4825
neutral/rep0573,0,2,0.64,0.5725,0.5725,0.645,0.5725,0.5725
neutral/rep0574,0,0,0.4025,0.3625,0.325,0.4025,0.3625,0.2975
neutral/rep0575,0,2,0.35,0.3425,0.32,0.35,0.3425,0.34
neutral/rep0576,0,2,0.35,0.3325,0.33,0.35,0.3475,0.3325
neutral/rep0577,0,2,0.2,0.2,0.1975,0.2,0.2,0.175
neutral/rep0578,0,4,0.38,0.31,0.2975,0.5,0.3775,0.355
neutral/rep0579,0,1,0.505,0.41,0.41,0.5075,0.505,0.42
neutral/rep0580,0,1,0.4325,0.4325,0.28,0.435,0.4325,0.285
neutral/rep0581,0,2,0.55,0.515,0.47,0.55,0.5325,0.515
neutral/rep0582,0,0,0.705,0.69,0.59,0.705,0.6825,0.59
neutral/rep0583,0,0,0.5525,0.535,0.5275,0.5525,0.5475,0.535
neutral/rep0584,0,4,0.39,0.3525,0.3125,0.39,0.3525,0.3125
neutral/rep0585,0,0,0.2225,0.22,0.205,0.2225,0.215,0.205
neutral/rep0586,0,2,0.5,0.495,0.48,0.5075,0.4975,0.49
neutral/rep0587,0,4,0.205,0.2,0.1925,0.2075,0.205,0.2
neutral/rep0588,0,1,0.32,0.2675,0.2175,0.32,0.2675,0.2575
neutral/rep0589,0,1,0.235,0.2225,0.2225,0.2375,0.235,0.2275
neutral/rep0590,0,1,0.355,0.3175,0.305,0.355,0.3275,0.3175
neutral/rep0591,0,1,0.3525,0.345,0.3325,0.3525,0.35,0.3275
neutral/rep0592,0,3,0.4275,0.405,0.34,0.4275,0.4075,0.34
neutral/rep0593,0,3,0.11,0.105,0.1025,0.11,0.11,0.105
neutral/rep0594,0,4,0.445,0.44,0.2025,0.445,0.245,0.205
neutral/rep0595,0,2,0.41,0.39,0.3575,0.41,0.38,0.38
neutral/rep0596,0,0,0.26,0.25,0.24,0.26,0.235,0.235
neutral/rep0597,0,0,0.1925,0.1925,0.1475,0.1925,0.1475,0.065
neutral/rep0598,0,0,0.535,0.4275,0.3725,0.535,0.43,0.42
neutral/rep0599,0,4,0.17,0.15,0.115,0.17,0.1675,0.13
neutral/rep0600,0,2,0.3825,0.34,0.3125,0.3825,0.3425,0.3425
neutral/rep0601,0,1,0.3425,0.3425,0.3375,0.3725,0.3425,0.3425
neutral/rep0602,0,2,0.3,0.2575,0.2325,0.3775,0.2575,0.22
neutral/rep0603,0,0,0.6875,0.6725,0.6725,0.6875,0.6725,0.6725
neutral/rep0604,0,1,0.4225,0.405,0.4,0.4225,0.405,0.405
neutral/rep0605,0,1,0.3675,0.3625,0.36,0.37,0.365,0.3625
neutral/rep0606,0,0,0.705,0.5775,0.5125,0.705,0.5775,0.5775
neutral/rep0607,0,4,0.41,0.25,0.25,0.41,0.255,0.2525
neutral/rep0608,0,4,0.4075,0.3925,0.3825,0.4125,0.3925,0.385
neutral/rep0609,0,1,0.7025,0.6925,0.6875,0.71,0.7025,0.7025
neutral/rep0610,0,4,0.32,0.2975,0.2775,0.32,0.315,0.295
neutral/rep0611,0,0,0.5625,0.5575,0.55,0.5725,0.565,0.5625
neutral/rep0612,0,0,0.355,0.3475,0.325,0.355,0.35,0.325
neutral/rep0613,0,3,0.0825,0.08,0.07,0.085,0.08,0.08
neutral/rep0614,0,3,0.3475,0.31,0.28,0.3475,0.32,0.28
neutral/rep0615,0,3,0.2075,0.18,0.18,0.2075,0.18,0.18
neutral/rep0616,0,2,0.5625,0.53,0.5175,0.5675,0.5625,0.53
neutral/rep0617,0,0,0.305,0.2825,0.2775,0.315,0.3075,0.2825
neutral/rep0618,0,3,0.6625,0.65,0.565,0.6675,0.65,0.63
neutral/rep0619,0,3,0.6025,0.485,0.4625,0.6025,0.6,0.485
neutral/rep0620,0,4,0.4275,0.4025,0.3975,0.4475,0.4025,0.3975
neutral/rep0621,0,4,0.3975,0.3,0.295,0.4,0.3975,0.295
neutral/rep0622,0,4,0.5875,0.5575,0.5425,0.5875,0.5475,0.5475
neutral/rep0623,0,2,0.375,0.3575,0.35,0.395,0.3725,0.3575
neutral/rep0624,0,3,0.3725,0.3725,0.3525,0.3725,0.3725,0.3525
neutral/rep0625,0,2,0.42,0.405,0.3825,0.4225,0.39,0.3825
neutral/rep0626,0,1,0.405,0.385,0.37,0.405,0.4025,0.385
neutral/rep0627,0,3,0.3275,0.3225,0.295,0.3325,0.3275,0.3225
neutral/rep0628,0,3,0.6325,0.5775,0.4625,0.635,0.6325,0.58
neutral/rep0629,0,0,0.485,0.475,0.4275,0.505,0.4875,0.48
neutral/rep0630,0,0,0.4925,0.4925,0.4475,0.4925,0.475,0.4525
neutral/rep0631,0,4,0.5575,0.54,0.495,0.5575,0.5425,0.5
neutral/rep0632,0,1,0.0,0.0,0.0,0.0,0.0,0.0
neutral/rep0633,0,0,0.4225,0.42,0.4075,0.435,0.4275,0.425
neutral/rep0634,0,4,0.265,0.2575,0.2575,0.29,0.2675,0.265
neutral/rep0635,0,2,0.1325,0.1325,0.13,0.1375,0.1325,0.1325
neutral/rep0636,0,1,0.36,0.33,0.3225,0.36,0.335,0.335
neutral/rep0637,0,2,0.4625,0.455,0.455,0.4625,0.4625,0.4575
neutral/rep0638,0,3,0.1925,0.16,0.1575,0.1925,0.1925,0.16
neutral/rep0639,0,4,0.31,0.31,0.3075,0.3125,0.3125,0.3075
neutral/rep0640,0,4,0.0,0.0,0.0,0.0,0.0,0.0
neutral/rep0641,0,0,0.2175,0.1875,0.175,0.2275,0.2175,0.1875
neutral/rep0642,0,1,0.4775,0.4475,0.4275,0.4775,0.4725,0.4275
neutral/rep0643,0,2,0.4325,0.395,0.365,0.44,0.405,0.365
neutral/rep0644,0,4,0.34,0.31,0.31,0.34,0.315,0.3125
neutral/rep0645,0,4,0.3275,0.3075,0.2875,0.36,0.33,0.3075
neutral/rep0646,0,1,0.3125,0.31,0.31,0.3175,0.3175,0.2275
neutral/rep0647,0,2,0.5825,0.58,0.5725,0.5825,0.575,0.5725
neutral/rep0648,0,2,0.5075,0.4725,0.4675,0.5075,0.5075,0.4725
neutral/rep0649,0,4,0.5075,0.49,0.35,0.5075,0.5025,0.49
neutral/rep0650,0,3,0.64,0.63,0.63,0.66,0.64,0.62
neutral/rep0651,0,0,0.205,0.205,0.175,0.2075,0.205,0.1775
neutral/rep0652,0,4,0.4,0.4,0.385,0.4025,0.4,0.3975
neutral/rep0653,0,1,0.1875,0.165,0.1475,0.215,0.165,0.165
neutral/rep0654,0,1,0.4425,0.43,0.41,0.4475,0.43,0.4275
neutral/rep0655,0,3,0.22,0.21,0.21,0.225,0.22,0.2125
neutral/rep0656,0,2,0.385,0.27,0.25,0.39,0.3875,0.235
neutral/rep0657,0,2,0.62,0.585,0.3625,0.62,0.6025,0.585
neutral/rep0658,0,1,0.6,0.5975,0.58,0.6,0.6,0.58
neutral/rep0659,0,2,0.345,0.3075,0.3025,0.3475,0.335,0.3025
neutral/rep0660,0,1,0.585,0.5825,0.4425,0.585,0.4225,0.41
neutral/rep0661,0,3,0.12,0.1075,0.1075,0.1275,0.1075,0.1075
neutral/rep0662,0,4,0.3575,0.3325,0.33,0.3575,0.3525,0.33
neutral/rep0663,0,1,0.38,0.3725,0.3175,0.3925,0.3775,0.3375
neutral/rep0664,0,1,0.4825,0.4075,0.3675,0.485,0.48,0.4125
neutral/rep0665,0,1,0.41,0.305,0.305,0.41,0.3875,0.305
neutral/rep0666,0,3,0.2175,0.2025,0.1925,0.2175,0.21,0.1975
neutral/rep0667,0,1,0.26,0.2,0.1225,0.2775,0.2675,0.1275
neutral/rep0668,0,2,0.355,0.3075,0.3075,0.355,0.31,0.31
neutral/rep0669,0,0,0.35,0.3475,0.3425,0.35,0.3475,0.335
neutral/rep0670,0,4,0.6925,0.5375,0.5275,0.695,0.5375,0.5325
neutral/rep0671,0,4,0.0,0.0,0.0,0.0,0.0,0.0
neutral/rep0672,0,1,0.4725,0.4625,0.4625,0.4725,0.47,0.465
neutral/rep0673,0,1,0.48,0.2625,0.2625,0.48,0.4775,0.2625
neutral/rep0674,0,2,0.3875,0.3875,0.3625,0.4325,0.3875,0.3625
neutral/rep0675,0,3,0.505,0.45,0.44,0.535,0.5,0.4475
neutral/rep0676,0,2,0.4325,0.42,0.26,0.4325,0.4275,0.2725
neutral/rep0677,0,3,0.445,0.43,0.4175,0.445,0.4375,0.4325
neutral/rep0678,0,4,0.3925,0.3725,0.3725,0.3925,0.3675,0.33
neutral/rep0679,0,2,0.385,0.38,0.3775,0.385,0.3775,0.36
neutral/rep0680,0,4,0.5825,0.57,0.56,0.5825,0.57,0.565
neutral/rep0681,0,3,0.42,0.4,0.3475,0.42,0.405,0.4
neutral/rep0682,0,0,0.4325,0.42,0.3025,0.4325,0.4275,0.3025
neutral/rep0683,0,0,0.34,0.3275,0.3,0.34,0.3,0.3
neutral/rep0684,0,2,0.6425,0.6375,0.3425,0.6425,0.3575,0.3425
neutral/rep0685,0,1,0.4375,0.435,0.435,0.4425,0.4375,0.435
neutral/rep0686,0,1,0.8225,0.76,0.7425,0.8225,0.7775,0.76
neutral/rep0687,0,0,0.375,0.3675,0.3675,0.3925,0.37,0.37
neutral/rep0688,0,4,0.5025,0.4975,0.4825,0.51,0.4975,0.4975
neutral/rep0689,0,1,0.375,0.34,0.285,0.385,0.3775,0.2875
neutral/rep0690,0,2,0.2925,0.29,0.2875,0.2925,0.2875,0.2475
neutral/rep0691,0,0,0.295,0.2625,0.2525,0.3075,0.295,0.2625
neutral/rep0692,0,2,0.4325,0.4225,0.365,0.435,0.4325,0.4225
neutral/rep0693,0,0,0.74,0.5525,0.535,0.74,0.56,0.545
neutral/rep0694,0,2,0.265,0.115,0.0975,0.265,0.225,0.115
neutral/rep0695,0,0,0.6,0.5875,0.5825,0.6125,0.5875,0.5825
neutral/rep0696,0,3,0.3975,0.395,0.3675,0.3975,0.395,0.39
neutral/rep0697,0,2,0.4075,0.4075,0.335,0.4075,0.4075,0.405
neutral/rep0698,0,2,0.3275,0.225,0.2075,0.3275,0.3275,0.225
neutral/rep0699,0,3,0.3025,0.295,0.215,0.3025,0.295,0.1925
neutral/rep0700,0,3,0.4975,0.4575,0.4575,0.4975,0.465,0.4475
neutral/rep0701,0,4,0.61,0.5675,0.5175,0.66,0.615,0.5675
neutral/rep0702,0,0,0.19,0.175,0.1675,0.1925,0.19,0.1725
neutral/rep0703,0,3,0.4975,0.47,0.45,0.5,0.4675,0.45
neutral/rep0704,0,1,0.3925,0.35,0.35,0.3925,0.3575,0.35
neutral/rep0705,0,0,0.47,0.465,0.4525,0.47,0.465,0.4525
neutral/rep0706,0,0,0.6275,0.6125,0.555,0.6275,0.6125,0.555
neutral/rep0707,0,2,0.2575,0.25,0.2475,0.2575,0.2525,0.2375
neutral/rep0708,0,2,0.22,0.2075,0.2025,0.22,0.2125,0.2075
