# Gamma-SMC explicit haplotype pairs
# genotype_class	hom_ref
# n_pairs	15
2	3
20	21
22	23
34	35
40	41
46	47
56	57
74	75
96	97
104	105
118	119
172	173
174	175
184	185
186	187
