# Gamma-SMC explicit haplotype pairs
# genotype_class	hom_ref
# n_pairs	47
2	3
6	7
8	9
10	11
12	13
14	15
18	19
20	21
22	23
24	25
36	37
38	39
42	43
44	45
52	53
54	55
58	59
62	63
64	65
70	71
72	73
74	75
84	85
86	87
88	89
90	91
104	105
108	109
112	113
114	115
118	119
126	127
128	129
130	131
134	135
138	139
140	141
144	145
148	149
150	151
154	155
160	161
164	165
178	179
190	191
194	195
198	199
