selection_coefficient	replicate	realized_population_allele_frequency	focal_allele_outcome	ancestry_seconds	slim_seconds	center_fraction_recent	center_mean_tmrca_generations	window_10000_fraction_recent	window_100000_fraction_recent	neutral_plateau_fraction_recent	neutral_plateau_mean_tmrca_generations	center_fraction_recent_mc_p_upper	window_10000_fraction_recent_mc_p_upper	window_100000_fraction_recent_mc_p_upper	n_pairs_tmrca_lt_threshold
0.0	48	0.0	lost	10.03140070004156	2.3509518000064418	0.0115	14372.39546350363	0.0115	0.0118366336633663	0.0120165289256198	20208.06585280509				23
0.0	49	0.0	lost	11.466183200012892	2.5193267000140622	0.0095	28102.283281591383	0.0094545454545454	0.0093217821782178	0.008698347107438	18977.91466559876				19
0.0	50	0.0	lost	16.16105419996893	3.037547799991444	0.011	17462.053563571117	0.0109999999999999	0.011	0.0078223140495867	19587.1603330416				22
0.0	51	0.0	lost	15.542897399980577	2.798291400016751	0.01	8608.382792041648	0.0097727272727272	0.0098019801980197	0.0085578512396694	20640.763374432187				20
0.0	52	0.0	lost	15.990854599978777	3.126391700003296	0.013	38493.67799669117	0.0133181818181818	0.0131336633663366	0.0101074380165289	19347.35559728373				26
0.0	53	0.0	lost	16.58185840002261	2.8837901999941096	0.006	17943.07341142079	0.006	0.0059999999999999	0.0081404958677685	18975.75357327904				12
0.0	54	0.0	lost	16.449687200016342	2.927588899969124	0.01	12039.612502055612	0.0097272727272727	0.0094059405940594	0.0082892561983471	19943.35077129723				20
0.0	55	0.0	lost	16.437485399947036	3.0382976999972016	0.013	20174.883118626625	0.0128636363636363	0.0119653465346534	0.0089380165289256	20676.96798107216				26
0.0	56	0.0	lost	15.484234499977902	3.3624463999876752	0.0075	13292.180006943066	0.0076363636363636	0.0078861386138613	0.0109297520661157	20325.065138297272				15
0.0	57	0.0	lost	7.064102800039109	3.184375700016972	0.0085	10293.27493547483	0.0085	0.0088465346534653	0.0064628099173553	19525.96174596933				17
0.0	58	0.0	lost	15.45757309999317	2.554397900006734	0.0075	22807.618634848463	0.0077272727272727	0.0078663366336633	0.0089173553719008	21467.832417752583				15
0.0	59	0.0	lost	16.797390199964866	3.560059099982027	0.0065	52865.150525466415	0.0065	0.0063069306930693	0.0086859504132231	21321.11984981852				13
0.0	60	0.0	lost	15.912600000039674	3.49945740000112	0.004	13311.811042551411	0.004	0.0041039603960396	0.0088471074380165	19871.95289557885				8
0.0	61	0.0	lost	17.202831399976276	3.4969623999786563	0.0065	30107.884881826634	0.0065	0.0061633663366336	0.0080867768595041	19233.370150466893				13
0.0	62	0.0	lost	15.95990889996756	3.364168100000825	0.0145	19798.705568420963	0.0145	0.0139306930693069	0.008590909090909	18316.215563497848				29
0.0	63	0.0	lost	17.043654099979904	3.5817669999669306	0.008	37269.56623187876	0.0083636363636363	0.0086732673267326	0.0082644628099173	19182.168716250064				16
0.0	64	0.0	lost	16.82931010000175	3.4535053999861702	0.0045	24045.55600757467	0.0046818181818181	0.0053613861386138	0.007995867768595	21286.38610672095				9
0.0	65	0.0	lost	16.58355040004244	3.253904999990482	0.0095	24546.55432702203	0.0094999999999999	0.0098613861386138	0.0101611570247933	19133.92370004241				19
0.0	66	0.0	lost	11.16557880002074	2.468437399948016	0.007	17175.272356782833	0.007	0.0073465346534653	0.0084586776859504	22078.46656407604				14
0.0	67	0.0	lost	15.678318699996453	3.647513499949128	0.0085	23829.39494457846	0.0086818181818181	0.0095445544554455	0.0095743801652892	19537.415648700146				17
0.0	68	0.0	lost	14.569499899982477	2.6427565999911167	0.0095	14969.173467015562	0.0094090909090909	0.0091039603960396	0.0089545454545454	19302.94092622538				19
0.0	69	0.0	lost	15.65313209994929	3.525827500037849	0.0115	15259.294329127591	0.0115	0.0115544554455445	0.0101363636363636	19849.489056560305				23
0.0	70	0.0	lost	15.009417200053576	3.176017599995248	0.0105	16627.62018964593	0.0105454545454545	0.0109999999999999	0.0100041322314049	21136.58782714589				21
0.0	71	0.0	lost	15.343220900045708	3.4325335000175983	0.007	16027.9223221526	0.007	0.0071039603960396	0.0099132231404958	19316.385281127685				14
0.0	72	0.0	lost	15.222353800025305	3.495444599946495	0.0095	23425.9546214102	0.0094090909090909	0.0093960396039603	0.0083099173553719	19735.40379128922				19
0.0	73	0.0	lost	15.095172700006517	3.415984200022649	0.01	13071.97869976943	0.0098636363636363	0.0097920792079207	0.0078429752066115	19279.977857988804				20
0.0	74	0.0	lost	7.614645999972708	2.426274800032843	0.0105	16107.772789146278	0.0104999999999999	0.0104306930693069	0.0093512396694214	18544.426190589573				21
0.0	75	0.0	lost	6.771454600035213	2.9946017000474967	0.009	17937.221772051253	0.0089999999999999	0.0091881188118811	0.0099586776859504	20445.061251668907				18
0.0	76	0.0	lost	13.006411400041545	3.554509199981112	0.0115	19804.77679005802	0.0115	0.0116584158415841	0.0092479338842975	19719.12803814652				23
0.0	77	0.0	lost	12.912466900015716	3.288716099981684	0.0095	22620.84145366684	0.0094999999999999	0.0092079207920792	0.0089256198347107	21091.29394562782				19
0.0	78	0.0	lost	12.928122300014364	3.319932200014591	0.0075	13034.897354290311	0.0075	0.0076782178217821	0.0092479338842975	20289.95161862452				15
0.0	79	0.0	lost	12.454883700003847	3.0731960999546573	0.0105	18753.1621336848	0.0104090909090909	0.0105940594059405	0.0092479338842975	20885.02533704202				21
0.0	80	0.0	lost	12.912199199956376	2.9247594000189565	0.008	29201.864756791365	0.008	0.0078960396039603	0.0089008264462809	20694.21822951662				16
