census_af	genotype_class	n_pairs	median_tmrca_generations	p_lt_30ky
0.6305087366630586	hom_carrier	42	875.0	0.5476190476190477
0.6305087366630586	het	42	35148.29619542628	0.0
0.6305087366630586	hom_noncarrier	16	8435.0	0.0625
0.7457862996752744	hom_carrier	57	935.0	1.0
0.7457862996752744	het	40	33852.0841272505	0.0
0.7457862996752744	hom_noncarrier	3	11800.0	0.0
0.5720967991340653	hom_carrier	29	940.0	1.0
0.5720967991340653	het	48	20143.357271711997	0.0
0.5720967991340653	hom_noncarrier	23	14855.0	0.17391304347826086
0.5108628421215401	hom_carrier	27	790.0	0.6666666666666666
0.5108628421215401	het	48	20002.675713406494	0.0
0.5108628421215401	hom_noncarrier	25	15125.0	0.08
0.47920210298438226	hom_carrier	23	815.0	1.0
0.47920210298438226	het	53	29899.648230849067	0.0
0.47920210298438226	hom_noncarrier	24	16938.061657601334	0.041666666666666664
0.9889438688727386	hom_carrier	100	1390.0	0.08
0.6567960414411629	hom_carrier	45	795.0	1.0
0.6567960414411629	het	40	20989.095192014	0.0
0.6567960414411629	hom_noncarrier	15	6955.0	0.13333333333333333
0.6987010978815525	hom_carrier	51	785.0	1.0
0.6987010978815525	het	38	19709.915388194957	0.0
0.6987010978815525	hom_noncarrier	11	2089.999949999999	0.0
0.5709370650997371	hom_carrier	35	815.0	1.0
0.5709370650997371	het	35	21868.002421352176	0.0
0.5709370650997371	hom_noncarrier	30	1675.0	0.06666666666666667
0.9344363692593165	hom_carrier	79	1045.0	0.3037974683544304
0.9344363692593165	het	20	20419.17869694706	0.0
0.9344363692593165	hom_noncarrier	1	1170.0	0.0
0.9527215092005566	hom_carrier	87	1180.0	0.3563218390804598
0.9527215092005566	het	13	26619.546029946334	0.0
0.6778258852636462	hom_carrier	50	795.0	0.92
0.6778258852636462	het	41	19889.902586606808	0.0
0.6778258852636462	hom_noncarrier	9	10170.0	0.1111111111111111
0.2763646203803928	hom_carrier	4	620.0	1.0
0.2763646203803928	het	40	29066.821443653982	0.0
0.2763646203803928	hom_noncarrier	56	1725.0	0.07142857142857142
0.4974485851244781	hom_carrier	22	987.5	0.9090909090909091
0.4974485851244781	het	56	27588.868204352024	0.0
0.4974485851244781	hom_noncarrier	22	1740.0	0.045454545454545456
0.8605999690737591	hom_carrier	73	2430.0	0.3972602739726027
0.8605999690737591	het	22	21715.70322546291	0.0
0.8605999690737591	hom_noncarrier	5	9540.0	0.0
0.9523349311891139	hom_carrier	88	1095.0	0.26136363636363635
0.9523349311891139	het	11	31736.074919838284	0.0
0.9523349311891139	hom_noncarrier	1	15465.0	0.0
0.9068733570434514	hom_carrier	84	875.0	0.5476190476190477
0.9068733570434514	het	15	20529.344180620195	0.0
0.9068733570434514	hom_noncarrier	1	48417.35531323299	0.0
0.0	hom_noncarrier	100	4610.0	0.1
0.8775320859749497	hom_carrier	75	1075.0	0.44
0.8775320859749497	het	21	19997.4159569348	0.0
0.8775320859749497	hom_noncarrier	4	11482.5	0.25
0.6810344827586207	hom_carrier	51	1030.0	1.0
0.6810344827586207	het	40	20951.956996298148	0.0
0.6810344827586207	hom_noncarrier	9	1700.0	0.1111111111111111
0.6482140095871347	hom_carrier	41	725.0	1.0
0.6482140095871347	het	49	25409.80565969014	0.0
0.6482140095871347	hom_noncarrier	10	26519.63371437815	0.0
0.9575923921447348	hom_carrier	92	1375.0	0.14130434782608695
0.9575923921447348	het	8	22403.397281827074	0.0
0.47282356579557755	hom_carrier	19	5780.0	0.47368421052631576
0.47282356579557755	het	53	32880.15190404295	0.0
0.47282356579557755	hom_noncarrier	28	11295.0	0.07142857142857142
0.8889361373125096	hom_carrier	80	945.0	0.8625
0.8889361373125096	het	20	22272.276937150844	0.0
0.644116282665842	hom_carrier	48	810.0	1.0
0.644116282665842	het	40	23566.397356056168	0.0
