arm_id	mode	estimator	threshold_years	n	truth_mean	decoded_mean	bias	rmse	pearson_r
chb_from_introgression	neutral	gamma_smc_frac	1000.0	100	0.0002	0.0006000000000000001	0.0004000000000000001	0.002	0.5654448612875181
chb_from_introgression	neutral	gamma_smc_frac	4500.0	100	0.0015	0.0066	0.0051	0.0091104335791443	0.3600387147906346
chb_from_introgression	neutral	gamma_smc_frac	10000.0	100	0.0057	0.054000000000000006	0.04830000000000001	0.05814636704042653	0.18279409022201765
chb_from_introgression	neutral	gamma_smc_frac	20000.0	100	0.022199999999999998	0.18289999999999998	0.16069999999999998	0.18082864817279368	0.19289923436699294
chb_from_introgression	neutral	gamma_smc_frac	30000.0	100	0.07629999999999999	0.27620000000000006	0.19990000000000008	0.2292967509582288	0.39148152468985287
chb_from_introgression	neutral	gamma_smc_frac	40000.0	100	0.2002	0.3381	0.13790000000000002	0.18398641254179615	0.5134958123281731
chb_from_introgression	neutral	gamma_smc_frac	50000.0	100	0.2955	0.3823	0.08679999999999999	0.14189432687743367	0.6816133712953374
chb_from_introgression	selected	gamma_smc_frac	1000.0	100	0.0004	0.0009	0.0005	0.0026457513110645908	0.6781886473541519
chb_from_introgression	selected	gamma_smc_frac	4500.0	100	0.0021000000000000003	0.016300000000000002	0.0142	0.019798989873223333	0.35353143431387885
chb_from_introgression	selected	gamma_smc_frac	10000.0	100	0.006200000000000001	0.1432	0.13699999999999998	0.16055528642807126	-0.01121762765037706
chb_from_introgression	selected	gamma_smc_frac	20000.0	100	0.0626	0.3747	0.3121	0.3653450423914357	-0.280285554542324
chb_from_introgression	selected	gamma_smc_frac	30000.0	100	0.3248	0.4938	0.16900000000000004	0.30919249667480614	0.21419531309072556
chb_from_introgression	selected	gamma_smc_frac	40000.0	100	0.5203	0.5508000000000001	0.030500000000000083	0.12431009613060395	0.8744475425974083
chb_from_introgression	selected	gamma_smc_frac	50000.0	100	0.5724999999999999	0.5836	0.01110000000000011	0.0683593446428504	0.961345013852757
chb_from_introgression	neutral	gamma_smc_meanp	1000.0	100	0.0002	0.012636409627420003	0.012436409627420002	0.013321338868879939	0.13191126268753492
chb_from_introgression	neutral	gamma_smc_meanp	4500.0	100	0.0015	0.0584716641761	0.0569716641761	0.060429799831081356	0.18924294704362435
chb_from_introgression	neutral	gamma_smc_meanp	10000.0	100	0.0057	0.12517792802859998	0.11947792802859998	0.12682273102994313	0.10310754120120168
chb_from_introgression	neutral	gamma_smc_meanp	20000.0	100	0.022199999999999998	0.22470411999500006	0.20250411999500006	0.2146427646034264	0.2429187816477715
chb_from_introgression	neutral	gamma_smc_meanp	30000.0	100	0.07629999999999999	0.30138500696299997	0.225085006963	0.24173784975284512	0.34287210844361954
chb_from_introgression	neutral	gamma_smc_meanp	40000.0	100	0.2002	0.36205733680200003	0.16185733680200004	0.19104304918909087	0.4296259973712015
chb_from_introgression	neutral	gamma_smc_meanp	50000.0	100	0.2955	0.41155072429199996	0.11605072429199997	0.15812278093119345	0.6030881454177027
chb_from_introgression	selected	gamma_smc_meanp	1000.0	100	0.0004	0.02341629161512	0.023016291615119998	0.024958251004298392	0.28690598188160205
chb_from_introgression	selected	gamma_smc_meanp	4500.0	100	0.0021000000000000003	0.10544195385490002	0.10334195385490001	0.1121625657247187	0.13312769664898866
chb_from_introgression	selected	gamma_smc_meanp	10000.0	100	0.006200000000000001	0.2146941855184	0.2084941855184	0.22634154108663268	0.020594914401425125
chb_from_introgression	selected	gamma_smc_meanp	20000.0	100	0.0626	0.35399867993100004	0.29139867993100005	0.33284424458270057	-0.3214464421553404
chb_from_introgression	selected	gamma_smc_meanp	30000.0	100	0.3248	0.44176286568900003	0.11696286568900005	0.25962946510430024	0.22693155283532981
chb_from_introgression	selected	gamma_smc_meanp	40000.0	100	0.5203	0.49939911715600005	-0.020900882843999935	0.12774669540174205	0.86891704976084
chb_from_introgression	selected	gamma_smc_meanp	50000.0	100	0.5724999999999999	0.539133034484	-0.033366965515999936	0.08478340454682289	0.9615686420221139
