replicate	position_0based	mean_tmrca_generations	fraction_tmrca_lt_threshold
0	100044	35942.25196041086	0.0065
1	100015	10871.663257078348	0.0065
2	99554	8169.402383736646	0.0105
3	99918	16562.385797900202	0.0065
4	100062	20057.58941193172	0.006
5	99932	16003.956407545347	0.0095
6	100286	12282.43331976606	0.006
7	100040	29724.73097631509	0.008
8	99984	30260.72775102913	0.0105
9	100407	14305.497886387668	0.008
10	100179	25366.39316249865	0.0095
11	99987	32783.21095159316	0.0085
12	99762	17677.88185137186	0.009
13	99920	16339.456419834303	0.01
14	99817	18337.749926049168	0.0065
15	99891	33618.69659961974	0.0095
16	99746	9360.35316413871	0.008
17	99765	14570.129494365006	0.008
18	100342	19964.29216275485	0.0085
19	99922	11159.200628872744	0.006
20	100337	5387.993688735409	0.0115
21	100043	17087.52804598938	0.0125
22	99790	5252.693246350793	0.008
23	99802	15673.946380093766	0.01
24	100056	19878.934205175505	0.004
25	100107	18754.364344065685	0.01
26	99820	28383.99767845417	0.009
27	99983	19715.588803123	0.0065
28	99913	19215.23397377665	0.0055
29	99970	5988.634430532298	0.0085
30	99993	36484.62740149567	0.0105
31	99938	32312.495388807594	0.0055
32	100287	24167.741051225512	0.008
33	99653	11565.971729779016	0.0065
34	99907	41699.95623484279	0.007
35	100055	9176.981630942655	0.005
36	100022	12108.131498857005	0.009
37	100155	16539.46519999344	0.0075
38	100079	29163.91425830146	0.0065
39	99698	18152.046593100324	0.0115
40	100071	45594.08937501557	0.009
41	100088	23648.294097609378	0.007
42	99945	20860.356528349617	0.0085
43	100122	18277.78155201142	0.009
44	99967	16587.58630448648	0.0075
45	99849	28073.023829100155	0.0065
46	99865	8413.923912363223	0.0075
47	99851	19323.52083833345	0.01
48	99987	13616.535437430848	0.0095
49	100276	18181.96859422706	0.004
50	100201	11133.249004700268	0.008
51	99780	17464.52690880365	0.0095
52	100052	25954.81203195084	0.01
53	100030	13005.532759298789	0.009
54	100021	18543.85175275704	0.0105
55	100122	17804.120431553893	0.008
56	100266	13390.034269975518	0.008
57	99891	22133.4730349397	0.0055
58	100051	12911.75613166098	0.005
59	100011	12002.351486756412	0.0065
60	100047	24075.637918592747	0.003
61	99929	32939.772835714815	0.0055
62	100036	9143.406103456022	0.0115
63	99886	11132.277800705	0.007
64	100271	29602.280195155607	0.0075
65	99918	8113.948775029562	0.0095
66	99962	17210.565623082035	0.009
67	99925	9437.352844910838	0.0095
68	99944	8835.754735800225	0.0055
69	100072	14484.99884359788	0.006
70	100152	12250.967337425804	0.0065
71	100158	15566.559933871527	0.0085
72	99915	12763.600211988727	0.008
73	99698	12765.006208270535	0.008
74	100007	12819.191962883202	0.0085
75	99950	13903.639126394057	0.0075
76	99980	11186.152125103074	0.0095
77	99883	33491.46190031825	0.0095
78	99963	17461.883270878367	0.007
79	99944	14253.57763145525	0.0085
80	99860	12999.239623378298	0.006
81	100002	19214.86616039772	0.011
82	99723	13824.393881789054	0.0045
83	99883	11210.434229948749	0.0085
84	99871	23726.78672576371	0.0085
85	99958	45263.95151045257	0.0095
86	100023	17803.97123431071	0.0065
87	100013	19201.84842000507	0.0075
88	99914	12797.435597698814	0.0065
89	99998	24297.723828720656	0.0075
90	99885	14726.554367311546	0.008
91	99889	20117.12462956535	0.0105
92	99979	45600.42584852621	0.011
93	99869	18681.354035029704	0.0105
94	100012	24845.1981382893	0.009
95	100019	11263.192419001209	0.009
96	99824	17439.13075689125	0.006
97	100021	21185.912784118584	0.0055
98	99879	15640.060480303173	0.0035
99	99849	15949.687246935426	0.0075
