arm_id	mode	estimator	threshold_years	n	truth_mean	decoded_mean	bias	rmse	pearson_r
chb_denovo	neutral	gamma_smc_frac	1000.0	100	0.0002	0.0005	0.00030000000000000003	0.0017320508075688774	0.6226998490772396
chb_denovo	neutral	gamma_smc_frac	4500.0	100	0.0013	0.0053	0.004	0.007483314773547883	0.5853810381346174
chb_denovo	neutral	gamma_smc_frac	10000.0	100	0.0041	0.05219999999999999	0.04809999999999999	0.05842088667591412	0.13650194533623608
chb_denovo	neutral	gamma_smc_frac	20000.0	100	0.022600000000000002	0.1931	0.17049999999999998	0.19340889328053143	0.11752761047418274
chb_denovo	neutral	gamma_smc_frac	30000.0	100	0.07890000000000001	0.2943	0.21539999999999998	0.2473014354992708	0.10083567114549402
chb_denovo	neutral	gamma_smc_frac	40000.0	100	0.20650000000000004	0.3601	0.15359999999999993	0.20228198140220005	0.32786916941833216
chb_denovo	neutral	gamma_smc_frac	50000.0	100	0.28900000000000003	0.40589999999999987	0.11689999999999984	0.17197383521919837	0.5286209329751113
chb_denovo	selected	gamma_smc_frac	1000.0	100	0.0005	0.0008	0.00030000000000000003	0.0017320508075688774	0.7779866052155002
chb_denovo	selected	gamma_smc_frac	4500.0	100	0.0017000000000000001	0.0078000000000000005	0.0061	0.010344080432788599	0.3408113843430582
chb_denovo	selected	gamma_smc_frac	10000.0	100	0.008100000000000001	0.0571	0.048999999999999995	0.05669215113223346	0.16836360541029555
chb_denovo	selected	gamma_smc_frac	20000.0	100	0.026099999999999998	0.18390000000000004	0.15780000000000005	0.17621010186706096	-0.010467222769730378
chb_denovo	selected	gamma_smc_frac	30000.0	100	0.0815	0.2893	0.20779999999999998	0.23262416039612055	0.16308440872211782
chb_denovo	selected	gamma_smc_frac	40000.0	100	0.20650000000000002	0.3551	0.1486	0.1854723699099141	0.44963966882161266
chb_denovo	selected	gamma_smc_frac	50000.0	100	0.30970000000000003	0.4071	0.09739999999999999	0.15071164520368027	0.5842007048789145
chb_denovo	neutral	gamma_smc_meanp	1000.0	100	0.0002	0.013057637522089998	0.012857637522089998	0.013798448385165455	0.3519132358060841
chb_denovo	neutral	gamma_smc_meanp	4500.0	100	0.0013	0.061157734897299997	0.059857734897299994	0.0634857562138771	0.2945659893251884
chb_denovo	neutral	gamma_smc_meanp	10000.0	100	0.0041	0.1313788431148	0.1272788431148	0.13451489293345684	0.2041902867340885
chb_denovo	neutral	gamma_smc_meanp	20000.0	100	0.022600000000000002	0.23510298395699997	0.21250298395699996	0.22512318836386322	0.11735970313190185
chb_denovo	neutral	gamma_smc_meanp	30000.0	100	0.07890000000000001	0.31357613019099995	0.23467613019099992	0.2542310657083672	0.07383883942229333
chb_denovo	neutral	gamma_smc_meanp	40000.0	100	0.20650000000000004	0.3746155524000001	0.16811555240000006	0.20200772664083436	0.24478882722688672
chb_denovo	neutral	gamma_smc_meanp	50000.0	100	0.28900000000000003	0.423717524451	0.134717524451	0.1752461290378452	0.4528706612828316
chb_denovo	selected	gamma_smc_meanp	1000.0	100	0.0005	0.01330455338369	0.01280455338369	0.01355732448822345	0.36202500140201405
chb_denovo	selected	gamma_smc_meanp	4500.0	100	0.0017000000000000001	0.06073822339019999	0.05903822339019999	0.06204951849610023	0.0015521011752846888
chb_denovo	selected	gamma_smc_meanp	10000.0	100	0.008100000000000001	0.12936466482349998	0.12126466482349998	0.12747525529557188	0.04097569732194158
chb_denovo	selected	gamma_smc_meanp	20000.0	100	0.026099999999999998	0.23142783579400003	0.20532783579400005	0.21667486709343714	0.002036395661958913
chb_denovo	selected	gamma_smc_meanp	30000.0	100	0.0815	0.310018588101	0.228518588101	0.24506416890480306	0.1283445783990383
chb_denovo	selected	gamma_smc_meanp	40000.0	100	0.20650000000000002	0.37191887861399997	0.16541887861399995	0.19414310680540184	0.40055332724425036
chb_denovo	selected	gamma_smc_meanp	50000.0	100	0.30970000000000003	0.42196818533700003	0.112268185337	0.15883304397713077	0.5251008262128992
