stride_label	replicate	frac_recent_4500_mean	frac_recent_4500_median
1 kb	90	0.0055	0.009
1 kb	91	0.008	0.01
1 kb	92	0.008	0.011
1 kb	93	0.0055	0.008
1 kb	94	0.009	0.0135
1 kb	95	0.009	0.0155
1 kb	96	0.007	0.0155
1 kb	97	0.01	0.0125
1 kb	98	0.0045	0.0065
1 kb	99	0.0065	0.011
10 kb	0	0.0065	0.01
10 kb	1	0.0065	0.009
10 kb	2	0.004	0.0055
10 kb	3	0.0075	0.011
10 kb	4	0.0075	0.0135
10 kb	5	0.005	0.0085
10 kb	6	0.0115	0.018
10 kb	7	0.0075	0.0095
10 kb	8	0.0095	0.012
10 kb	9	0.0055	0.009
10 kb	10	0.012	0.015
10 kb	11	0.007	0.0085
10 kb	12	0.0055	0.009
10 kb	13	0.01	0.0115
10 kb	14	0.0055	0.0105
10 kb	15	0.011	0.0135
10 kb	16	0.0125	0.015
10 kb	17	0.011	0.0135
10 kb	18	0.005	0.008
10 kb	19	0.0065	0.0125
10 kb	20	0.006	0.0145
10 kb	21	0.0085	0.011
10 kb	22	0.0065	0.011
10 kb	23	0.0065	0.01
10 kb	24	0.007	0.0145
10 kb	25	0.0085	0.012
10 kb	26	0.0105	0.013
10 kb	27	0.008	0.012
10 kb	28	0.0105	0.0145
10 kb	29	0.0085	0.0115
10 kb	30	0.008	0.0115
10 kb	31	0.01	0.0125
10 kb	32	0.0045	0.0065
10 kb	33	0.009	0.014
10 kb	34	0.013	0.016
10 kb	35	0.0095	0.014
10 kb	36	0.0055	0.009
10 kb	37	0.0075	0.0105
10 kb	38	0.008	0.013
10 kb	39	0.0075	0.013
10 kb	40	0.0155	0.018
10 kb	41	0.0065	0.009
10 kb	42	0.007	0.009
10 kb	43	0.01	0.0135
10 kb	44	0.0085	0.0125
10 kb	45	0.006	0.0115
10 kb	46	0.0065	0.008
10 kb	47	0.0065	0.009
10 kb	48	0.0055	0.012
10 kb	49	0.007	0.0105
10 kb	50	0.0075	0.0125
10 kb	51	0.0055	0.009
10 kb	52	0.0075	0.012
10 kb	53	0.0045	0.0085
10 kb	54	0.0075	0.0105
10 kb	55	0.007	0.0135
10 kb	56	0.012	0.015
10 kb	57	0.0075	0.0125
10 kb	58	0.006	0.011
10 kb	59	0.0075	0.01
10 kb	60	0.0075	0.009
10 kb	61	0.005	0.0055
10 kb	62	0.0105	0.0135
10 kb	63	0.006	0.0095
10 kb	64	0.0055	0.006
10 kb	65	0.008	0.011
10 kb	66	0.0065	0.012
10 kb	67	0.0055	0.0105
10 kb	68	0.0075	0.0115
10 kb	69	0.01	0.013
10 kb	70	0.0065	0.0085
10 kb	71	0.006	0.008
10 kb	72	0.007	0.0115
10 kb	73	0.0075	0.01
10 kb	74	0.006	0.008
10 kb	75	0.0075	0.0105
10 kb	76	0.0045	0.0065
10 kb	77	0.0115	0.0165
10 kb	78	0.0095	0.012
10 kb	79	0.007	0.0125
10 kb	80	0.0095	0.015
10 kb	81	0.0075	0.01
10 kb	82	0.011	0.0155
10 kb	83	0.0085	0.0095
10 kb	84	0.009	0.012
10 kb	85	0.0135	0.0165
10 kb	86	0.005	0.008
10 kb	87	0.004	0.009
10 kb	88	0.0085	0.012
10 kb	89	0.0055	0.0065
10 kb	90	0.0055	0.009
10 kb	91	0.008	0.01
10 kb	92	0.008	0.011
10 kb	93	0.0055	0.008
10 kb	94	0.009	0.0135
10 kb	95	0.009	0.0155
10 kb	96	0.007	0.0155
10 kb	97	0.01	0.0125
10 kb	98	0.0045	0.0065
10 kb	99	0.0065	0.011
