stride_label	replicate	frac_recent_4500_mean	frac_recent_4500_median
1 kb	0	0.0065	0.01
1 kb	1	0.0065	0.009
1 kb	2	0.004	0.0055
1 kb	3	0.0075	0.011
1 kb	4	0.0075	0.0135
1 kb	5	0.005	0.0085
1 kb	6	0.0115	0.018
1 kb	7	0.0075	0.0095
1 kb	8	0.0095	0.012
1 kb	9	0.0055	0.009
1 kb	10	0.012	0.015
1 kb	11	0.007	0.0085
1 kb	12	0.0055	0.009
1 kb	13	0.01	0.0115
1 kb	14	0.0055	0.0105
1 kb	15	0.011	0.0135
1 kb	16	0.0125	0.015
1 kb	17	0.011	0.0135
1 kb	18	0.005	0.008
1 kb	19	0.0065	0.0125
1 kb	20	0.006	0.0145
1 kb	21	0.0085	0.011
1 kb	22	0.0065	0.011
1 kb	23	0.0065	0.01
1 kb	24	0.007	0.0145
1 kb	25	0.0085	0.012
1 kb	26	0.0105	0.013
1 kb	27	0.008	0.012
1 kb	28	0.0105	0.0145
1 kb	29	0.0085	0.0115
1 kb	30	0.008	0.0115
1 kb	31	0.01	0.0125
1 kb	32	0.0045	0.0065
1 kb	33	0.009	0.014
1 kb	34	0.013	0.016
1 kb	35	0.0095	0.014
1 kb	36	0.0055	0.009
1 kb	37	0.0075	0.0105
1 kb	38	0.008	0.013
1 kb	39	0.0075	0.013
1 kb	40	0.0155	0.018
1 kb	41	0.0065	0.009
1 kb	42	0.007	0.009
1 kb	43	0.01	0.0135
1 kb	44	0.0085	0.0125
1 kb	45	0.006	0.0115
1 kb	46	0.0065	0.008
1 kb	47	0.0065	0.009
1 kb	48	0.0055	0.012
1 kb	49	0.007	0.0105
1 kb	50	0.0075	0.0125
1 kb	51	0.0055	0.009
1 kb	52	0.0075	0.012
1 kb	53	0.0045	0.0085
1 kb	54	0.0075	0.0105
1 kb	55	0.007	0.0135
1 kb	56	0.012	0.015
1 kb	57	0.0075	0.0125
1 kb	58	0.006	0.011
1 kb	59	0.0075	0.01
1 kb	60	0.0075	0.009
1 kb	61	0.005	0.0055
1 kb	62	0.0105	0.0135
1 kb	63	0.006	0.0095
1 kb	64	0.0055	0.006
1 kb	65	0.008	0.011
1 kb	66	0.0065	0.012
1 kb	67	0.0055	0.0105
1 kb	68	0.0075	0.0115
1 kb	69	0.01	0.013
1 kb	70	0.0065	0.0085
1 kb	71	0.006	0.008
1 kb	72	0.007	0.0115
1 kb	73	0.0075	0.01
1 kb	74	0.006	0.008
1 kb	75	0.0075	0.0105
1 kb	76	0.0045	0.0065
1 kb	77	0.0115	0.0165
1 kb	78	0.0095	0.012
1 kb	79	0.007	0.012
1 kb	80	0.0095	0.015
1 kb	81	0.0075	0.01
1 kb	82	0.011	0.0155
1 kb	83	0.0085	0.0095
1 kb	84	0.009	0.012
1 kb	85	0.0135	0.0165
1 kb	86	0.005	0.008
1 kb	87	0.004	0.009
1 kb	88	0.0085	0.012
1 kb	89	0.0055	0.0065
