operating_point,scheme,source,cohort,fold,n,both,mass_only,contrast_only,neither,mass_called,contrast_called,mass_rate,contrast_rate,mass_minus_contrast_pp,mcnemar_p_nominal
training_power_target_0.70,grid10kb,decoded,neutral,4,200,4,0,0,196,4,4,0.02,0.02,0.0,1.0
training_power_target_0.70,grid10kb,truth,selected,0,20,14,0,0,6,14,14,0.7,0.7,0.0,1.0
training_power_target_0.70,grid10kb,truth,selected,1,20,16,0,0,4,16,16,0.8,0.8,0.0,1.0
training_power_target_0.70,grid10kb,truth,selected,2,20,16,0,1,3,16,17,0.8,0.85,-5.0,1.0
training_power_target_0.70,grid10kb,truth,selected,3,20,7,0,1,12,7,8,0.35,0.4,-5.0,1.0
training_power_target_0.70,grid10kb,truth,selected,4,20,15,1,0,4,16,15,0.8,0.75,5.0,1.0
training_power_target_0.70,grid10kb,truth,neutral,0,200,5,0,1,194,5,6,0.025,0.03,-0.5,1.0
training_power_target_0.70,grid10kb,truth,neutral,1,200,3,2,4,191,5,7,0.025,0.035,-1.0,0.6875
training_power_target_0.70,grid10kb,truth,neutral,2,200,4,0,1,195,4,5,0.02,0.025,-0.5,1.0
training_power_target_0.70,grid10kb,truth,neutral,3,200,1,0,0,199,1,1,0.005,0.005,0.0,1.0
training_power_target_0.70,grid10kb,truth,neutral,4,200,1,2,0,197,3,1,0.015,0.005,1.0,0.5
training_power_target_0.70,archaic_sites,decoded,selected,0,20,13,2,0,5,15,13,0.75,0.65,10.0,0.5
training_power_target_0.70,archaic_sites,decoded,selected,1,20,14,0,1,5,14,15,0.7,0.75,-5.0,1.0
training_power_target_0.70,archaic_sites,decoded,selected,2,20,15,0,3,2,15,18,0.75,0.9,-15.0,0.25
training_power_target_0.70,archaic_sites,decoded,selected,3,20,12,1,0,7,13,12,0.65,0.6,5.0,1.0
training_power_target_0.70,archaic_sites,decoded,selected,4,20,11,1,3,5,12,14,0.6,0.7,-10.0,0.625
training_power_target_0.70,archaic_sites,decoded,neutral,0,200,3,0,1,196,3,4,0.015,0.02,-0.5,1.0
training_power_target_0.70,archaic_sites,decoded,neutral,1,200,1,0,6,193,1,7,0.005,0.035,-3.0,0.03125
training_power_target_0.70,archaic_sites,decoded,neutral,2,200,4,0,2,194,4,6,0.02,0.03,-1.0,0.5
training_power_target_0.70,archaic_sites,decoded,neutral,3,200,2,0,1,197,2,3,0.01,0.015,-0.5,1.0
training_power_target_0.70,archaic_sites,decoded,neutral,4,200,4,0,0,196,4,4,0.02,0.02,0.0,1.0
training_power_target_0.70,archaic_sites,truth,selected,0,20,14,0,0,6,14,14,0.7,0.7,0.0,1.0
training_power_target_0.70,archaic_sites,truth,selected,1,20,16,0,0,4,16,16,0.8,0.8,0.0,1.0
training_power_target_0.70,archaic_sites,truth,selected,2,20,16,0,0,4,16,16,0.8,0.8,0.0,1.0
training_power_target_0.70,archaic_sites,truth,selected,3,20,8,0,1,11,8,9,0.4,0.45,-5.0,1.0
training_power_target_0.70,archaic_sites,truth,selected,4,20,14,2,0,4,16,14,0.8,0.7,10.0,0.5
training_power_target_0.70,archaic_sites,truth,neutral,0,200,4,1,1,194,5,5,0.025,0.025,0.0,1.0
training_power_target_0.70,archaic_sites,truth,neutral,1,200,3,2,4,191,5,7,0.025,0.035,-1.0,0.6875
training_power_target_0.70,archaic_sites,truth,neutral,2,200,4,0,1,195,4,5,0.02,0.025,-0.5,1.0
training_power_target_0.70,archaic_sites,truth,neutral,3,200,1,0,0,199,1,1,0.005,0.005,0.0,1.0
training_power_target_0.70,archaic_sites,truth,neutral,4,200,3,0,0,197,3,3,0.015,0.015,0.0,1.0
