demography_id	target_allele_frequency	statistic_scope	metric	statistic	threshold_years	selection_coefficient	n_selected	n_neutral	mean_selected_score	mean_neutral_score	mean_selected_minus_neutral	mean_difference_ci95_low	mean_difference_ci95_high	roc_auc	roc_auc_ci95_low	roc_auc_ci95_high	bootstrap_draws	bootstrap_seed	difference_bootstrap_seed	mann_whitney_u	mann_whitney_p_upper	mean_unit_label_permutation_p_upper	auc_unit_label_permutation_p_upper	unit_label_permutation_draws	unit_label_permutation_seed	mean_unit_label_permutation_exceedances	auc_unit_label_permutation_exceedances	unit_label_permutation_method	unit_label_permutation_family	neutral_bank_scope	mann_whitney_bh_q_upper	mann_whitney_global_bh_q_upper	mean_unit_label_permutation_bh_q_upper	mean_unit_label_permutation_global_bh_q_upper	auc_unit_label_permutation_bh_q_upper	auc_unit_label_permutation_global_bh_q_upper
ancient_eurasia_han_introgression	0.1	focal_nearest	normalized_cdf_area	cdf_area_overall	0	0.005	10	100	0.087355	0.0821875	0.0051675	-0.0144635625	0.026948225	0.542	0.353975	0.721	2000	3372049980	1553306404	542	0.333049472852	0.2513	0.3435	9999	291340262	2512	3434	seeded_monte_carlo_preserve_group_sizes_plus_one	same unit-label draws reused across estimands within cell and s	shared_by_demography_and_af_across_selection_coefficients	0.333049472852	0.499574209278	0.2513	0.438685714286	0.3435	0.51525
ancient_eurasia_han_introgression	0.1	focal_nearest	normalized_cdf_area	cdf_area_overall	0	0.01	10	100	0.07088	0.0821875	-0.0113075	-0.0243131625	0.002056875	0.35	0.17095	0.5485125	2000	1642778673	1495001498	350	0.941193756916	0.935	0.9389	9999	271718307	9349	9388	seeded_monte_carlo_preserve_group_sizes_plus_one	same unit-label draws reused across estimands within cell and s	shared_by_demography_and_af_across_selection_coefficients	0.941193756916	0.953446494279	0.935	0.935	0.9389	0.9545
ancient_eurasia_han_introgression	0.1	focal_nearest	p_tmrca_lt_threshold	p_heterozygous	1000	0.005	10	100	0	0	0	0	0	0.5	0.5	0.5	2000	583579226	2799884437	500	1	1	1	9999	291340262	9999	9999	seeded_monte_carlo_preserve_group_sizes_plus_one	same unit-label draws reused across estimands within cell and s	shared_by_demography_and_af_across_selection_coefficients	1	1	1	1	1	1
ancient_eurasia_han_introgression	0.1	focal_nearest	p_tmrca_lt_threshold	p_heterozygous	1000	0.01	10	100	0	0	0	0	0	0.5	0.5	0.5	2000	2370769197	1764167373	500	1	1	1	9999	271718307	9999	9999	seeded_monte_carlo_preserve_group_sizes_plus_one	same unit-label draws reused across estimands within cell and s	shared_by_demography_and_af_across_selection_coefficients	1	1	1	1	1	1
ancient_eurasia_han_introgression	0.1	focal_nearest	p_tmrca_lt_threshold	p_heterozygous	4500	0.005	10	100	0	0	0	0	0	0.5	0.5	0.5	2000	1534046830	4190230883	500	1	1	1	9999	291340262	9999	9999	seeded_monte_carlo_preserve_group_sizes_plus_one	same unit-label draws reused across estimands within cell and s	shared_by_demography_and_af_across_selection_coefficients	1	1	1	1	1	1
ancient_eurasia_han_introgression	0.1	focal_nearest	p_tmrca_lt_threshold	p_heterozygous	4500	0.01	10	100	0	0	0	0	0	0.5	0.5	0.5	2000	1964562491	4265961102	500	1	1	1	9999	271718307	9999	9999	seeded_monte_carlo_preserve_group_sizes_plus_one	same unit-label draws reused across estimands within cell and s	shared_by_demography_and_af_across_selection_coefficients	1	1	1	1	1	1
ancient_eurasia_han_introgression	0.1	focal_nearest	p_tmrca_lt_threshold	p_heterozygous	10000	0.005	10	100	0	0	0	0	0	0.5	0.5	0.5	2000	2522166134	3720386735	500	1	1	1	9999	291340262	9999	9999	seeded_monte_carlo_preserve_group_sizes_plus_one	same unit-label draws reused across estimands within cell and s	shared_by_demography_and_af_across_selection_coefficients	1	1	1	1	1	1
ancient_eurasia_han_introgression	0.1	focal_nearest	p_tmrca_lt_threshold	p_heterozygous	10000	0.01	10	100	0	0	0	0	0	0.5	0.5	0.5	2000	3905486729	2658899624	500	1	1	1	9999	271718307	9999	9999	seeded_monte_carlo_preserve_group_sizes_plus_one	same unit-label draws reused across estimands within cell and s	shared_by_demography_and_af_across_selection_coefficients	1	1	1	1	1	1
ancient_eurasia_han_introgression	0.1	focal_nearest	p_tmrca_lt_threshold	p_heterozygous	20000	0.005	10	100	0	0	0	0	0	0.5	0.5	0.5	2000	1756024415	1896815289	500	1	1	1	9999	291340262	9999	9999	seeded_monte_carlo_preserve_group_sizes_plus_one	same unit-label draws reused across estimands within cell and s	shared_by_demography_and_af_across_selection_coefficients	1	1	1	1	1	1
ancient_eurasia_han_introgression	0.1	focal_nearest	p_tmrca_lt_threshold	p_heterozygous	20000	0.01	10	100	0	0	0	0	0	0.5	0.5	0.5	2000	1200751575	2857909101	500	1	1	1	9999	271718307	9999	9999	seeded_monte_carlo_preserve_group_sizes_plus_one	same unit-label draws reused across estimands within cell and s	shared_by_demography_and_af_across_selection_coefficients	1	1	1	1	1	1
ancient_eurasia_han_introgression	0.1	focal_nearest	p_tmrca_lt_threshold	p_heterozygous	30000	0.005	10	100	0	0	0	0	0	0.5	0.5	0.5	2000	1104462494	873766325	500	1	1	1	9999	291340262	9999	9999	seeded_monte_carlo_preserve_group_sizes_plus_one	same unit-label draws reused across estimands within cell and s	shared_by_demography_and_af_across_selection_coefficients	1	1	1	1	1	1
ancient_eurasia_han_introgression	0.1	focal_nearest	p_tmrca_lt_threshold	p_heterozygous	30000	0.01	10	100	0	0	0	0	0	0.5	0.5	0.5	2000	2130647491	3924014706	500	1	1	1	9999	271718307	9999	9999	seeded_monte_carlo_preserve_group_sizes_plus_one	same unit-label draws reused across estimands within cell and s	shared_by_demography_and_af_across_selection_coefficients	1	1	1	1	1	1
