demography_id	target_allele_frequency	selection_coefficient	statistic_scope	metric	statistic	threshold_years	n_selected	mean_within_selection_score	median_within_selection_score	sd_within_selection_score	mean_ci95_low	mean_ci95_high	n_nonzero	n_positive	sign_test_p_upper	bootstrap_draws	bootstrap_seed	sign_test_bh_q_upper
ancient_eurasia_han_introgression	0.1	0.01	focal_nearest	p_tmrca_lt_threshold	p_hom_alt_minus_hom_ref	4500	10	0.169918699187	0	0.242261871846	0.0296646341463	0.315071138211	6	4	0.34375	2000	3899177492	0.401041666667
ancient_eurasia_han_introgression	0.1	0.01	focal_nearest	p_tmrca_lt_threshold	p_hom_alt_minus_hom_ref	10000	10	0.307752963072	0.380228229993	0.339414390537	0.113353658537	0.510191987462	9	6	0.25390625	2000	2140819695	0.35546875
ancient_eurasia_han_introgression	0.1	0.01	focal_nearest	p_tmrca_lt_threshold	p_hom_alt_minus_hom_ref	20000	10	0.484596924282	0.44512195122	0.386341883779	0.271621608385	0.705347854834	10	8	0.0546875	2000	1355806702	0.095703125
ancient_eurasia_han_introgression	0.1	0.01	focal_nearest	p_tmrca_lt_threshold	p_hom_alt_minus_hom_ref	30000	10	0.538661964933	0.553065922226	0.393050614449	0.292229038104	0.757851283182	10	8	0.0546875	2000	2047123195	0.095703125
ancient_eurasia_han_introgression	0.1	0.01	focal_nearest	p_tmrca_lt_threshold	p_hom_alt_minus_hom_ref	40000	10	0.68750122441	0.829268292683	0.338562955646	0.464603658537	0.863445121951	10	9	0.0107421875	2000	2310590192	0.03759765625
ancient_eurasia_han_introgression	0.1	0.01	focal_nearest	p_tmrca_lt_threshold	p_hom_alt_minus_hom_ref	50000	10	0.758321089235	0.823170731707	0.195661814915	0.620281002057	0.85487804878	10	10	0.0009765625	2000	532378923	0.0068359375
ancient_eurasia_han_introgression	0.1	0.01	region_mean	mean_tmrca_generations	tmrca_hom_ref_minus_hom_alt	0	10	1230.94287466	1230.0611724	2076.45942238	35.3203747413	2416.62896331	10	7	0.171875	2000	2767956695	0.171875
ancient_eurasia_han_introgression	0.1	0.01	region_mean	normalized_cdf_area	cdf_area_hom_alt_minus_hom_ref	0	10	0.027634966843	0.00535768292683	0.0466988684943	0.00171028850036	0.0560653205872	10	7	0.171875	2000	2176613377	0.171875
ancient_eurasia_han_introgression	0.1	0.01	region_mean	p_tmrca_lt_threshold	p_hom_alt_minus_hom_ref	1000	10	0.00936973258889	0	0.036508697482	-0.0038756097561	0.0329835880106	5	1	0.96875	2000	3042083042	0.96875
ancient_eurasia_han_introgression	0.1	0.01	region_mean	p_tmrca_lt_threshold	p_hom_alt_minus_hom_ref	4500	10	0.024215956509	0.00856097560978	0.04528822719	-0.00184975609758	0.0516481325301	10	6	0.376953125	2000	504988658	0.527734375
ancient_eurasia_han_introgression	0.1	0.01	region_mean	p_tmrca_lt_threshold	p_hom_alt_minus_hom_ref	10000	10	0.0259798511117	0.0139024390244	0.0480438040784	-0.000648963414644	0.0562002191693	10	7	0.171875	2000	727820316	0.527734375
ancient_eurasia_han_introgression	0.1	0.01	region_mean	p_tmrca_lt_threshold	p_hom_alt_minus_hom_ref	20000	10	0.0344111029483	0.0125731707317	0.0497224942104	0.00675926829268	0.0652229407875	10	7	0.171875	2000	1801458272	0.527734375
ancient_eurasia_han_introgression	0.1	0.01	region_mean	p_tmrca_lt_threshold	p_hom_alt_minus_hom_ref	30000	10	0.0285185669507	0.0041158536585	0.0532678689403	-6.37804878085e-05	0.0611002338622	10	6	0.376953125	2000	1360672169	0.527734375
ancient_eurasia_han_introgression	0.1	0.01	region_mean	p_tmrca_lt_threshold	p_hom_alt_minus_hom_ref	40000	10	0.0273740033304	0.004518292683	0.0519759533941	-0.00113396341447	0.0592325912186	10	5	0.623046875	2000	2898393463	0.726888020833
ancient_eurasia_han_introgression	0.1	0.01	region_mean	p_tmrca_lt_threshold	p_hom_alt_minus_hom_ref	50000	10	0.0294628122246	0.0121829268295	0.0459776979958	0.00416268292688	0.057920044079	10	6	0.376953125	2000	2609310559	0.527734375
ancient_eurasia_han_introgression	0.2	0.005	focal_nearest	mean_tmrca_generations	tmrca_hom_ref_minus_hom_alt	0	10	24832.7562801	21986.5770307	14204.6605707	16675.6366598	33817.9216372	10	10	0.0009765625	2000	2592551982	0.0009765625
ancient_eurasia_han_introgression	0.2	0.005	focal_nearest	normalized_cdf_area	cdf_area_hom_alt_minus_hom_ref	0	10	0.288797578165	0.274921875	0.267933675544	0.137579580215	0.436155221595	10	8	0.0546875	2000	249569139	0.0546875
ancient_eurasia_han_introgression	0.2	0.005	focal_nearest	p_tmrca_lt_threshold	p_hom_alt_minus_hom_ref	1000	10	0.0333333333333	0	0.105409255339	0	0.0999999999999	1	1	0.5	2000	120647544	0.583333333333
