# Gamma-SMC explicit haplotype pairs
# genotype_class	heterozygous
# n_pairs	31
0	1
6	7
8	9
14	15
20	21
24	25
26	27
38	39
42	43
46	47
60	61
76	77
86	87
88	89
90	91
92	93
98	99
104	105
134	135
138	139
146	147
150	151
156	157
158	159
170	171
172	173
176	177
180	181
190	191
192	193
198	199
