metric,min_strides,alpha,cutoff_years,half_width_bp,s,n,detected,detection,fdr_mean,f1_mean,recall_mean,fp_mean,calls_mean,no_calls,tp_total,fp_total,fn_total,fdp_pooled,f1_pooled,fdp_ci_low,fdp_ci_high,f1_ci_low,f1_ci_high
peak,1,0.01,10000,100000,0.01,100,49,0.49,0.6538290043290044,0.28550000000000003,0.49,2.03,2.52,12,49,203,51,0.8055555555555556,0.2784090909090909,0.5734010822510822,0.7283645562770564,0.22182916666666663,0.3545
peak,1,0.01,10000,250000,0.001,100,4,0.04,0.5952380952380952,0.02083333333333333,0.04,1.35,1.39,39,4,135,96,0.9712230215827338,0.03347280334728033,0.5002321428571428,0.6850059523809524,0.0025,0.045
peak,1,0.01,10000,250000,0.002,100,8,0.08,0.64,0.05833333333333333,0.08,1.46,1.54,31,8,146,92,0.948051948051948,0.06299212598425197,0.5466666666666667,0.73,0.02,0.10333333333333332
peak,1,0.01,10000,250000,0.003,100,23,0.23,0.6737456709956711,0.1151031746031746,0.23,1.91,2.14,24,23,191,77,0.8925233644859814,0.1464968152866242,0.5934026785714287,0.7549048971861471,0.07022003968253969,0.16302440476190475
peak,1,0.01,10000,250000,0.004,100,30,0.3,0.684686507936508,0.16857936507936508,0.3,1.79,2.09,18,30,179,70,0.8564593301435407,0.1941747572815534,0.5995243055555556,0.7668479166666666,0.11362083333333332,0.2261940476190476
peak,1,0.01,10000,250000,0.005,100,43,0.43,0.6790317460317459,0.21971428571428572,0.43,2.01,2.44,16,43,201,57,0.8237704918032787,0.25,0.6020180555555555,0.752664880952381,0.16568630952380953,0.2760261904761904
peak,1,0.01,10000,250000,0.006,100,58,0.58,0.5743492063492063,0.34299206349206346,0.58,1.94,2.52,15,58,194,42,0.7698412698412699,0.32954545454545453,0.4956555555555555,0.6502746031746032,0.2728761904761905,0.4096375
peak,1,0.01,10000,250000,0.007,100,61,0.61,0.6060317460317459,0.3584920634920635,0.61,1.89,2.5,11,61,189,39,0.756,0.3485714285714286,0.5314237103174603,0.6779502976190476,0.2916531746031746,0.42450019841269837
peak,1,0.01,10000,250000,0.008,100,66,0.66,0.6217380952380952,0.35285786435786437,0.66,2.21,2.87,11,66,221,34,0.7700348432055749,0.34108527131782945,0.5540574404761905,0.6914056547619047,0.29311727994227993,0.41478495670995663
peak,1,0.01,10000,250000,0.009,100,64,0.64,0.6213809523809524,0.3341190476190476,0.64,2.15,2.79,13,64,215,36,0.7706093189964157,0.33773087071240104,0.5535410714285713,0.6878839285714285,0.2736077380952381,0.39327738095238085
