frequency_bin	threshold_years	n_loci	mean_n_hom	mean_uncond	mean_hom	q95_hom	q99_hom	inflation
[0.1, 0.2)	10000.0	195	5.374358974358974	0.0054358974358974365	0.029401709401709403	0.2	0.2	0.02396581196581197
[0.1, 0.2)	20000.0	195	5.374358974358974	0.02528205128205128	0.14185592185592186	0.4	0.5060000000000002	0.11657387057387057
[0.1, 0.2)	30000.0	195	5.374358974358974	0.09061538461538463	0.5447191697191698	1.0	1.0	0.45410378510378513
[0.1, 0.2)	50000.0	195	5.374358974358974	0.28564102564102567	0.9507692307692308	1.0	1.0	0.6651282051282051
[0.1, 0.2)	100000.0	195	5.374358974358974	0.35312820512820514	0.9615384615384616	1.0	1.0	0.6084102564102565
[0.2, 0.35)	10000.0	1400	7.8464285714285715	0.004957142857142857	0.018169120561977704	0.14285714285714285	0.2	0.013211977704834846
[0.2, 0.35)	20000.0	1400	7.8464285714285715	0.022264285714285716	0.09479537456008044	0.3333333333333333	0.5	0.07253108884579473
[0.2, 0.35)	30000.0	1400	7.8464285714285715	0.07925714285714286	0.37548850501739156	1.0	1.0	0.2962313621602487
[0.2, 0.35)	50000.0	1400	7.8464285714285715	0.2622857142857143	0.9405989476793049	1.0	1.0	0.6783132333935906
[0.2, 0.35)	100000.0	1400	7.8464285714285715	0.31515714285714286	0.9696743672993673	1.0	1.0	0.6545172244422244
[0.35, 0.5)	10000.0	714	16.98739495798319	0.004481792717086835	0.011329466695701694	0.07142857142857142	0.0993809523809524	0.006847673978614859
[0.35, 0.5)	20000.0	714	16.98739495798319	0.021372549019607844	0.05616421676584272	0.1700980392156865	0.25	0.03479166774623488
[0.35, 0.5)	30000.0	714	16.98739495798319	0.07749299719887955	0.2194981990592516	0.4828947368421058	0.6153846153846154	0.14200520186037208
[0.35, 0.5)	50000.0	714	16.98739495798319	0.28663865546218487	0.9068623816394584	1.0	1.0	0.6202237261772736
[0.35, 0.5)	100000.0	714	16.98739495798319	0.32675070028011205	0.9613005183035005	1.0	1.0	0.6345498180233884
[0.5, 0.7)	10000.0	307	33.59609120521173	0.004169381107491856	0.0054875252692466354	0.03571428571428571	0.0497906976744186	0.001318144161754779
[0.5, 0.7)	20000.0	307	33.59609120521173	0.021302931596091205	0.038391692057012455	0.10992063492063486	0.15544642857142854	0.01708876046092125
[0.5, 0.7)	30000.0	307	33.59609120521173	0.07853420195439739	0.15489463229683284	0.3133603238866396	0.36943847072879327	0.07636043034243545
[0.5, 0.7)	50000.0	307	33.59609120521173	0.36140065146579803	0.8603707328048056	1.0	1.0	0.49897008133900755
[0.5, 0.7)	100000.0	307	33.59609120521173	0.4125732899022801	0.9516958463203421	1.0	1.0	0.539122556418062
[0.7, 1.01)	10000.0	125	63.28	0.0020800000000000003	0.002989757605644452	0.018518518518518517	0.020731292517006804	0.0009097576056444519
[0.7, 1.01)	20000.0	125	63.28	0.01824	0.023450564517460536	0.0625	0.07028571428571431	0.005210564517460537
[0.7, 1.01)	30000.0	125	63.28	0.07224	0.10000473757000414	0.18152011922503725	0.21470707070707076	0.02776473757000414
[0.7, 1.01)	50000.0	125	63.28	0.54112	0.8307078883601717	1.0	1.0	0.2895878883601717
[0.7, 1.01)	100000.0	125	63.28	0.65032	0.9789190041530211	1.0	1.0	0.3285990041530211
