# Gamma-SMC explicit haplotype pairs
# genotype_class	hom_ref
# n_pairs	17
2	3
22	23
42	43
44	45
46	47
54	55
64	65
72	73
102	103
110	111
122	123
130	131
138	139
152	153
160	161
166	167
194	195
