arm_id	threshold_years	n_selected	n_significant	power	median_p_value	median_observed	significance_level	p_value_floor
chb_ancient_eurasia	1000.0	100	3	0.03	1.0	0.0	0.05	0.009900990099009901
chb_ancient_eurasia	4500.0	100	4	0.04	0.7722772277227723	0.01	0.05	0.009900990099009901
chb_ancient_eurasia	10000.0	100	6	0.06	0.504950495049505	0.03	0.05	0.009900990099009901
chb_ancient_eurasia	20000.0	100	8	0.08	0.42574257425742573	0.06	0.05	0.009900990099009901
chb_ancient_eurasia	30000.0	100	6	0.06	0.44554455445544555	0.09	0.05	0.009900990099009901
chb_ancient_eurasia	40000.0	100	18	0.18	0.26732673267326734	0.14	0.05	0.009900990099009901
chb_ancient_eurasia	50000.0	100	67	0.67	0.034653465346534656	0.235	0.05	0.009900990099009901
