arm_id	threshold_years	n_null	false_positive_rate	median_p_value	significance_level
chb_ancient_eurasia	1000.0	100	0.01	1.0	0.05
chb_ancient_eurasia	4500.0	100	0.04	0.77	0.05
chb_ancient_eurasia	10000.0	100	0.01	0.625	0.05
chb_ancient_eurasia	20000.0	100	0.04	0.62	0.05
chb_ancient_eurasia	30000.0	100	0.05	0.56	0.05
chb_ancient_eurasia	40000.0	100	0.04	0.5700000000000001	0.05
chb_ancient_eurasia	50000.0	100	0.04	0.54	0.05
