key,source,s,T,af,mass,aa_frac_recent,aa_pair_fraction
onset50000/rep0031,decoded,0.005,20000,0.855,0.099,0.13544944588863045,0.7309
onset50000/rep0031,decoded,0.005,50000,0.855,0.383,0.5240114926802573,0.7309
onset50000/rep0032,decoded,0.005,20000,0.9225,0.1482,0.17404580152671756,0.8515
onset50000/rep0032,decoded,0.005,50000,0.9225,0.4767,0.5598355842630652,0.8515
onset50000/rep0033,decoded,0.005,20000,0.4875,0.0661,0.2849137931034483,0.232
onset50000/rep0033,decoded,0.005,50000,0.4875,0.1493,0.6435344827586207,0.232
onset50000/rep0034,decoded,0.005,20000,0.815,0.1665,0.25204359673024523,0.6606
onset50000/rep0034,decoded,0.005,50000,0.815,0.4583,0.6937632455343627,0.6606
onset50000/rep0035,decoded,0.005,20000,0.9475,0.1701,0.18916814946619218,0.8992
onset50000/rep0035,decoded,0.005,50000,0.9475,0.6481,0.7207517793594306,0.8992
onset50000/rep0036,decoded,0.005,20000,0.6125,0.0896,0.24327993483573174,0.3683
onset50000/rep0036,decoded,0.005,50000,0.6125,0.3098,0.8411620961172956,0.3683
onset50000/rep0037,decoded,0.005,20000,0.9325,0.3128,0.362877030162413,0.862
onset50000/rep0037,decoded,0.005,50000,0.9325,0.7554,0.8763341067285383,0.862
onset50000/rep0038,decoded,0.005,20000,0.82,0.1834,0.2707410687924417,0.6774
onset50000/rep0038,decoded,0.005,50000,0.82,0.424,0.6259226454089164,0.6774
onset50000/rep0039,decoded,0.005,20000,0.89,0.2802,0.3563525371995422,0.7863
onset50000/rep0039,decoded,0.005,50000,0.89,0.6096,0.7752766119801603,0.7863
onset50000/rep0040,decoded,0.005,20000,0.585,0.0968,0.284037558685446,0.3408
onset50000/rep0040,decoded,0.005,50000,0.585,0.2842,0.8339201877934272,0.3408
onset50000/rep0041,decoded,0.005,20000,0.9925,0.2795,0.2833248859604663,0.9865
onset50000/rep0041,decoded,0.005,50000,0.9925,0.8346,0.8460212873796249,0.9865
onset50000/rep0042,decoded,0.005,20000,0.37,0.0198,0.14296028880866427,0.1385
onset50000/rep0042,decoded,0.005,50000,0.37,0.0716,0.5169675090252708,0.1385
onset50000/rep0043,decoded,0.005,20000,0.8875,0.1989,0.2526035052070104,0.7874
onset50000/rep0043,decoded,0.005,50000,0.8875,0.6294,0.7993395986791973,0.7874
onset50000/rep0044,decoded,0.005,20000,0.82,0.3205,0.4755898501261315,0.6739
onset50000/rep0044,decoded,0.005,50000,0.82,0.6028,0.8944947321561062,0.6739
onset50000/rep0045,decoded,0.005,20000,0.84,0.095,0.13492401647493255,0.7041
onset50000/rep0045,decoded,0.005,50000,0.84,0.2105,0.2989632154523505,0.7041
onset50000/rep0046,decoded,0.005,20000,0.94,0.1712,0.19344632768361583,0.885
onset50000/rep0046,decoded,0.005,50000,0.94,0.6815,0.7700564971751412,0.885
onset50000/rep0047,decoded,0.005,20000,0.7775,0.087,0.14320987654320988,0.6075
onset50000/rep0047,decoded,0.005,50000,0.7775,0.336,0.5530864197530864,0.6075
onset50000/rep0048,decoded,0.005,20000,0.5375,0.0917,0.31414868105515587,0.2919
onset50000/rep0048,decoded,0.005,50000,0.5375,0.2144,0.7344981157930798,0.2919
onset50000/rep0049,decoded,0.005,20000,0.6875,0.1511,0.3153171953255426,0.4792
onset50000/rep0049,decoded,0.005,50000,0.6875,0.3328,0.6944908180300501,0.4792
onset50000/rep0050,decoded,0.005,20000,0.87,0.1637,0.21759936195666624,0.7523
onset50000/rep0050,decoded,0.005,50000,0.87,0.6774,0.9004386547919713,0.7523
onset50000/rep0051,decoded,0.005,20000,0.6725,0.076,0.16885136636303044,0.4501
onset50000/rep0051,decoded,0.005,50000,0.6725,0.233,0.5176627416129749,0.4501
onset50000/rep0052,decoded,0.005,20000,0.93,0.3398,0.3931960194399445,0.8642
onset50000/rep0052,decoded,0.005,50000,0.93,0.7845,0.9077759777829206,0.8642
onset50000/rep0053,decoded,0.005,20000,0.605,0.0501,0.13514971675209064,0.3707
onset50000/rep0053,decoded,0.005,50000,0.605,0.11,0.29673590504451036,0.3707
onset50000/rep0054,decoded,0.005,20000,0.475,0.1542,0.6686903729401561,0.2306
onset50000/rep0054,decoded,0.005,50000,0.475,0.2174,0.94275802254987,0.2306
onset50000/rep0055,decoded,0.005,20000,0.6975,0.1579,0.3270505385252693,0.4828
onset50000/rep0055,decoded,0.005,50000,0.6975,0.3937,0.8154515327257663,0.4828
onset50000/rep0056,decoded,0.005,20000,0.9925,0.1351,0.13721308145439773,0.9846
onset50000/rep0056,decoded,0.005,50000,0.9925,0.7166,0.7278082470038595,0.9846
onset50000/rep0057,decoded,0.005,20000,0.8825,0.1122,0.14373558800922367,0.7806
onset50000/rep0057,decoded,0.005,50000,0.8825,0.2866,0.3671534716884448,0.7806
onset50000/rep0058,decoded,0.005,20000,0.6875,0.2006,0.43102707348517405,0.4654
onset50000/rep0058,decoded,0.005,50000,0.6875,0.4127,0.8867640739149119,0.4654
onset50000/rep0059,decoded,0.005,20000,0.5475,0.1112,0.3674818241903503,0.3026
onset50000/rep0059,decoded,0.005,50000,0.5475,0.2458,0.8122934567085262,0.3026
onset50000/rep0060,decoded,0.005,20000,0.87,0.3423,0.44915365437606614,0.7621
onset50000/rep0060,decoded,0.005,50000,0.87,0.6949,0.9118225954599134,0.7621
onset50000/rep0061,decoded,0.005,20000,0.875,0.1321,0.17196042697214267,0.7682
onset50000/rep0061,decoded,0.005,50000,0.875,0.4379,0.5700338453527727,0.7682
onset50000/rep0062,decoded,0.005,20000,0.7475,0.0837,0.14954439878506343,0.5597
onset50000/rep0062,decoded,0.005,50000,0.7475,0.2982,0.532785420761122,0.5597
onset50000/rep0063,decoded,0.005,20000,0.9275,0.1243,0.14440055762081785,0.8608
onset50000/rep0063,decoded,0.005,50000,0.9275,0.5513,0.6404507434944238,0.8608
onset50000/rep0064,decoded,0.005,20000,0.73,0.1373,0.2574053243344582,0.5334
onset50000/rep0064,decoded,0.005,50000,0.73,0.408,0.7649043869516311,0.5334
onset50000/rep0065,decoded,0.005,20000,0.9725,0.1851,0.19552128446181471,0.9467
onset50000/rep0065,decoded,0.005,50000,0.9725,0.5422,0.5727263124537868,0.9467
onset50000/rep0066,decoded,0.005,20000,0.6175,0.072,0.19128586609989373,0.3764
onset50000/rep0066,decoded,0.005,50000,0.6175,0.2313,0.6145058448459086,0.3764
onset50000/rep0067,decoded,0.005,20000,0.4775,0.0951,0.4176548089591568,0.2277
onset50000/rep0067,decoded,0.005,50000,0.4775,0.1788,0.7852437417654808,0.2277
onset50000/rep0068,decoded,0.005,20000,0.7525,0.0765,0.13612099644128114,0.562
onset50000/rep0068,decoded,0.005,50000,0.7525,0.2703,0.4809608540925267,0.562
onset50000/rep0069,decoded,0.005,20000,0.5725,0.0706,0.21590214067278288,0.327
onset50000/rep0069,decoded,0.005,50000,0.5725,0.2034,0.6220183486238532,0.327
onset50000/rep0070,decoded,0.005,20000,0.98,0.3901,0.40605808264806914,0.9607
onset50000/rep0070,decoded,0.005,50000,0.98,0.8573,0.8923701467679817,0.9607
onset50000/rep0071,decoded,0.005,20000,0.95,0.3827,0.4234343881389688,0.9038
