key,fold,marker_present,marker_position,af,profile_sha256
neutral/rep0052,2,False,,0.0,44f7d582e0907529bf7d3de81668c47db92fa30d29413ef3dff335d40a1b41cf
neutral/rep0053,2,False,,0.0,2ab87a7ffab82dfc5dff9cca67dc8050755e3554d959d727b25daab85bd92612
neutral/rep0054,1,False,,0.0,d209ee4e9b396f750d9af29c9532e7bffdf64de6c57d7e2d413e415bedebe761
neutral/rep0055,4,False,,0.0,ff659b4267c9f8609fc3e3eaa2c1a1e8ec1667f96ea877438e18af0823fa144e
neutral/rep0056,1,False,,0.0,a25135a7fd66e04e86616311db1cfd89d9cd24fef7bdeb6907272edd1f114fdf
neutral/rep0057,1,False,,0.0,266224237daec130b608780637dd81097bdf6a92ba73771f18b9b79878d61556
neutral/rep0058,0,True,4997557.0,0.015,5666b9204ac37c24002e1e35c4fb305a14e718722dc751c1c0f135654ae1d690
neutral/rep0059,0,False,,0.0,987ed4dce7743d2067a07ac010f509c150ed35a1e920b1d14763d172497e43bd
neutral/rep0060,3,False,,0.0,de00562a6956ef96dc88e152f93623a0cbb15ab5343d7b08e8d86af412962abc
neutral/rep0061,1,False,,0.0,e739e975f3c961d991a10a3ce77f95f00bf8120b1d72fde1178acfc66f980f52
neutral/rep0062,2,False,,0.0,7b843e0d94ae6017116ef8bea1613b494591f7d0d5bf19eb4eb523e26550c86f
neutral/rep0063,3,False,,0.0,670360c921a3b2355dd4ec6c2b9434a8b28e9be897b337ed1609bd1c9c72f229
neutral/rep0064,4,False,,0.0,13741f24694bc585768cb28a42cf8c2fcf5387bf0dbd06096e118675ec0a523a
neutral/rep0065,0,False,,0.0,d99decc2a8cfe8b4dbd1a14f2eef768d71d1f756895934a32fc7ff561089bc10
neutral/rep0066,2,False,,0.0,9001c5a3cb723b699b4ad604033a3c5019761209ebfa577219e233534645c5b7
neutral/rep0067,2,False,,0.0,ba4272b6815e5c06e99314ae18cb943f86c9dd48ffd3f4e6a7d68e8fe65f83c0
neutral/rep0068,1,True,4997489.0,0.01,b0653bb27a6593f689508df5217128523ac74875b716afe7d9706afe0086bee4
neutral/rep0069,3,True,5000008.0,0.3525,5e36e7f49233c57121169deaaf81f54985c761f09baa93fe06f659b688e29f09
neutral/rep0070,3,False,,0.0,44fea388e8e032eaaa6586083468d54858cc8fb2c652f4780bbc6e18abf706b8
neutral/rep0071,1,False,,0.0,afa389bebffc0d4546c57137b98c3387cbdf21d685d36920085b4625c2adf60e
neutral/rep0072,4,False,,0.0,8d660e911fe83d7b34b934ea78032fcbd6f28d03c43473d953ff009840757ba9
neutral/rep0073,4,False,,0.0,2be678cbf904db163659c26a21f9136693fb8cccc21d140c4711184185862643
neutral/rep0074,1,False,,0.0,9d335d10f2dd647b1e933fd088dbd71652a065ccca077e048c2d783f7359d763
neutral/rep0075,3,True,4998586.0,0.1325,180bcf5ecc810c6247d38463c2d1af77b61fc084ff8c150cd148e8c70d7ab692
neutral/rep0076,0,False,,0.0,5a55b0698eb66d7c86c7b7c95f2b06855c536c61d487a134ccface5e4282362a
neutral/rep0077,4,False,,0.0,5d265aadd25bd09560cb595f3f782019220371fdd432f221fedadca2a33c0530
neutral/rep0078,3,False,,0.0,72dc1bfb31db6378b90df33bcdfbd8b4fd630896c977bbe7f5483772ad221965
neutral/rep0079,1,False,,0.0,56b2f5c9428ebcb191608d561718437c43352d4c073f4d177b30dce50316d57f
neutral/rep0080,4,False,,0.0,e03d161b33c27fef9932dd4eba120528ebcdfdc56c39545a5449747d19ba958f
neutral/rep0081,2,False,,0.0,fa52111506a3a73b1ab33c2b91a9e7c065cd9388442032df5d9b19bbfdd89c6a
neutral/rep0082,1,True,5003656.0,0.1375,969bc14b4f563f1c1fb7a53ffdce2abb233c6b22f12d1bf5a345bccca2429596
neutral/rep0083,0,False,,0.0,7c4e109b3acf8e66a73dfbb259b77da59844b2014fd21f79be3bc2dc420d3b58
neutral/rep0084,1,False,,0.0,ba028372891e3f8c69dc24b087f6b7eef0d4790c3bed32c89f1faab72106812e
neutral/rep0085,3,False,,0.0,d5f265d1a8a42270d84ff479a72e31e782024ef82dc294a640b7e49a1892f71c
neutral/rep0086,3,True,4997300.0,0.01,604960e110dbd3adf071b7528df0ab4ca16aa9ed4984293962b85c66439770f9
neutral/rep0087,0,True,4998691.0,0.05,61be979f734d4288ec6ca4031887ff79377322393b8ecd10566714e5b52b88d6
neutral/rep0088,0,False,,0.0,7dae3e55543e4cca0bedfa908c2c90c5ee5ff6bdea13040f569e31eb4a07f81e
neutral/rep0089,0,False,,0.0,e6e09aa6baf8a4e64718260bc1eecb6f6c48e4c033bd046f5fb278b0258c7718
neutral/rep0090,2,False,,0.0,2735f37251bc7cef123f30a898a77ffbdd9b72e33ebb6973f61c786ea4d73c01
neutral/rep0091,1,False,,0.0,c6cf43531ae3479f84b9ba20671a0aeb974d2e4827b109958fc8d290ab77508d
neutral/rep0092,3,False,,0.0,70597c52646d62b7c4020cdfa53024079b9de197a3de47221738abcc233b1cca
