key,maximum_af
neutral/rep0148,0.0825
neutral/rep0149,0.365
neutral/rep0150,0.375
neutral/rep0151,0.34
neutral/rep0152,0.3975
neutral/rep0153,0.16
neutral/rep0154,0.4375
neutral/rep0155,0.4025
neutral/rep0156,0.3375
neutral/rep0157,0.145
neutral/rep0158,0.455
neutral/rep0159,0.335
neutral/rep0160,0.225
neutral/rep0161,0.4125
neutral/rep0162,0.4175
neutral/rep0163,0.3775
neutral/rep0164,0.4725
neutral/rep0165,0.375
neutral/rep0166,0.3725
neutral/rep0167,0.75
neutral/rep0168,0.735
neutral/rep0169,0.2475
neutral/rep0170,0.2775
neutral/rep0171,0.2575
neutral/rep0172,0.375
neutral/rep0173,0.6225
neutral/rep0174,0.4625
neutral/rep0175,0.145
neutral/rep0176,0.4475
neutral/rep0177,0.3675
neutral/rep0178,0.2775
neutral/rep0179,0.7225
neutral/rep0180,0.3725
neutral/rep0181,0.46
neutral/rep0182,0.49
neutral/rep0183,0.235
neutral/rep0184,0.6475
neutral/rep0185,0.36
neutral/rep0186,0.575
neutral/rep0187,0.5075
neutral/rep0188,0.18
neutral/rep0189,0.0
neutral/rep0190,0.545
neutral/rep0191,0.24
neutral/rep0192,0.5525
neutral/rep0193,0.6475
neutral/rep0194,0.3675
neutral/rep0195,0.7725
neutral/rep0196,0.285
neutral/rep0197,0.265
neutral/rep0198,0.155
neutral/rep0199,0.595
neutral/rep0200,0.385
neutral/rep0201,0.3375
neutral/rep0202,0.4225
neutral/rep0203,0.1275
neutral/rep0204,0.5725
neutral/rep0205,0.4075
neutral/rep0206,0.4375
neutral/rep0207,0.2875
neutral/rep0208,0.42
neutral/rep0209,0.43
neutral/rep0210,0.655
neutral/rep0211,0.4075
neutral/rep0212,0.5175
neutral/rep0213,0.4475
neutral/rep0214,0.3775
neutral/rep0215,0.365
neutral/rep0216,0.2325
neutral/rep0217,0.3325
neutral/rep0218,0.4025
neutral/rep0219,0.4
neutral/rep0220,0.0
neutral/rep0221,0.4325
neutral/rep0222,0.41
neutral/rep0223,0.26
neutral/rep0224,0.3375
neutral/rep0225,0.3325
neutral/rep0226,0.4475
neutral/rep0227,0.5175
neutral/rep0228,0.4175
neutral/rep0229,0.465
neutral/rep0230,0.215
neutral/rep0231,0.23
neutral/rep0232,0.2225
neutral/rep0233,0.3175
neutral/rep0234,0.36
neutral/rep0235,0.4675
neutral/rep0236,0.2375
neutral/rep0237,0.495
neutral/rep0238,0.0
neutral/rep0239,0.425
neutral/rep0240,0.8725
neutral/rep0241,0.0575
neutral/rep0242,0.25
neutral/rep0243,0.6575
neutral/rep0244,0.525
neutral/rep0245,0.5125
neutral/rep0246,0.3625
neutral/rep0247,0.3625
neutral/rep0248,0.33
neutral/rep0249,0.2225
neutral/rep0250,0.395
neutral/rep0251,0.26
neutral/rep0252,0.3025
neutral/rep0253,0.62
neutral/rep0254,0.17
neutral/rep0255,0.395
neutral/rep0256,0.1475
neutral/rep0257,0.55
neutral/rep0258,0.35
neutral/rep0259,0.2675
neutral/rep0260,0.1225
neutral/rep0261,0.5925
neutral/rep0262,0.2975
neutral/rep0263,0.26
neutral/rep0264,0.335
neutral/rep0265,0.1825
neutral/rep0266,0.4875
neutral/rep0267,0.3125
neutral/rep0268,0.2875
neutral/rep0269,0.24
neutral/rep0270,0.575
neutral/rep0271,0.3125
