af_bin	threshold_years	n_selected	n_null_loci	selected_mean	null_mean	null_q95	auc	power_p01	power_p05	median_p
[0.1, 0.15)	10000.0	5	3383	0.08370351420504703	0.06488443055203696	0.12940591161837864	0.6597398758498374	0.0	0.2	0.3472222222222222
[0.1, 0.15)	30000.0	5	3383	0.946078431372549	0.651572322692245	1.0	0.8208690511380432	0.0	0.0	0.26034278959810875
[0.1, 0.15)	50000.0	5	3383	1.0	0.9393696929792542	1.0	0.5833579663020987	0.0	0.0	0.8333333333333334
[0.15, 0.25)	10000.0	36	4292	0.06892016998399451	0.04140052833458982	0.0755555555555555	0.8241689965827897	0.08333333333333333	0.25	0.08898206382483112
[0.15, 0.25)	30000.0	36	4292	0.7258047123291997	0.5303490036728294	1.0	0.7130999534016775	0.0	0.0	0.1868157465641742
[0.15, 0.25)	50000.0	36	4292	0.9404506112979804	0.9015663241629046	1.0	0.5562804183493838	0.0	0.0	0.7440018634987189
[0.25, 0.35)	10000.0	42	2042	0.03849926597128674	0.02686419717993069	0.04521693717056392	0.7359847954852852	0.14285714285714285	0.23809523809523808	0.21341164953499756
[0.25, 0.35)	30000.0	42	2042	0.6311734307645601	0.4107321332230314	0.8585749044422315	0.7732964880369386	0.0	0.23809523809523808	0.1593245227606461
[0.25, 0.35)	50000.0	42	2042	0.9352893010740247	0.8445031206116665	1.0	0.6159868942679912	0.0	0.0	0.6079295154185022
[0.35, 0.45)	10000.0	34	982	0.02532122941606367	0.019843985514764167	0.030494660624256226	0.7314903558164609	0.029411764705882353	0.20588235294117646	0.20854526958290948
[0.35, 0.45)	30000.0	34	982	0.5828196690009294	0.3440545671953945	0.6638345477878907	0.8192164849646579	0.0	0.29411764705882354	0.13173957273652087
[0.35, 0.45)	50000.0	34	982	0.913646070134185	0.7732183908270602	1.0	0.6614352461962381	0.0	0.0	0.4486266531027467
[0.45, 0.6)	10000.0	52	477	0.01989462218664472	0.015410381039860397	0.023100069450735217	0.7368569585550718	0.07692307692307693	0.2692307692307692	0.1631799163179916
[0.45, 0.6)	30000.0	52	477	0.42724256246610837	0.26945934839183866	0.5133851635892451	0.7925737784228352	0.038461538461538464	0.25	0.15690376569037656
[0.45, 0.6)	50000.0	52	477	0.8819627752703489	0.7458574502666563	1.0	0.6631188517980972	0.0	0.0	0.38702928870292885
[0.6, 0.71)	10000.0	39	103	0.014100547361821588	0.012192406094232628	0.01695970444906014	0.6519790888722928	0.05128205128205128	0.15384615384615385	0.3942307692307692
[0.6, 0.71)	30000.0	39	103	0.3425690860903363	0.22899288359135236	0.4068696591131249	0.7428429176001993	0.07692307692307693	0.23076923076923078	0.125
[0.6, 0.71)	50000.0	39	103	0.8203924685806971	0.7355403650295506	1.0	0.6111526014438637	0.0	0.0	0.3557692307692308
