attempt	accepted	focal_allele_outcome	population_allele_frequency	sample_allele_frequency	n_hom_ref_pairs	n_heterozygous_pairs	n_hom_alt_pairs	center_fraction_recent	center_n_pairs_recent	center_mean_tmrca_generations	ancestry_seconds	slim_seconds	used_for_rejection_decision
0	False	lost	0.0	0.0	2000	0	0	0.006	12	15988.415391341317	20.118342589000008	4.534748562999994	True
1	False	lost	0.0	0.0	2000	0	0	0.0085	17	12103.16872747732	26.48942953200003	6.155442969999967	True
2	False	lost	0.0	0.0	2000	0	0	0.0085	17	19356.96352098962	27.480807303999995	6.192093739999962	True
3	False	lost	0.0	0.0	2000	0	0	0.007	14	23308.62132712783	22.94232692700001	5.6167051919999835	True
4	False	lost	0.0	0.0	2000	0	0	0.008	16	13850.246277513646	22.87560758500001	6.020443868999962	True
5	False	lost	0.0	0.0	2000	0	0	0.0075	15	22787.644448989562	26.64069820399999	6.288884842000016	True
6	False	lost	0.0	0.0	2000	0	0	0.006	12	13333.254511460374	26.631412160000025	6.575503556000001	True
7	False	lost	0.0	0.0	2000	0	0	0.007	14	11353.822666062784	22.696682441000007	6.365475385999957	True
8	False	lost	0.0	0.0	2000	0	0	0.01	20	18157.05419140019	21.99832970899996	5.040942669999993	True
9	False	lost	0.0	0.0	2000	0	0	0.0055	11	12501.295016099157	21.013976987000035	6.126425344999973	True
10	False	lost	0.0	0.0	2000	0	0	0.007	14	46842.66390159017	22.925877783000033	6.31830028600001	True
11	False	lost	0.0	0.0	2000	0	0	0.006	12	15445.125667013075	25.404240972999958	6.585417641000049	True
12	False	lost	0.0	0.0	2000	0	0	0.004	8	12176.163716862355	24.933108672999992	6.3975991260000455	True
13	False	lost	0.0	0.0	2000	0	0	0.009	18	18642.86280745014	26.56361343100002	6.226785913000015	True
14	False	lost	0.0	0.0	2000	0	0	0.0065	13	15053.353948603859	25.132326254999953	6.771075555999971	True
15	False	lost	0.0	0.0	2000	0	0	0.0085	17	29184.53045426394	26.94417813000001	6.185027126999955	True
16	False	lost	0.0	0.0	2000	0	0	0.007	14	9520.833186054111	23.96859592200002	6.117346955000016	True
17	False	segregating	0.02755	0.027	1893	106	1	0.0045	9	13648.784950079642	24.110507801999972	6.720627366000031	True
18	False	lost	0.0	0.0	2000	0	0	0.006	12	19366.572624993685	25.31029224399998	6.606844059000025	True
19	False	lost	0.0	0.0	2000	0	0	0.006	12	21142.042636247654	26.715199736999978	6.389853031999962	True
20	False	lost	0.0	0.0	2000	0	0	0.006	12	18382.54368170457	23.21271139999999	6.685433745000012	True
21	False	lost	0.0	0.0	2000	0	0	0.006	12	13046.677733464972	19.457761259999984	3.3744418069999824	True
22	False	lost	0.0	0.0	2000	0	0	0.0045	9	26124.990507258757	24.32009838700003	7.2973799999999756	True
23	False	lost	0.0	0.0	2000	0	0	0.007	14	30496.825226438148	23.138817324	6.414808222000033	True
24	False	lost	0.0	0.0	2000	0	0	0.0045	9	10170.984333224776	22.51594094899997	6.055298618999984	True
25	False	lost	0.0	0.0	2000	0	0	0.0055	11	22741.648723765178	26.502000211999984	6.372890139000049	True
26	False	lost	0.0	0.0	2000	0	0	0.005	10	40098.281961480956	25.29745809399998	6.890490868000029	True
27	False	lost	0.0	0.0	2000	0	0	0.01	20	30480.229620373633	23.255362901000012	6.944850190000011	True
28	False	lost	0.0	0.0	2000	0	0	0.008	16	22984.61166539292	22.880246486000033	6.241821624000011	True
29	False	lost	0.0	0.0	2000	0	0	0.0075	15	18692.998166703113	26.166324997000004	6.522195649000025	True
30	False	lost	0.0	0.0	2000	0	0	0.0075	15	36235.7035631823	22.895722740999986	5.990534984000021	True
31	False	lost	0.0	0.0	2000	0	0	0.009	18	13312.528002498153	26.64483241199997	6.541855840000039	True
32	False	lost	0.0	0.0	2000	0	0	0.0065	13	10002.067473663528	27.19724278000001	6.039279497000052	True
33	False	lost	0.0	0.0	2000	0	0	0.0065	13	20957.06999958685	27.211787737999998	6.363416771999994	True
34	False	lost	0.0	0.0	2000	0	0	0.005	10	21333.298405087753	26.182336991	6.658445515999972	True
35	False	lost	0.0	0.0	2000	0	0	0.008	16	17073.39774976702	23.26636172900004	7.101508170999978	True
36	False	lost	0.0	0.0	2000	0	0	0.0065	13	45750.854893135016	24.984137250000003	7.011207436999996	True
37	False	lost	0.0	0.0	2000	0	0	0.0075	15	15295.926999229461	24.658193627000003	7.07124927000001	True
38	False	lost	0.0	0.0	2000	0	0	0.004	8	14310.662887541857	23.265009962000022	7.060276392999981	True
39	True	segregating	0.107825	0.10325	1603	381	16	0.0125	25	17749.18735080591	24.982318464000002	7.067783196999983	True
