position_0based	focal_carrier_copies	pair_class	n_pairs	mean_tmrca_generations	standard_error_generations	ci95_lower_generations	ci95_upper_generations	selected_attempt	population_focal_allele_frequency	sample_focal_allele_frequency
0.0	0	hom_ref	1603	14486.765370453515	381.33225696247564	13757.783646679618	15254.373545060185	39	0.107825	0.10325
0.0	2	hom_alt	16	10539.652564888003	3413.8867278429084	5284.347825950917	21021.378578265845	39	0.107825	0.10325
50000.0	0	hom_ref	1603	9708.29118119196	145.45241668554056	9427.145375569207	9997.821599639728	39	0.107825	0.10325
50000.0	2	hom_alt	16	9420.03839248919	1435.3617624852034	6807.761054761753	13034.700043401537	39	0.107825	0.10325
100000.0	0	hom_ref	1603	10130.861012603096	183.58734901226072	9777.088935288257	10497.433902462039	39	0.107825	0.10325
100000.0	2	hom_alt	16	9828.877416145724	1764.236775136283	6704.236675380982	14409.818140277628	39	0.107825	0.10325
150000.0	0	hom_ref	1603	14067.501990095381	216.0107565539658	13650.125523943092	14497.640471819777	39	0.107825	0.10325
150000.0	2	hom_alt	16	14179.879832571642	2074.4232293641408	10381.309086344638	19368.365819167648	39	0.107825	0.10325
200000.0	0	hom_ref	1603	14366.705292042057	341.7938792667967	13711.69665579056	15053.003733219544	39	0.107825	0.10325
200000.0	2	hom_alt	16	19806.56524171254	3652.4005510889433	13369.374952582697	29343.18381117965	39	0.107825	0.10325
250000.0	0	hom_ref	1603	17376.89106404492	533.1219837429486	16362.042656830554	18454.68499164611	39	0.107825	0.10325
250000.0	2	hom_alt	16	15406.561955200645	3814.7574304133486	9088.717314873033	26116.133119357757	39	0.107825	0.10325
300000.0	0	hom_ref	1603	12751.725509136733	254.23257304999262	12262.686464566576	13260.267554766664	39	0.107825	0.10325
300000.0	2	hom_alt	16	11137.93561476925	849.8461769241065	9466.15829148728	13104.958309254573	39	0.107825	0.10325
350000.0	0	hom_ref	1603	21660.3936467781	331.64896623802895	21019.55326274508	22320.771857932086	39	0.107825	0.10325
350000.0	2	hom_alt	16	21253.5916523003	3617.6159179565316	14786.692967960631	30548.76158594028	39	0.107825	0.10325
400000.0	0	hom_ref	1603	17795.531084467075	264.27438974753454	17284.647957248235	18321.514407554667	39	0.107825	0.10325
400000.0	2	hom_alt	16	17499.077405084125	2515.8556644661035	12880.416253275625	23773.89860760528	39	0.107825	0.10325
450000.0	0	hom_ref	1603	10030.375361125696	173.18192673248177	9696.37588623652	10375.879716862633	39	0.107825	0.10325
450000.0	2	hom_alt	16	9571.077302321206	1678.968584996193	6585.3311211498085	13910.541329167625	39	0.107825	0.10325
500000.0	0	hom_ref	1603	29005.33341694131	684.1528864476816	27693.973409936258	30378.78870520186	39	0.107825	0.10325
500000.0	2	hom_alt	16	34883.485063241395	7738.029587118341	21741.104449912276	55970.36401535229	39	0.107825	0.10325
550000.0	0	hom_ref	1603	26151.026001626666	460.47935465782615	25263.24010283265	27070.009949399722	39	0.107825	0.10325
550000.0	2	hom_alt	16	21543.459672876685	4451.924874996484	13868.378216550556	33466.10882900361	39	0.107825	0.10325
600000.0	0	hom_ref	1603	21462.390229613466	343.15190153185614	20799.760878629106	22146.129326010192	39	0.107825	0.10325
600000.0	2	hom_alt	16	20358.997673547507	3796.1366709377753	13682.164058649747	30294.095619287396	39	0.107825	0.10325
650000.0	0	hom_ref	1603	16011.90403876854	239.7148205057346	15548.552807934646	16489.0632661258	39	0.107825	0.10325
650000.0	2	hom_alt	16	12200.552676071766	2792.491961572613	7490.457914652507	19872.41465043429	39	0.107825	0.10325
700000.0	0	hom_ref	1603	39521.990258734615	761.154422857101	38056.87401002484	41043.51065723525	39	0.107825	0.10325
700000.0	2	hom_alt	16	27728.823927253663	7153.1728316537165	16000.578185694852	48053.7432751056	39	0.107825	0.10325
750000.0	0	hom_ref	1603	10314.979152039867	138.09027157791212	10047.647784715131	10589.423234846572	39	0.107825	0.10325
750000.0	2	hom_alt	16	13471.302331415114	1471.3868019809336	10673.42124465645	17002.606975269955	39	0.107825	0.10325
800000.0	0	hom_ref	1603	21398.033908354653	432.29434392773567	20566.692160484814	22262.979946907617	39	0.107825	0.10325
800000.0	2	hom_alt	16	29008.863331794768	4563.538728971579	20744.719657080128	40565.22169079013	39	0.107825	0.10325
850000.0	0	hom_ref	1603	10740.305207180809	118.19533254530862	10510.955661825334	10974.659170369176	39	0.107825	0.10325
850000.0	2	hom_alt	16	9606.556951785671	1252.0440514614363	7276.495035648029	12682.745747202014	39	0.107825	0.10325
900000.0	0	hom_ref	1603	14430.88835674202	224.37533701506607	13997.431452996823	14877.768072239161	39	0.107825	0.10325
900000.0	2	hom_alt	16	14069.497526223313	2205.370847517141	10073.49693855908	19650.64980391198	39	0.107825	0.10325
950000.0	0	hom_ref	1603	10927.55006198165	229.41766859550816	10486.699010379987	11386.934080869389	39	0.107825	0.10325
950000.0	2	hom_alt	16	9783.800214462393	2285.9029348199388	5946.082819830358	16098.454989102447	39	0.107825	0.10325
1000000.0	0	hom_ref	1603	24513.308214232846	457.9975615391257	23631.232178449518	25428.309242121017	39	0.107825	0.10325
1000000.0	2	hom_alt	16	24429.1909136884	4732.7921610971935	16164.898610097674	36918.59646584135	39	0.107825	0.10325
1050000.0	0	hom_ref	1603	24429.220974669264	568.83018660832	23338.586598351932	25570.82173396752	39	0.107825	0.10325
1050000.0	2	hom_alt	16	13738.34386146384	4935.014492311336	6388.7767988100495	29542.758809632476	39	0.107825	0.10325
1100000.0	0	hom_ref	1603	26492.322298752653	370.0172847078314	25776.404626836225	27228.123973903133	39	0.107825	0.10325
1100000.0	2	hom_alt	16	28747.06747199782	3443.1529808695764	22270.064901307185	37107.83475045411	39	0.107825	0.10325
1150000.0	0	hom_ref	1603	23213.56181866968	347.96573410012894	22540.98177177799	23906.210375622595	39	0.107825	0.10325
1150000.0	2	hom_alt	16	26687.954363736462	3035.17785008147	20943.032417289596	34008.77647178171	39	0.107825	0.10325
1200000.0	0	hom_ref	1603	15211.780504210215	381.2328837003874	14482.094398587331	15978.232135459766	39	0.107825	0.10325
1200000.0	2	hom_alt	16	16479.64181428874	4143.003204998139	9643.427788207122	28162.039504185996	39	0.107825	0.10325
1250000.0	0	hom_ref	1603	13523.620132401828	182.71218433849384	13169.946987602538	13886.79101424364	39	0.107825	0.10325
1250000.0	2	hom_alt	16	12174.159777328747	1636.8176615079547	9140.745384034142	16214.231997185181	39	0.107825	0.10325
1300000.0	0	hom_ref	1603	33723.79548401732	735.0252718122745	32312.46570973579	35196.768704195754	39	0.107825	0.10325
1300000.0	2	hom_alt	16	40629.53758204503	7225.5722435239595	27811.164476836613	59355.99444265253	39	0.107825	0.10325
1350000.0	0	hom_ref	1603	11224.243404307526	136.11265925676028	10960.415899209276	11494.421485249472	39	0.107825	0.10325
1350000.0	2	hom_alt	16	11574.306661359977	1203.9299430550868	9272.747645065314	14447.128275133633	39	0.107825	0.10325
1400000.0	0	hom_ref	1603	34377.394336035155	720.7752507832538	32992.3085295691	35820.628928590384	39	0.107825	0.10325
1400000.0	2	hom_alt	16	35363.527861276074	7067.423999558836	23097.15448100457	54144.29313462588	39	0.107825	0.10325
1450000.0	0	hom_ref	1603	19285.322957361765	288.90772388241976	18726.89070731207	19860.407548836924	39	0.107825	0.10325
1450000.0	2	hom_alt	16	20913.080349225216	2367.0571451403807	16430.274947123868	26618.96596987317	39	0.107825	0.10325
1500000.0	0	hom_ref	1603	18889.489850469115	219.4621716252358	18463.894432042096	19324.89530441452	39	0.107825	0.10325
1500000.0	2	hom_alt	16	18373.98888055532	2356.245317156802	13979.654030514639	24149.629643613018	39	0.107825	0.10325
1550000.0	0	hom_ref	1603	14288.434827844541	236.8517743526293	13831.334202506885	14760.641803634362	39	0.107825	0.10325
1550000.0	2	hom_alt	16	13297.995464106058	2577.7636527591185	8797.25965644533	20101.3372651591	39	0.107825	0.10325
1600000.0	0	hom_ref	1603	42686.64708095029	834.1164992597166	41081.529291161816	44354.47926242647	39	0.107825	0.10325
1600000.0	2	hom_alt	16	54354.56787939814	7979.8360003527805	39749.96279819825	74325.0770913933	39	0.107825	0.10325
1650000.0	0	hom_ref	1603	21902.50718248617	397.7596069325529	21136.055074488802	22696.75297439396	39	0.107825	0.10325
1650000.0	2	hom_alt	16	22859.497042734274	4137.006496955465	15543.254246426906	33619.510867031124	39	0.107825	0.10325
1700000.0	0	hom_ref	1603	11947.46817064473	143.90343372289166	11668.517448254384	12233.087564172361	39	0.107825	0.10325
1700000.0	2	hom_alt	16	9774.231450135561	1505.9846394456997	7038.126722376737	13574.009705889079	39	0.107825	0.10325
1750000.0	0	hom_ref	1603	18600.998977906485	242.26318135567686	18131.8311126391	19082.306735964186	39	0.107825	0.10325
1750000.0	2	hom_alt	16	18831.13255884035	2361.0432738464033	14415.021324350444	24600.14074690217	39	0.107825	0.10325
1800000.0	0	hom_ref	1603	25874.97088936559	497.8768123006865	24916.611145481973	26870.191721353603	39	0.107825	0.10325
1800000.0	2	hom_alt	16	25039.29400473064	5671.557691908755	15450.781946822402	40578.28570833473	39	0.107825	0.10325
1850000.0	0	hom_ref	1603	11759.29367716535	156.56146444309957	11456.181850807605	12070.425346475522	39	0.107825	0.10325
1850000.0	2	hom_alt	16	14357.19807056207	1368.1985957160882	11718.05218117801	17590.73378837174	39	0.107825	0.10325
1900000.0	0	hom_ref	1603	13333.776581629425	164.48301385814864	13015.02387478916	13660.335904046846	39	0.107825	0.10325
1900000.0	2	hom_alt	16	13728.78805298461	1500.623551539215	10875.549515375296	17330.583722441803	39	0.107825	0.10325
1950000.0	0	hom_ref	1603	13488.461952668644	206.91205230940008	13088.660025472276	13900.47609873836	39	0.107825	0.10325
1950000.0	2	hom_alt	16	13057.423114810204	2121.9327927699173	9234.806563978775	18462.357302016106	39	0.107825	0.10325
2000000.0	0	hom_ref	1603	11278.862867099182	135.62150233122352	11015.961108982809	11548.038915196874	39	0.107825	0.10325
2000000.0	2	hom_alt	16	11109.484912881077	1441.8965316414021	8424.625953170307	14649.9863276526	39	0.107825	0.10325
2050000.0	0	hom_ref	1603	16205.357731036132	281.6410268106934	15662.243778171593	16767.30504966703	39	0.107825	0.10325
2050000.0	2	hom_alt	16	16712.87821864244	3031.817047311891	11353.451021515106	24602.237489011328	39	0.107825	0.10325
2100000.0	0	hom_ref	1603	24032.703028804164	437.02919150811465	23190.60141603104	24905.383198532905	39	0.107825	0.10325
2100000.0	2	hom_alt	16	22281.545919186217	4546.08912994707	14423.813449763396	34419.97432079572	39	0.107825	0.10325
2150000.0	0	hom_ref	1603	8949.409198403113	137.75880779497976	8683.241129416887	9223.736138010569	39	0.107825	0.10325
2150000.0	2	hom_alt	16	8371.575502080927	1285.259109752276	6035.194015107964	11612.43138358126	39	0.107825	0.10325
2200000.0	0	hom_ref	1603	20704.248419505642	542.497349400026	19667.050509111614	21796.14591511848	39	0.107825	0.10325
2200000.0	2	hom_alt	16	10909.542362863178	3485.2594473352356	5521.81174214759	21554.178252519843	39	0.107825	0.10325
2250000.0	0	hom_ref	1603	19340.241815502184	423.75310894830517	18526.68009740775	20189.529452415794	39	0.107825	0.10325
2250000.0	2	hom_alt	16	13457.174712475295	3349.5318617731346	7916.808060290189	22874.818975394803	39	0.107825	0.10325
2300000.0	0	hom_ref	1603	9537.327289219846	125.75069319963875	9293.836246011962	9787.197602145108	39	0.107825	0.10325
2300000.0	2	hom_alt	16	10363.487103552969	1105.8748093193178	8255.20941429268	13010.192662049032	39	0.107825	0.10325
2350000.0	0	hom_ref	1603	8120.083108173926	127.88543888445466	7873.0775484905935	8374.83808301781	39	0.107825	0.10325
2350000.0	2	hom_alt	16	6966.723779183792	980.8438354241912	5160.6299507563635	9404.90612165117	39	0.107825	0.10325
2400000.0	0	hom_ref	1603	8932.669473422367	125.05424708893136	8690.719455716717	9181.35539042451	39	0.107825	0.10325
2400000.0	2	hom_alt	16	6284.587550459115	1342.6191334086943	3985.824408708177	9909.127103817033	39	0.107825	0.10325
