invocation_index	recorded_at_utc	simulation_contract_sha256	status	elapsed_seconds	declared_timeout_seconds	effective_timeout_seconds	completed_external_sample_panel_draws	interrupted_internal_conditioned_trajectories	error_type	core_source_sha256	orchestrator_source_sha256
1	2026-08-12T10:55:57.416396+00:00	0485c33b4f019b9cc0d317a8526ba5b48c163245f56f93677a2f79ff14d30be8	timed_out	300.14203859999543	300.0	300.0	2	1	SpecificationTimeout	legacy_unknown	legacy_unknown
2	2026-08-12T20:30:58.535810+00:00	0485c33b4f019b9cc0d317a8526ba5b48c163245f56f93677a2f79ff14d30be8	failed	87.5517	300.0	300.0	2	2	ExternalProcessInterruption	bef802f46dde46318c03c70629c581475c10437122132714a518c0cd3e29a766	74d4d9cc2b8d7f1b58c80376a79f7e6d9d2396ed96c175caaf659f93068c838c
3	2026-08-12T21:11:51.668052+00:00	0485c33b4f019b9cc0d317a8526ba5b48c163245f56f93677a2f79ff14d30be8	timed_out	300.28888949999964	300.0	300.0	2	3	SpecificationTimeout	bef802f46dde46318c03c70629c581475c10437122132714a518c0cd3e29a766	74d4d9cc2b8d7f1b58c80376a79f7e6d9d2396ed96c175caaf659f93068c838c
4	2026-08-12T21:46:26.947405+00:00	0485c33b4f019b9cc0d317a8526ba5b48c163245f56f93677a2f79ff14d30be8	timed_out	300.0526773999991	300.0	300.0	2	4	SpecificationTimeout	bef802f46dde46318c03c70629c581475c10437122132714a518c0cd3e29a766	74d4d9cc2b8d7f1b58c80376a79f7e6d9d2396ed96c175caaf659f93068c838c
5	2026-08-12T22:17:08.323163+00:00	0485c33b4f019b9cc0d317a8526ba5b48c163245f56f93677a2f79ff14d30be8	timed_out	300.432258599998	300.0	300.0	2	5	SpecificationTimeout	bef802f46dde46318c03c70629c581475c10437122132714a518c0cd3e29a766	74d4d9cc2b8d7f1b58c80376a79f7e6d9d2396ed96c175caaf659f93068c838c
6	2026-08-12T22:50:45.120492+00:00	0485c33b4f019b9cc0d317a8526ba5b48c163245f56f93677a2f79ff14d30be8	timed_out	300.64575239999976	300.0	300.0	2	6	SpecificationTimeout	bef802f46dde46318c03c70629c581475c10437122132714a518c0cd3e29a766	74d4d9cc2b8d7f1b58c80376a79f7e6d9d2396ed96c175caaf659f93068c838c
7	2026-08-12T23:00:53.023665+00:00	0485c33b4f019b9cc0d317a8526ba5b48c163245f56f93677a2f79ff14d30be8	timed_out	210.98050309999962	300.0	210.88668350000808	2	7	SpecificationTimeout	bef802f46dde46318c03c70629c581475c10437122132714a518c0cd3e29a766	74d4d9cc2b8d7f1b58c80376a79f7e6d9d2396ed96c175caaf659f93068c838c
