band_low	band_high	threshold_years	n	mean_hom	mean_unconditional	q95_hom	q95_unconditional	mean_n_hom	inflation	ratio
0.25	0.35	10000.0	92	0.024153020892151326	0.008695652173913044	0.1	0.02450000000000003	11.347826086956522	0.015457368718238282	2.7775974025974026
0.25	0.35	20000.0	92	0.1359285189448233	0.049891304347826085	0.3440476190476191	0.08450000000000003	11.347826086956522	0.08603721459699722	2.724493190179465
0.25	0.35	30000.0	92	0.30972967250141165	0.10652173913043479	0.6450000000000002	0.17900000000000008	11.347826086956522	0.20320793337097687	2.907666313278558
0.25	0.35	50000.0	92	0.6361610309979876	0.21684782608695652	1.0	0.3345000000000001	11.347826086956522	0.4193132049110311	2.933674929915532
0.25	0.35	100000.0	92	0.8534389523519958	0.3531521739130435	1.0	0.56	11.347826086956522	0.5002867784389524	2.4166323058289816
0.45	0.55	10000.0	250	0.014047877459091288	0.0076	0.060845588235294054	0.02	24.604	0.006447877459091288	1.848404928827801
0.45	0.55	20000.0	250	0.08854656981568117	0.044520000000000004	0.2	0.08	24.604	0.04402656981568116	1.9889166625265309
0.45	0.55	30000.0	250	0.2134425521372571	0.09908	0.4499999999999998	0.17	24.604	0.1143625521372571	2.1542445714297243
0.45	0.55	50000.0	250	0.46572533425377793	0.20236	1.0	0.32	24.604	0.26336533425377795	2.3014693331378626
0.45	0.55	100000.0	250	0.7496234185018296	0.3368	1.0	0.5054999999999998	24.604	0.4128234185018296	2.225722739019684
0.65	0.75	10000.0	250	0.010712439878100131	0.0078	0.0425531914893617	0.02	47.972	0.002912439878100132	1.3733897279615555
0.65	0.75	20000.0	250	0.06767946779017459	0.0456	0.12244897959183673	0.08	47.972	0.022079467790174584	1.4841988550476883
0.65	0.75	30000.0	250	0.15163163658910794	0.10064000000000001	0.28829787234042514	0.18	47.972	0.050991636589107936	1.5066736545022648
0.65	0.75	50000.0	250	0.32526171085532307	0.20356	0.6185631229235876	0.32	47.972	0.12170171085532308	1.5978665300418702
0.65	0.75	100000.0	250	0.5833305436547032	0.34552	1.0	0.56	47.972	0.23781054365470317	1.688268533383605
0.85	0.95	10000.0	250	0.008513891208641936	0.00784	0.02666666666666667	0.02	80.38	0.0006738912086419364	1.0859555113063695
0.85	0.95	20000.0	250	0.05192039017254508	0.045520000000000005	0.09703203056126945	0.08	80.38	0.006400390172545074	1.1406061109961572
0.85	0.95	30000.0	250	0.11870552408635329	0.10184	0.205009319664492	0.17	80.38	0.016865524086353292	1.165608052693964
0.85	0.95	50000.0	250	0.2503367044289019	0.20959999999999998	0.40237594617325484	0.33549999999999985	80.38	0.0407367044289019	1.1943545058630816
0.85	0.95	100000.0	250	0.43840693784334506	0.36184	0.7708373904576435	0.62	80.38	0.07656693784334506	1.2116044048290544
