haplotypes,source,mode,cutoff_years,n,focal_mean,focal_sd,region_mean,region_mean_sd,average_position_sd,profile_roughness
200,decoded,neutral,5000,1000,0.004707,0.0010805177085631307,0.004655581599999998,0.0003003893387526866,0.001066802214832271,0.0001496937937937938
200,decoded,neutral,10000,1000,0.0213191,0.006464888241104401,0.020986667900000006,0.0011550041355218876,0.006069441133076893,0.0009074144144144145
200,decoded,neutral,20000,1000,0.0775536,0.03054235063354198,0.07512487430000003,0.004397387295046019,0.026842680685483334,0.005059875075075075
200,decoded,neutral,30000,1000,0.1333299,0.05492660090955454,0.12930996779999998,0.007453107767364907,0.04910723149534748,0.011095345445445447
200,decoded,neutral,40000,1000,0.1802963,0.07370056288305592,0.17526389209999998,0.009728720037871522,0.06791284557884882,0.017473131731731734
200,decoded,neutral,50000,1000,0.2189522,0.08823147538383572,0.2133832126,0.011399076934136887,0.08320554748664576,0.02363922992992993
200,decoded,selected,5000,100,0.0057610000000000005,0.00175435360336979,0.004770114000000001,0.00031587356792414786,0.0010997612206016618,0.00015392992992992993
200,decoded,selected,10000,100,0.037922000000000004,0.017339856464867933,0.02181257899999999,0.001306704867429768,0.006674924871112608,0.0009514814814814814
200,decoded,selected,20000,100,0.172113,0.08419895828790092,0.07723060899999999,0.005025399963198969,0.027844925010124717,0.0052283903903903904
200,decoded,selected,30000,100,0.306867,0.13660054280250644,0.13194507300000002,0.008854602758217292,0.04985349325358801,0.011326317317317317
200,decoded,selected,40000,100,0.40302699999999997,0.16859092613408194,0.177762114,0.011671090075234895,0.06834484315411549,0.017593817817817818
200,decoded,selected,50000,100,0.46969700000000003,0.1845405183698204,0.21540003700000002,0.01370147643331395,0.08323047267507006,0.023582562562562564
200,truth,neutral,5000,1000,0.0026663,0.0005725925009744471,0.00266802,0.00023262595404316882,0.0005881479547256305,7.056716716716717e-05
200,truth,neutral,10000,1000,0.0073925,0.0012454737873415702,0.007428014000000002,0.0003455492374459818,0.0012412042768810553,0.0002661407407407407
200,truth,neutral,20000,1000,0.04543029999999999,0.008794633448159592,0.04561111590000001,0.0022472656455565926,0.00904937135588456,0.0020425078078078075
200,truth,neutral,30000,1000,0.10154899999999999,0.02640198029624982,0.10070885669999992,0.00520906725875577,0.02561145493458425,0.006189121721721722
200,truth,neutral,40000,1000,0.15924899999999997,0.04949379268670481,0.1558229352,0.008125264150789256,0.04628254043052781,0.012143005005005003
200,truth,neutral,50000,1000,0.20716090000000004,0.06862636985758339,0.2035205393,0.010371574731025504,0.06534303108207942,0.018886777777777777
200,truth,selected,5000,100,0.0025919999999999997,0.0005411697020941273,0.0026285600000000007,0.00024418500644744214,0.0005884980106655107,6.948348348348349e-05
200,truth,selected,10000,100,0.007975000000000001,0.0012160023092747877,0.0075509600000000015,0.0003153212689088109,0.0012559479849139446,0.0002699009009009009
200,truth,selected,20000,100,0.063609,0.025673147922341436,0.046609744,0.0026943792756166916,0.00959306209847324,0.002087940940940941
200,truth,selected,30000,100,0.182126,0.08162777629352806,0.102869356,0.005887380502676632,0.02728619799056792,0.006349906906906906
200,truth,selected,40000,100,0.346499,0.15950314932769996,0.159003319,0.009659914007540115,0.04828658928207456,0.012421965965965967
200,truth,selected,50000,100,0.5953930000000001,0.2251107073343373,0.20930468999999996,0.011781328514619818,0.0682388586973475,0.01962374774774775
400,decoded,neutral,5000,1000,0.004787499999999999,0.0009681999592858703,0.0046878195,0.0002628400188808304,0.0009679853519463283,0.00014253003003003
400,decoded,neutral,10000,1000,0.0212205,0.005708442525423731,0.021075388799999997,0.0011055583951468323,0.005743848876027726,0.0008382287287287287
400,decoded,neutral,20000,1000,0.0748899,0.025565741826615262,0.07529973630000002,0.004433000568995794,0.026260615012557546,0.004836563663663663
400,decoded,neutral,30000,1000,0.1287507,0.046765564013358026,0.12947872939999996,0.007461344276892331,0.04834990220629117,0.010757379579579578
400,decoded,neutral,40000,1000,0.17434789999999997,0.06509357532920695,0.17536419500000006,0.009678048708917888,0.06703370765223081,0.017055965365365366
400,decoded,neutral,50000,1000,0.2121206,0.08026721897563215,0.21335991840000004,0.011311218894948098,0.08219126820960798,0.023134492892892895
400,decoded,selected,5000,100,0.005852,0.0016686339904063428,0.004758718,0.00027561355223895966,0.0010025516140688775,0.00014638738738738738
400,decoded,selected,10000,100,0.037319000000000005,0.017670998296872784,0.021707531,0.0012061885140613531,0.006025123609419718,0.0008703513513513514
400,decoded,selected,20000,100,0.16390500000000002,0.08262057411853763,0.07700955200000001,0.004956158110518733,0.026876007172607706,0.0049886606606606605
400,decoded,selected,30000,100,0.28850800000000004,0.1342630169224992,0.131592964,0.008505294238255192,0.04886275530607632,0.010930049049049047
