haplotypes,source,method,cutoff_years,fold,selected_target,threshold,fit_neutral_n,calibration_neutral_n,training_selected_n
200,truth,maximum_standardized_frac_recent,20000,1,0.7,3.819403524845344,400,400,80
200,truth,maximum_standardized_frac_recent,30000,1,0.7,4.463236582033997,400,400,80
200,truth,maximum_standardized_frac_recent,40000,1,0.7,4.691417352625473,400,400,80
200,truth,maximum_standardized_frac_recent,50000,1,0.7,5.9846504049263505,400,400,80
200,truth,maximum_frac_recent,5000,2,0.7,0.0039,400,400,80
200,truth,maximum_frac_recent,10000,2,0.7,0.0112,400,400,80
200,truth,maximum_frac_recent,20000,2,0.7,0.0772,400,400,80
200,truth,maximum_frac_recent,30000,2,0.7,0.2122,400,400,80
200,truth,maximum_frac_recent,40000,2,0.7,0.3684,400,400,80
200,truth,maximum_frac_recent,50000,2,0.7,0.5922,400,400,80
200,truth,maximum_standardized_frac_recent,5000,2,0.7,2.1663436705363575,400,400,80
200,truth,maximum_standardized_frac_recent,10000,2,0.7,3.075488059159361,400,400,80
200,truth,maximum_standardized_frac_recent,20000,2,0.7,3.7246172189767845,400,400,80
200,truth,maximum_standardized_frac_recent,30000,2,0.7,4.180704916563036,400,400,80
200,truth,maximum_standardized_frac_recent,40000,2,0.7,4.591174878519748,400,400,80
200,truth,maximum_standardized_frac_recent,50000,2,0.7,5.915832529784522,400,400,80
200,truth,maximum_frac_recent,5000,3,0.7,0.0039,400,400,80
200,truth,maximum_frac_recent,10000,3,0.7,0.0112,400,400,80
200,truth,maximum_frac_recent,20000,3,0.7,0.0765,400,400,80
200,truth,maximum_frac_recent,30000,3,0.7,0.2138,400,400,80
200,truth,maximum_frac_recent,40000,3,0.7,0.3684,400,400,80
200,truth,maximum_frac_recent,50000,3,0.7,0.6045,400,400,80
200,truth,maximum_standardized_frac_recent,5000,3,0.7,2.074083671541623,400,400,80
200,truth,maximum_standardized_frac_recent,10000,3,0.7,3.0599662784966593,400,400,80
200,truth,maximum_standardized_frac_recent,20000,3,0.7,3.6074720583232898,400,400,80
200,truth,maximum_standardized_frac_recent,30000,3,0.7,4.502354493032393,400,400,80
200,truth,maximum_standardized_frac_recent,40000,3,0.7,4.522082494045709,400,400,80
200,truth,maximum_standardized_frac_recent,50000,3,0.7,5.856368630583555,400,400,80
200,truth,maximum_frac_recent,5000,4,0.7,0.0039,400,400,80
200,truth,maximum_frac_recent,10000,4,0.7,0.0112,400,400,80
200,truth,maximum_frac_recent,20000,4,0.7,0.0772,400,400,80
200,truth,maximum_frac_recent,30000,4,0.7,0.2121,400,400,80
200,truth,maximum_frac_recent,40000,4,0.7,0.373,400,400,80
200,truth,maximum_frac_recent,50000,4,0.7,0.5878,400,400,80
200,truth,maximum_standardized_frac_recent,5000,4,0.7,2.1704551567886523,400,400,80
200,truth,maximum_standardized_frac_recent,10000,4,0.7,3.0649213070704158,400,400,80
200,truth,maximum_standardized_frac_recent,20000,4,0.7,3.592617326483828,400,400,80
200,truth,maximum_standardized_frac_recent,30000,4,0.7,4.3785347002961865,400,400,80
200,truth,maximum_standardized_frac_recent,40000,4,0.7,4.700463068033237,400,400,80
200,truth,maximum_standardized_frac_recent,50000,4,0.7,5.754353389820239,400,400,80
400,decoded,maximum_frac_recent,5000,0,0.7,0.0075,400,400,80
400,decoded,maximum_frac_recent,10000,0,0.7,0.0431,400,400,80
400,decoded,maximum_frac_recent,20000,0,0.7,0.1907,400,400,80
400,decoded,maximum_frac_recent,30000,0,0.7,0.3583,400,400,80
400,decoded,maximum_frac_recent,40000,0,0.7,0.4974,400,400,80
400,decoded,maximum_frac_recent,50000,0,0.7,0.6134,400,400,80
400,decoded,maximum_standardized_frac_recent,5000,0,0.7,2.872000621683014,400,400,80
400,decoded,maximum_standardized_frac_recent,10000,0,0.7,3.863226435745843,400,400,80
400,decoded,maximum_standardized_frac_recent,20000,0,0.7,4.559392298951537,400,400,80
400,decoded,maximum_standardized_frac_recent,30000,0,0.7,4.869711636586853,400,400,80
400,decoded,maximum_standardized_frac_recent,40000,0,0.7,5.093566553342257,400,400,80
400,decoded,maximum_standardized_frac_recent,50000,0,0.7,5.031011238219081,400,400,80
400,decoded,maximum_frac_recent,5000,1,0.7,0.0075,400,400,80
400,decoded,maximum_frac_recent,10000,1,0.7,0.0454,400,400,80
400,decoded,maximum_frac_recent,20000,1,0.7,0.1913,400,400,80
400,decoded,maximum_frac_recent,30000,1,0.7,0.3664,400,400,80
400,decoded,maximum_frac_recent,40000,1,0.7,0.5061,400,400,80
400,decoded,maximum_frac_recent,50000,1,0.7,0.6073,400,400,80
400,decoded,maximum_standardized_frac_recent,5000,1,0.7,2.8426626100352084,400,400,80
400,decoded,maximum_standardized_frac_recent,10000,1,0.7,4.165413902452497,400,400,80
400,decoded,maximum_standardized_frac_recent,20000,1,0.7,4.6141461664660826,400,400,80
400,decoded,maximum_standardized_frac_recent,30000,1,0.7,4.881176052418897,400,400,80
400,decoded,maximum_standardized_frac_recent,40000,1,0.7,4.960198765744153,400,400,80
