source,cutoff_years,alpha,stride_bp,max_gap_strides,min_significant_strides,200_selected_n,200_selected_called,200_selected_fraction,200_neutral_n,200_neutral_called,200_neutral_fraction,400_selected_n,400_selected_called,400_selected_fraction,400_neutral_n,400_neutral_called,400_neutral_fraction
decoded,10000,0.01,50000,0,10,100,2,0.02,1000,1,0.001,100,1,0.01,1000,1,0.001
decoded,10000,0.01,50000,0,20,100,0,0.0,1000,0,0.0,100,0,0.0,1000,0,0.0
decoded,10000,0.01,50000,0,3,100,43,0.43,1000,218,0.218,100,44,0.44,1000,224,0.224
decoded,10000,0.01,50000,0,5,100,18,0.18,1000,28,0.028,100,18,0.18,1000,42,0.042
decoded,10000,0.01,50000,1,1,100,80,0.8,1000,597,0.597,100,72,0.72,1000,609,0.609
decoded,10000,0.01,50000,1,10,100,3,0.03,1000,2,0.002,100,1,0.01,1000,1,0.001
decoded,10000,0.01,50000,1,20,100,0,0.0,1000,0,0.0,100,0,0.0,1000,0,0.0
decoded,10000,0.01,50000,1,3,100,43,0.43,1000,227,0.227,100,44,0.44,1000,229,0.229
decoded,10000,0.01,50000,1,5,100,20,0.2,1000,33,0.033,100,19,0.19,1000,52,0.052
decoded,10000,0.05,10000,0,1,100,100,1.0,1000,994,0.994,100,100,1.0,1000,991,0.991
decoded,10000,0.05,10000,0,10,100,94,0.94,1000,857,0.857,100,93,0.93,1000,857,0.857
decoded,10000,0.05,10000,0,20,100,47,0.47,1000,347,0.347,100,56,0.56,1000,341,0.341
decoded,10000,0.05,10000,0,3,100,99,0.99,1000,981,0.981,100,99,0.99,1000,973,0.973
decoded,10000,0.05,10000,0,5,100,98,0.98,1000,964,0.964,100,98,0.98,1000,951,0.951
decoded,10000,0.05,10000,1,1,100,100,1.0,1000,994,0.994,100,100,1.0,1000,991,0.991
decoded,10000,0.05,10000,1,10,100,94,0.94,1000,868,0.868,100,93,0.93,1000,860,0.86
decoded,10000,0.05,10000,1,20,100,50,0.5,1000,374,0.374,100,58,0.58,1000,366,0.366
decoded,10000,0.05,10000,1,3,100,100,1.0,1000,984,0.984,100,99,0.99,1000,975,0.975
decoded,10000,0.05,10000,1,5,100,98,0.98,1000,964,0.964,100,98,0.98,1000,953,0.953
decoded,10000,0.05,20000,0,1,100,100,1.0,1000,992,0.992,100,100,1.0,1000,985,0.985
decoded,10000,0.05,20000,0,10,100,48,0.48,1000,384,0.384,100,58,0.58,1000,378,0.378
decoded,10000,0.05,20000,0,20,100,12,0.12,1000,26,0.026,100,11,0.11,1000,34,0.034
decoded,10000,0.05,20000,0,3,100,98,0.98,1000,960,0.96,100,98,0.98,1000,950,0.95
decoded,10000,0.05,20000,0,5,100,95,0.95,1000,876,0.876,100,93,0.93,1000,882,0.882
decoded,10000,0.05,20000,1,1,100,100,1.0,1000,992,0.992,100,100,1.0,1000,985,0.985
decoded,10000,0.05,20000,1,10,100,55,0.55,1000,422,0.422,100,62,0.62,1000,422,0.422
decoded,10000,0.05,20000,1,20,100,13,0.13,1000,39,0.039,100,13,0.13,1000,44,0.044
decoded,10000,0.05,20000,1,3,100,99,0.99,1000,962,0.962,100,98,0.98,1000,953,0.953
decoded,10000,0.05,20000,1,5,100,95,0.95,1000,887,0.887,100,94,0.94,1000,887,0.887
decoded,10000,0.05,50000,0,1,100,100,1.0,1000,986,0.986,100,99,0.99,1000,977,0.977
decoded,10000,0.05,50000,0,10,100,6,0.06,1000,14,0.014,100,7,0.07,1000,17,0.017
decoded,10000,0.05,50000,0,20,100,0,0.0,1000,0,0.0,100,0,0.0,1000,0,0.0
decoded,10000,0.05,50000,0,3,100,88,0.88,1000,758,0.758,100,86,0.86,1000,758,0.758
decoded,10000,0.05,50000,0,5,100,46,0.46,1000,293,0.293,100,56,0.56,1000,293,0.293
decoded,10000,0.05,50000,1,1,100,100,1.0,1000,986,0.986,100,99,0.99,1000,977,0.977
decoded,10000,0.05,50000,1,10,100,9,0.09,1000,26,0.026,100,11,0.11,1000,34,0.034
decoded,10000,0.05,50000,1,20,100,0,0.0,1000,0,0.0,100,0,0.0,1000,0,0.0
decoded,10000,0.05,50000,1,3,100,88,0.88,1000,774,0.774,100,86,0.86,1000,771,0.771
decoded,10000,0.05,50000,1,5,100,51,0.51,1000,339,0.339,100,56,0.56,1000,336,0.336
decoded,20000,0.001,10000,0,1,100,35,0.35,1000,243,0.243,100,41,0.41,1000,223,0.223
decoded,20000,0.001,10000,0,10,100,2,0.02,1000,9,0.009,100,9,0.09,1000,10,0.01
decoded,20000,0.001,10000,0,20,100,0,0.0,1000,0,0.0,100,0,0.0,1000,0,0.0
decoded,20000,0.001,10000,0,3,100,20,0.2,1000,130,0.13,100,33,0.33,1000,128,0.128
decoded,20000,0.001,10000,0,5,100,16,0.16,1000,72,0.072,100,21,0.21,1000,77,0.077
decoded,20000,0.001,10000,1,1,100,35,0.35,1000,243,0.243,100,41,0.41,1000,223,0.223
decoded,20000,0.001,10000,1,10,100,2,0.02,1000,10,0.01,100,9,0.09,1000,11,0.011
decoded,20000,0.001,10000,1,20,100,0,0.0,1000,0,0.0,100,0,0.0,1000,0,0.0
decoded,20000,0.001,10000,1,3,100,20,0.2,1000,133,0.133,100,33,0.33,1000,132,0.132
decoded,20000,0.001,10000,1,5,100,16,0.16,1000,72,0.072,100,21,0.21,1000,80,0.08
decoded,20000,0.001,20000,0,1,100,30,0.3,1000,211,0.211,100,41,0.41,1000,195,0.195
decoded,20000,0.001,20000,0,10,100,0,0.0,1000,0,0.0,100,2,0.02,1000,0,0.0
decoded,20000,0.001,20000,0,20,100,0,0.0,1000,0,0.0,100,0,0.0,1000,0,0.0
decoded,20000,0.001,20000,0,3,100,16,0.16,1000,65,0.065,100,20,0.2,1000,70,0.07
decoded,20000,0.001,20000,0,5,100,3,0.03,1000,11,0.011,100,11,0.11,1000,13,0.013
decoded,20000,0.001,20000,1,1,100,30,0.3,1000,211,0.211,100,41,0.41,1000,195,0.195
decoded,20000,0.001,20000,1,10,100,0,0.0,1000,0,0.0,100,2,0.02,1000,1,0.001
decoded,20000,0.001,20000,1,20,100,0,0.0,1000,0,0.0,100,0,0.0,1000,0,0.0
decoded,20000,0.001,20000,1,3,100,16,0.16,1000,69,0.069,100,21,0.21,1000,75,0.075
decoded,20000,0.001,20000,1,5,100,3,0.03,1000,11,0.011,100,11,0.11,1000,14,0.014
decoded,20000,0.001,50000,0,1,100,25,0.25,1000,152,0.152,100,27,0.27,1000,143,0.143
decoded,20000,0.001,50000,0,10,100,0,0.0,1000,0,0.0,100,0,0.0,1000,0,0.0
decoded,20000,0.001,50000,0,20,100,0,0.0,1000,0,0.0,100,0,0.0,1000,0,0.0
decoded,20000,0.001,50000,0,3,100,2,0.02,1000,3,0.003,100,4,0.04,1000,8,0.008
decoded,20000,0.001,50000,0,5,100,0,0.0,1000,0,0.0,100,0,0.0,1000,0,0.0
decoded,20000,0.001,50000,1,1,100,25,0.25,1000,152,0.152,100,27,0.27,1000,143,0.143
decoded,20000,0.001,50000,1,10,100,0,0.0,1000,0,0.0,100,0,0.0,1000,0,0.0
decoded,20000,0.001,50000,1,20,100,0,0.0,1000,0,0.0,100,0,0.0,1000,0,0.0
decoded,20000,0.001,50000,1,3,100,2,0.02,1000,3,0.003,100,6,0.06,1000,9,0.009
decoded,20000,0.001,50000,1,5,100,0,0.0,1000,0,0.0,100,0,0.0,1000,0,0.0
decoded,20000,0.01,10000,0,1,100,87,0.87,1000,796,0.796,100,86,0.86,1000,821,0.821
decoded,20000,0.01,10000,0,10,100,30,0.3,1000,196,0.196,100,36,0.36,1000,201,0.201
decoded,20000,0.01,10000,0,20,100,8,0.08,1000,19,0.019,100,12,0.12,1000,19,0.019
decoded,20000,0.01,10000,0,3,100,80,0.8,1000,692,0.692,100,77,0.77,1000,702,0.702
decoded,20000,0.01,10000,0,5,100,74,0.74,1000,573,0.573,100,69,0.69,1000,560,0.56
decoded,20000,0.01,10000,1,1,100,87,0.87,1000,796,0.796,100,86,0.86,1000,821,0.821
decoded,20000,0.01,10000,1,10,100,31,0.31,1000,205,0.205,100,36,0.36,1000,219,0.219
decoded,20000,0.01,10000,1,20,100,8,0.08,1000,22,0.022,100,12,0.12,1000,29,0.029
decoded,20000,0.01,10000,1,3,100,80,0.8,1000,699,0.699,100,77,0.77,1000,713,0.713
decoded,20000,0.01,10000,1,5,100,74,0.74,1000,580,0.58,100,69,0.69,1000,568,0.568
decoded,20000,0.01,20000,0,1,100,85,0.85,1000,776,0.776,100,82,0.82,1000,790,0.79
decoded,20000,0.01,20000,0,10,100,8,0.08,1000,22,0.022,100,12,0.12,1000,29,0.029
decoded,20000,0.01,20000,0,20,100,0,0.0,1000,0,0.0,100,2,0.02,1000,1,0.001
decoded,20000,0.01,20000,0,3,100,70,0.7,1000,535,0.535,100,67,0.67,1000,537,0.537
decoded,20000,0.01,20000,0,5,100,31,0.31,1000,235,0.235,100,42,0.42,1000,239,0.239
decoded,20000,0.01,20000,1,1,100,85,0.85,1000,776,0.776,100,82,0.82,1000,790,0.79
