source,cutoff_years,alpha,stride_bp,max_gap_strides,min_significant_strides,200_selected_n,200_selected_called,200_selected_fraction,200_neutral_n,200_neutral_called,200_neutral_fraction,400_selected_n,400_selected_called,400_selected_fraction,400_neutral_n,400_neutral_called,400_neutral_fraction
decoded,30000,0.05,50000,0,10,100,2,0.02,1000,4,0.004,100,2,0.02,1000,2,0.002
decoded,30000,0.05,50000,0,20,100,0,0.0,1000,0,0.0,100,0,0.0,1000,0,0.0
decoded,30000,0.05,50000,0,3,100,71,0.71,1000,511,0.511,100,66,0.66,1000,545,0.545
decoded,30000,0.05,50000,0,5,100,24,0.24,1000,119,0.119,100,24,0.24,1000,104,0.104
decoded,30000,0.05,50000,1,1,100,100,1.0,1000,998,0.998,100,100,1.0,1000,1000,1.0
decoded,30000,0.05,50000,1,10,100,2,0.02,1000,7,0.007,100,3,0.03,1000,6,0.006
decoded,30000,0.05,50000,1,20,100,0,0.0,1000,0,0.0,100,0,0.0,1000,0,0.0
decoded,30000,0.05,50000,1,3,100,75,0.75,1000,583,0.583,100,67,0.67,1000,605,0.605
decoded,30000,0.05,50000,1,5,100,29,0.29,1000,166,0.166,100,33,0.33,1000,163,0.163
decoded,40000,0.001,10000,0,1,100,38,0.38,1000,308,0.308,100,54,0.54,1000,293,0.293
decoded,40000,0.001,10000,0,10,100,1,0.01,1000,1,0.001,100,6,0.06,1000,3,0.003
decoded,40000,0.001,10000,0,20,100,0,0.0,1000,0,0.0,100,0,0.0,1000,0,0.0
decoded,40000,0.001,10000,0,3,100,22,0.22,1000,137,0.137,100,40,0.4,1000,132,0.132
decoded,40000,0.001,10000,0,5,100,8,0.08,1000,35,0.035,100,21,0.21,1000,42,0.042
decoded,40000,0.001,10000,1,1,100,38,0.38,1000,308,0.308,100,54,0.54,1000,293,0.293
decoded,40000,0.001,10000,1,10,100,1,0.01,1000,3,0.003,100,6,0.06,1000,4,0.004
decoded,40000,0.001,10000,1,20,100,0,0.0,1000,0,0.0,100,0,0.0,1000,1,0.001
decoded,40000,0.001,10000,1,3,100,23,0.23,1000,141,0.141,100,41,0.41,1000,135,0.135
decoded,40000,0.001,10000,1,5,100,8,0.08,1000,37,0.037,100,23,0.23,1000,48,0.048
decoded,40000,0.001,20000,0,1,100,35,0.35,1000,253,0.253,100,50,0.5,1000,249,0.249
decoded,40000,0.001,20000,0,10,100,0,0.0,1000,0,0.0,100,0,0.0,1000,0,0.0
decoded,40000,0.001,20000,0,20,100,0,0.0,1000,0,0.0,100,0,0.0,1000,0,0.0
decoded,40000,0.001,20000,0,3,100,5,0.05,1000,36,0.036,100,19,0.19,1000,38,0.038
decoded,40000,0.001,20000,0,5,100,1,0.01,1000,3,0.003,100,6,0.06,1000,6,0.006
decoded,40000,0.001,20000,1,1,100,35,0.35,1000,253,0.253,100,50,0.5,1000,249,0.249
decoded,40000,0.001,20000,1,10,100,0,0.0,1000,0,0.0,100,0,0.0,1000,1,0.001
decoded,40000,0.001,20000,1,20,100,0,0.0,1000,0,0.0,100,0,0.0,1000,0,0.0
decoded,40000,0.001,20000,1,3,100,5,0.05,1000,40,0.04,100,19,0.19,1000,42,0.042
decoded,40000,0.001,20000,1,5,100,1,0.01,1000,6,0.006,100,6,0.06,1000,6,0.006
decoded,40000,0.001,50000,0,1,100,30,0.3,1000,159,0.159,100,44,0.44,1000,157,0.157
decoded,40000,0.001,50000,0,10,100,0,0.0,1000,0,0.0,100,0,0.0,1000,0,0.0
decoded,40000,0.001,50000,0,20,100,0,0.0,1000,0,0.0,100,0,0.0,1000,0,0.0
decoded,40000,0.001,50000,0,3,100,2,0.02,1000,3,0.003,100,1,0.01,1000,1,0.001
decoded,40000,0.001,50000,0,5,100,0,0.0,1000,0,0.0,100,0,0.0,1000,0,0.0
decoded,40000,0.001,50000,1,1,100,30,0.3,1000,159,0.159,100,44,0.44,1000,157,0.157
decoded,40000,0.001,50000,1,10,100,0,0.0,1000,0,0.0,100,0,0.0,1000,0,0.0
decoded,40000,0.001,50000,1,20,100,0,0.0,1000,0,0.0,100,0,0.0,1000,0,0.0
decoded,40000,0.001,50000,1,3,100,2,0.02,1000,3,0.003,100,1,0.01,1000,2,0.002
decoded,40000,0.001,50000,1,5,100,0,0.0,1000,0,0.0,100,0,0.0,1000,0,0.0
decoded,40000,0.01,10000,0,1,100,95,0.95,1000,913,0.913,100,93,0.93,1000,931,0.931
decoded,40000,0.01,10000,0,10,100,21,0.21,1000,106,0.106,100,23,0.23,1000,107,0.107
decoded,40000,0.01,10000,0,20,100,4,0.04,1000,2,0.002,100,3,0.03,1000,5,0.005
decoded,40000,0.01,10000,0,3,100,86,0.86,1000,747,0.747,100,86,0.86,1000,773,0.773
decoded,40000,0.01,10000,0,5,100,59,0.59,1000,462,0.462,100,60,0.6,1000,479,0.479
decoded,40000,0.01,10000,1,1,100,95,0.95,1000,913,0.913,100,93,0.93,1000,931,0.931
decoded,40000,0.01,10000,1,10,100,23,0.23,1000,121,0.121,100,26,0.26,1000,115,0.115
decoded,40000,0.01,10000,1,20,100,4,0.04,1000,3,0.003,100,5,0.05,1000,8,0.008
decoded,40000,0.01,10000,1,3,100,86,0.86,1000,758,0.758,100,86,0.86,1000,779,0.779
decoded,40000,0.01,10000,1,5,100,61,0.61,1000,483,0.483,100,60,0.6,1000,502,0.502
decoded,40000,0.01,20000,0,1,100,94,0.94,1000,888,0.888,100,93,0.93,1000,908,0.908
decoded,40000,0.01,20000,0,10,100,6,0.06,1000,2,0.002,100,6,0.06,1000,5,0.005
decoded,40000,0.01,20000,0,20,100,0,0.0,1000,0,0.0,100,0,0.0,1000,0,0.0
decoded,40000,0.01,20000,0,3,100,56,0.56,1000,423,0.423,100,58,0.58,1000,440,0.44
decoded,40000,0.01,20000,0,5,100,25,0.25,1000,145,0.145,100,26,0.26,1000,134,0.134
decoded,40000,0.01,20000,1,1,100,94,0.94,1000,888,0.888,100,93,0.93,1000,908,0.908
decoded,40000,0.01,20000,1,10,100,6,0.06,1000,4,0.004,100,6,0.06,1000,12,0.012
decoded,40000,0.01,20000,1,20,100,0,0.0,1000,0,0.0,100,0,0.0,1000,0,0.0
decoded,40000,0.01,20000,1,3,100,59,0.59,1000,452,0.452,100,63,0.63,1000,462,0.462
decoded,40000,0.01,20000,1,5,100,27,0.27,1000,164,0.164,100,31,0.31,1000,149,0.149
decoded,40000,0.01,50000,0,1,100,84,0.84,1000,767,0.767,100,85,0.85,1000,794,0.794
decoded,40000,0.01,50000,0,10,100,0,0.0,1000,0,0.0,100,0,0.0,1000,0,0.0
decoded,40000,0.01,50000,0,20,100,0,0.0,1000,0,0.0,100,0,0.0,1000,0,0.0
decoded,40000,0.01,50000,0,3,100,15,0.15,1000,67,0.067,100,20,0.2,1000,64,0.064
decoded,40000,0.01,50000,0,5,100,3,0.03,1000,1,0.001,100,3,0.03,1000,4,0.004
decoded,40000,0.01,50000,1,1,100,84,0.84,1000,767,0.767,100,85,0.85,1000,794,0.794
decoded,40000,0.01,50000,1,10,100,0,0.0,1000,0,0.0,100,0,0.0,1000,0,0.0
decoded,40000,0.01,50000,1,20,100,0,0.0,1000,0,0.0,100,0,0.0,1000,0,0.0
decoded,40000,0.01,50000,1,3,100,18,0.18,1000,86,0.086,100,23,0.23,1000,75,0.075
decoded,40000,0.01,50000,1,5,100,3,0.03,1000,2,0.002,100,3,0.03,1000,7,0.007
decoded,40000,0.05,10000,0,1,100,100,1.0,1000,1000,1.0,100,100,1.0,1000,1000,1.0
decoded,40000,0.05,10000,0,10,100,75,0.75,1000,586,0.586,100,68,0.68,1000,600,0.6
decoded,40000,0.05,10000,0,20,100,20,0.2,1000,91,0.091,100,23,0.23,1000,82,0.082
decoded,40000,0.05,10000,0,3,100,100,1.0,1000,998,0.998,100,100,1.0,1000,999,0.999
decoded,40000,0.05,10000,0,5,100,99,0.99,1000,963,0.963,100,96,0.96,1000,974,0.974
decoded,40000,0.05,10000,1,1,100,100,1.0,1000,1000,1.0,100,100,1.0,1000,1000,1.0
decoded,40000,0.05,10000,1,10,100,80,0.8,1000,631,0.631,100,73,0.73,1000,648,0.648
decoded,40000,0.05,10000,1,20,100,25,0.25,1000,114,0.114,100,27,0.27,1000,102,0.102
decoded,40000,0.05,10000,1,3,100,100,1.0,1000,998,0.998,100,100,1.0,1000,999,0.999
decoded,40000,0.05,10000,1,5,100,100,1.0,1000,969,0.969,100,97,0.97,1000,977,0.977
decoded,40000,0.05,20000,0,1,100,100,1.0,1000,1000,1.0,100,100,1.0,1000,1000,1.0
decoded,40000,0.05,20000,0,10,100,24,0.24,1000,120,0.12,100,26,0.26,1000,107,0.107
decoded,40000,0.05,20000,0,20,100,0,0.0,1000,3,0.003,100,0,0.0,1000,2,0.002
decoded,40000,0.05,20000,0,3,100,99,0.99,1000,948,0.948,100,97,0.97,1000,954,0.954
decoded,40000,0.05,20000,0,5,100,80,0.8,1000,665,0.665,100,72,0.72,1000,680,0.68
decoded,40000,0.05,20000,1,1,100,100,1.0,1000,1000,1.0,100,100,1.0,1000,1000,1.0
decoded,40000,0.05,20000,1,10,100,27,0.27,1000,166,0.166,100,30,0.3,1000,137,0.137
decoded,40000,0.05,20000,1,20,100,2,0.02,1000,9,0.009,100,2,0.02,1000,4,0.004
decoded,40000,0.05,20000,1,3,100,99,0.99,1000,957,0.957,100,97,0.97,1000,965,0.965
decoded,40000,0.05,20000,1,5,100,83,0.83,1000,711,0.711,100,75,0.75,1000,743,0.743
decoded,40000,0.05,50000,0,1,100,100,1.0,1000,998,0.998,100,100,1.0,1000,1000,1.0
decoded,40000,0.05,50000,0,10,100,1,0.01,1000,2,0.002,100,0,0.0,1000,2,0.002
decoded,40000,0.05,50000,0,20,100,0,0.0,1000,0,0.0,100,0,0.0,1000,0,0.0
decoded,40000,0.05,50000,0,3,100,65,0.65,1000,473,0.473,100,54,0.54,1000,487,0.487
decoded,40000,0.05,50000,0,5,100,19,0.19,1000,88,0.088,100,16,0.16,1000,73,0.073
decoded,40000,0.05,50000,1,1,100,100,1.0,1000,998,0.998,100,100,1.0,1000,1000,1.0
decoded,40000,0.05,50000,1,10,100,2,0.02,1000,3,0.003,100,2,0.02,1000,4,0.004
decoded,40000,0.05,50000,1,20,100,0,0.0,1000,0,0.0,100,0,0.0,1000,0,0.0
decoded,40000,0.05,50000,1,3,100,74,0.74,1000,550,0.55,100,60,0.6,1000,563,0.563
decoded,40000,0.05,50000,1,5,100,24,0.24,1000,132,0.132,100,26,0.26,1000,117,0.117
decoded,5000,0.001,10000,0,1,100,14,0.14,1000,114,0.114,100,23,0.23,1000,139,0.139
decoded,5000,0.001,10000,0,10,100,6,0.06,1000,30,0.03,100,7,0.07,1000,32,0.032
decoded,5000,0.001,10000,0,20,100,2,0.02,1000,6,0.006,100,3,0.03,1000,5,0.005
decoded,5000,0.001,10000,0,3,100,11,0.11,1000,80,0.08,100,13,0.13,1000,81,0.081
decoded,5000,0.001,10000,0,5,100,9,0.09,1000,62,0.062,100,10,0.1,1000,57,0.057
decoded,5000,0.001,10000,1,1,100,14,0.14,1000,114,0.114,100,23,0.23,1000,139,0.139
decoded,5000,0.001,10000,1,10,100,7,0.07,1000,35,0.035,100,7,0.07,1000,32,0.032
decoded,5000,0.001,10000,1,20,100,2,0.02,1000,8,0.008,100,3,0.03,1000,6,0.006
decoded,5000,0.001,10000,1,3,100,11,0.11,1000,81,0.081,100,14,0.14,1000,85,0.085
decoded,5000,0.001,10000,1,5,100,9,0.09,1000,65,0.065,100,10,0.1,1000,60,0.06
decoded,5000,0.001,20000,0,1,100,12,0.12,1000,100,0.1,100,20,0.2,1000,127,0.127
decoded,5000,0.001,20000,0,10,100,2,0.02,1000,7,0.007,100,3,0.03,1000,6,0.006
decoded,5000,0.001,20000,0,20,100,0,0.0,1000,0,0.0,100,0,0.0,1000,0,0.0
decoded,5000,0.001,20000,0,3,100,9,0.09,1000,61,0.061,100,8,0.08,1000,53,0.053
decoded,5000,0.001,20000,0,5,100,7,0.07,1000,36,0.036,100,7,0.07,1000,32,0.032
decoded,5000,0.001,20000,1,1,100,12,0.12,1000,100,0.1,100,20,0.2,1000,127,0.127
decoded,5000,0.001,20000,1,10,100,2,0.02,1000,9,0.009,100,3,0.03,1000,8,0.008
decoded,5000,0.001,20000,1,20,100,0,0.0,1000,0,0.0,100,0,0.0,1000,0,0.0
decoded,5000,0.001,20000,1,3,100,9,0.09,1000,65,0.065,100,11,0.11,1000,55,0.055
decoded,5000,0.001,20000,1,5,100,8,0.08,1000,38,0.038,100,7,0.07,1000,34,0.034
decoded,5000,0.001,50000,0,1,100,12,0.12,1000,84,0.084,100,15,0.15,1000,95,0.095
decoded,5000,0.001,50000,0,10,100,0,0.0,1000,0,0.0,100,0,0.0,1000,0,0.0
decoded,5000,0.001,50000,0,20,100,0,0.0,1000,0,0.0,100,0,0.0,1000,0,0.0
decoded,5000,0.001,50000,0,3,100,6,0.06,1000,24,0.024,100,6,0.06,1000,19,0.019
decoded,5000,0.001,50000,0,5,100,1,0.01,1000,7,0.007,100,1,0.01,1000,2,0.002
decoded,5000,0.001,50000,1,1,100,12,0.12,1000,84,0.084,100,15,0.15,1000,95,0.095
decoded,5000,0.001,50000,1,10,100,1,0.01,1000,0,0.0,100,0,0.0,1000,0,0.0
decoded,5000,0.001,50000,1,20,100,0,0.0,1000,0,0.0,100,0,0.0,1000,0,0.0
decoded,5000,0.001,50000,1,3,100,6,0.06,1000,25,0.025,100,6,0.06,1000,20,0.02
decoded,5000,0.001,50000,1,5,100,2,0.02,1000,8,0.008,100,1,0.01,1000,2,0.002
decoded,5000,0.01,10000,0,1,100,71,0.71,1000,552,0.552,100,72,0.72,1000,569,0.569
decoded,5000,0.01,10000,0,10,100,33,0.33,1000,262,0.262,100,38,0.38,1000,253,0.253
decoded,5000,0.01,10000,0,20,100,16,0.16,1000,100,0.1,100,23,0.23,1000,107,0.107
decoded,5000,0.01,10000,0,3,100,52,0.52,1000,451,0.451,100,62,0.62,1000,452,0.452
decoded,5000,0.01,10000,0,5,100,47,0.47,1000,389,0.389,100,56,0.56,1000,378,0.378
decoded,5000,0.01,10000,1,1,100,71,0.71,1000,552,0.552,100,72,0.72,1000,569,0.569
decoded,5000,0.01,10000,1,10,100,33,0.33,1000,277,0.277,100,41,0.41,1000,271,0.271
decoded,5000,0.01,10000,1,20,100,16,0.16,1000,116,0.116,100,25,0.25,1000,116,0.116
decoded,5000,0.01,10000,1,3,100,55,0.55,1000,462,0.462,100,62,0.62,1000,463,0.463
decoded,5000,0.01,10000,1,5,100,51,0.51,1000,408,0.408,100,58,0.58,1000,395,0.395
decoded,5000,0.01,20000,0,1,100,68,0.68,1000,529,0.529,100,69,0.69,1000,532,0.532
decoded,5000,0.01,20000,0,10,100,18,0.18,1000,121,0.121,100,27,0.27,1000,120,0.12
decoded,5000,0.01,20000,0,20,100,2,0.02,1000,4,0.004,100,3,0.03,1000,7,0.007
decoded,5000,0.01,20000,0,3,100,48,0.48,1000,384,0.384,100,55,0.55,1000,371,0.371
decoded,5000,0.01,20000,0,5,100,36,0.36,1000,289,0.289,100,39,0.39,1000,276,0.276
decoded,5000,0.01,20000,1,1,100,68,0.68,1000,529,0.529,100,69,0.69,1000,532,0.532
decoded,5000,0.01,20000,1,10,100,20,0.2,1000,133,0.133,100,29,0.29,1000,130,0.13
decoded,5000,0.01,20000,1,20,100,2,0.02,1000,5,0.005,100,3,0.03,1000,11,0.011
decoded,5000,0.01,20000,1,3,100,49,0.49,1000,395,0.395,100,56,0.56,1000,380,0.38
decoded,5000,0.01,20000,1,5,100,37,0.37,1000,306,0.306,100,43,0.43,1000,291,0.291
decoded,5000,0.01,50000,0,1,100,62,0.62,1000,477,0.477,100,65,0.65,1000,471,0.471
decoded,5000,0.01,50000,0,10,100,2,0.02,1000,0,0.0,100,1,0.01,1000,4,0.004
decoded,5000,0.01,50000,0,20,100,0,0.0,1000,0,0.0,100,0,0.0,1000,0,0.0
decoded,5000,0.01,50000,0,3,100,30,0.3,1000,238,0.238,100,38,0.38,1000,229,0.229
decoded,5000,0.01,50000,0,5,100,16,0.16,1000,89,0.089,100,19,0.19,1000,93,0.093
decoded,5000,0.01,50000,1,1,100,62,0.62,1000,477,0.477,100,65,0.65,1000,471,0.471
decoded,5000,0.01,50000,1,10,100,2,0.02,1000,1,0.001,100,1,0.01,1000,5,0.005
decoded,5000,0.01,50000,1,20,100,0,0.0,1000,0,0.0,100,0,0.0,1000,1,0.001
decoded,5000,0.01,50000,1,3,100,33,0.33,1000,255,0.255,100,40,0.4,1000,247,0.247
decoded,5000,0.01,50000,1,5,100,17,0.17,1000,97,0.097,100,20,0.2,1000,98,0.098
decoded,5000,0.05,10000,0,1,100,96,0.96,1000,964,0.964,100,99,0.99,1000,969,0.969
decoded,5000,0.05,10000,0,10,100,83,0.83,1000,758,0.758,100,89,0.89,1000,753,0.753
decoded,5000,0.05,10000,0,20,100,54,0.54,1000,492,0.492,100,63,0.63,1000,478,0.478
decoded,5000,0.05,10000,0,3,100,95,0.95,1000,924,0.924,100,98,0.98,1000,929,0.929
decoded,5000,0.05,10000,0,5,100,94,0.94,1000,888,0.888,100,96,0.96,1000,882,0.882
decoded,5000,0.05,10000,1,1,100,96,0.96,1000,964,0.964,100,99,0.99,1000,969,0.969
decoded,5000,0.05,10000,1,10,100,86,0.86,1000,782,0.782,100,89,0.89,1000,775,0.775
decoded,5000,0.05,10000,1,20,100,55,0.55,1000,514,0.514,100,64,0.64,1000,510,0.51
decoded,5000,0.05,10000,1,3,100,96,0.96,1000,928,0.928,100,98,0.98,1000,932,0.932
decoded,5000,0.05,10000,1,5,100,95,0.95,1000,894,0.894,100,96,0.96,1000,892,0.892
decoded,5000,0.05,20000,0,1,100,96,0.96,1000,957,0.957,100,98,0.98,1000,959,0.959
decoded,5000,0.05,20000,0,10,100,55,0.55,1000,524,0.524,100,67,0.67,1000,517,0.517
decoded,5000,0.05,20000,0,20,100,14,0.14,1000,98,0.098,100,15,0.15,1000,93,0.093
decoded,5000,0.05,20000,0,3,100,95,0.95,1000,880,0.88,100,95,0.95,1000,887,0.887
decoded,5000,0.05,20000,0,5,100,86,0.86,1000,786,0.786,100,89,0.89,1000,782,0.782
decoded,5000,0.05,20000,1,1,100,96,0.96,1000,957,0.957,100,98,0.98,1000,959,0.959
decoded,5000,0.05,20000,1,10,100,58,0.58,1000,548,0.548,100,70,0.7,1000,539,0.539
decoded,5000,0.05,20000,1,20,100,18,0.18,1000,109,0.109,100,15,0.15,1000,111,0.111
decoded,5000,0.05,20000,1,3,100,95,0.95,1000,887,0.887,100,96,0.96,1000,894,0.894
decoded,5000,0.05,20000,1,5,100,87,0.87,1000,808,0.808,100,90,0.9,1000,803,0.803
decoded,5000,0.05,50000,0,1,100,95,0.95,1000,934,0.934,100,99,0.99,1000,939,0.939
decoded,5000,0.05,50000,0,10,100,10,0.1,1000,56,0.056,100,10,0.1,1000,54,0.054
decoded,5000,0.05,50000,0,20,100,0,0.0,1000,1,0.001,100,0,0.0,1000,3,0.003
decoded,5000,0.05,50000,0,3,100,78,0.78,1000,723,0.723,100,83,0.83,1000,712,0.712
decoded,5000,0.05,50000,0,5,100,50,0.5,1000,432,0.432,100,60,0.6,1000,421,0.421
decoded,5000,0.05,50000,1,1,100,95,0.95,1000,934,0.934,100,99,0.99,1000,939,0.939
decoded,5000,0.05,50000,1,10,100,14,0.14,1000,72,0.072,100,12,0.12,1000,69,0.069
decoded,5000,0.05,50000,1,20,100,0,0.0,1000,3,0.003,100,0,0.0,1000,4,0.004
decoded,5000,0.05,50000,1,3,100,81,0.81,1000,743,0.743,100,85,0.85,1000,732,0.732
decoded,5000,0.05,50000,1,5,100,50,0.5,1000,454,0.454,100,65,0.65,1000,455,0.455
decoded,50000,0.001,10000,0,1,100,42,0.42,1000,342,0.342,100,57,0.57,1000,326,0.326
decoded,50000,0.001,10000,0,10,100,0,0.0,1000,3,0.003,100,3,0.03,1000,3,0.003
decoded,50000,0.001,10000,0,20,100,0,0.0,1000,0,0.0,100,0,0.0,1000,0,0.0
decoded,50000,0.001,10000,0,3,100,22,0.22,1000,108,0.108,100,39,0.39,1000,111,0.111
decoded,50000,0.001,10000,0,5,100,7,0.07,1000,31,0.031,100,17,0.17,1000,34,0.034
decoded,50000,0.001,10000,1,1,100,42,0.42,1000,342,0.342,100,57,0.57,1000,326,0.326
decoded,50000,0.001,10000,1,10,100,0,0.0,1000,4,0.004,100,4,0.04,1000,3,0.003
decoded,50000,0.001,10000,1,20,100,0,0.0,1000,0,0.0,100,0,0.0,1000,0,0.0
decoded,50000,0.001,10000,1,3,100,22,0.22,1000,112,0.112,100,39,0.39,1000,114,0.114
decoded,50000,0.001,10000,1,5,100,8,0.08,1000,34,0.034,100,19,0.19,1000,43,0.043
decoded,50000,0.001,20000,0,1,100,37,0.37,1000,282,0.282,100,53,0.53,1000,273,0.273
decoded,50000,0.001,20000,0,10,100,0,0.0,1000,0,0.0,100,0,0.0,1000,0,0.0
decoded,50000,0.001,20000,0,20,100,0,0.0,1000,0,0.0,100,0,0.0,1000,0,0.0
decoded,50000,0.001,20000,0,3,100,5,0.05,1000,28,0.028,100,12,0.12,1000,31,0.031
decoded,50000,0.001,20000,0,5,100,0,0.0,1000,3,0.003,100,3,0.03,1000,5,0.005
decoded,50000,0.001,20000,1,1,100,37,0.37,1000,282,0.282,100,53,0.53,1000,273,0.273
decoded,50000,0.001,20000,1,10,100,0,0.0,1000,0,0.0,100,0,0.0,1000,0,0.0
decoded,50000,0.001,20000,1,20,100,0,0.0,1000,0,0.0,100,0,0.0,1000,0,0.0
decoded,50000,0.001,20000,1,3,100,7,0.07,1000,31,0.031,100,13,0.13,1000,36,0.036
decoded,50000,0.001,20000,1,5,100,1,0.01,1000,5,0.005,100,4,0.04,1000,6,0.006
decoded,50000,0.001,50000,0,1,100,25,0.25,1000,160,0.16,100,40,0.4,1000,164,0.164
decoded,50000,0.001,50000,0,10,100,0,0.0,1000,0,0.0,100,0,0.0,1000,0,0.0
decoded,50000,0.001,50000,0,20,100,0,0.0,1000,0,0.0,100,0,0.0,1000,0,0.0
decoded,50000,0.001,50000,0,3,100,1,0.01,1000,3,0.003,100,0,0.0,1000,2,0.002
decoded,50000,0.001,50000,0,5,100,0,0.0,1000,0,0.0,100,0,0.0,1000,0,0.0
decoded,50000,0.001,50000,1,1,100,25,0.25,1000,160,0.16,100,40,0.4,1000,164,0.164
decoded,50000,0.001,50000,1,10,100,0,0.0,1000,0,0.0,100,0,0.0,1000,0,0.0
decoded,50000,0.001,50000,1,20,100,0,0.0,1000,0,0.0,100,0,0.0,1000,0,0.0
decoded,50000,0.001,50000,1,3,100,2,0.02,1000,3,0.003,100,0,0.0,1000,2,0.002
decoded,50000,0.001,50000,1,5,100,0,0.0,1000,0,0.0,100,0,0.0,1000,0,0.0
decoded,50000,0.01,10000,0,1,100,96,0.96,1000,935,0.935,100,95,0.95,1000,950,0.95
decoded,50000,0.01,10000,0,10,100,19,0.19,1000,72,0.072,100,21,0.21,1000,69,0.069
decoded,50000,0.01,10000,0,20,100,4,0.04,1000,1,0.001,100,2,0.02,1000,5,0.005
decoded,50000,0.01,10000,0,3,100,85,0.85,1000,744,0.744,100,82,0.82,1000,751,0.751
decoded,50000,0.01,10000,0,5,100,58,0.58,1000,434,0.434,100,54,0.54,1000,444,0.444
decoded,50000,0.01,10000,1,1,100,96,0.96,1000,935,0.935,100,95,0.95,1000,950,0.95
decoded,50000,0.01,10000,1,10,100,20,0.2,1000,90,0.09,100,24,0.24,1000,81,0.081
decoded,50000,0.01,10000,1,20,100,4,0.04,1000,2,0.002,100,2,0.02,1000,6,0.006
decoded,50000,0.01,10000,1,3,100,86,0.86,1000,759,0.759,100,83,0.83,1000,762,0.762
decoded,50000,0.01,10000,1,5,100,61,0.61,1000,460,0.46,100,57,0.57,1000,469,0.469
decoded,50000,0.01,20000,0,1,100,95,0.95,1000,911,0.911,100,93,0.93,1000,926,0.926
decoded,50000,0.01,20000,0,10,100,4,0.04,1000,2,0.002,100,3,0.03,1000,6,0.006
decoded,50000,0.01,20000,0,20,100,0,0.0,1000,0,0.0,100,0,0.0,1000,0,0.0
decoded,50000,0.01,20000,0,3,100,57,0.57,1000,394,0.394,100,55,0.55,1000,417,0.417
decoded,50000,0.01,20000,0,5,100,23,0.23,1000,114,0.114,100,24,0.24,1000,100,0.1
decoded,50000,0.01,20000,1,1,100,95,0.95,1000,911,0.911,100,93,0.93,1000,926,0.926
decoded,50000,0.01,20000,1,10,100,4,0.04,1000,6,0.006,100,4,0.04,1000,7,0.007
decoded,50000,0.01,20000,1,20,100,0,0.0,1000,0,0.0,100,0,0.0,1000,0,0.0
decoded,50000,0.01,20000,1,3,100,60,0.6,1000,424,0.424,100,60,0.6,1000,441,0.441
decoded,50000,0.01,20000,1,5,100,25,0.25,1000,128,0.128,100,27,0.27,1000,120,0.12
decoded,50000,0.01,50000,0,1,100,83,0.83,1000,786,0.786,100,82,0.82,1000,800,0.8
decoded,50000,0.01,50000,0,10,100,0,0.0,1000,0,0.0,100,0,0.0,1000,0,0.0
decoded,50000,0.01,50000,0,20,100,0,0.0,1000,0,0.0,100,0,0.0,1000,0,0.0
decoded,50000,0.01,50000,0,3,100,10,0.1,1000,58,0.058,100,18,0.18,1000,55,0.055
decoded,50000,0.01,50000,0,5,100,3,0.03,1000,0,0.0,100,1,0.01,1000,4,0.004
decoded,50000,0.01,50000,1,1,100,83,0.83,1000,786,0.786,100,82,0.82,1000,800,0.8
decoded,50000,0.01,50000,1,10,100,0,0.0,1000,0,0.0,100,0,0.0,1000,0,0.0
decoded,50000,0.01,50000,1,20,100,0,0.0,1000,0,0.0,100,0,0.0,1000,0,0.0
decoded,50000,0.01,50000,1,3,100,12,0.12,1000,75,0.075,100,21,0.21,1000,65,0.065
decoded,50000,0.01,50000,1,5,100,3,0.03,1000,1,0.001,100,1,0.01,1000,7,0.007
decoded,50000,0.05,10000,0,1,100,100,1.0,1000,1000,1.0,100,100,1.0,1000,1000,1.0
decoded,50000,0.05,10000,0,10,100,64,0.64,1000,528,0.528,100,68,0.68,1000,545,0.545
decoded,50000,0.05,10000,0,20,100,21,0.21,1000,72,0.072,100,19,0.19,1000,62,0.062
decoded,50000,0.05,10000,0,3,100,99,0.99,1000,998,0.998,100,99,0.99,1000,1000,1.0
decoded,50000,0.05,10000,0,5,100,98,0.98,1000,956,0.956,100,97,0.97,1000,970,0.97
decoded,50000,0.05,10000,1,1,100,100,1.0,1000,1000,1.0,100,100,1.0,1000,1000,1.0
decoded,50000,0.05,10000,1,10,100,69,0.69,1000,582,0.582,100,70,0.7,1000,606,0.606
decoded,50000,0.05,10000,1,20,100,25,0.25,1000,93,0.093,100,25,0.25,1000,81,0.081
decoded,50000,0.05,10000,1,3,100,100,1.0,1000,998,0.998,100,100,1.0,1000,1000,1.0
decoded,50000,0.05,10000,1,5,100,98,0.98,1000,964,0.964,100,98,0.98,1000,975,0.975
decoded,50000,0.05,20000,0,1,100,100,1.0,1000,1000,1.0,100,100,1.0,1000,1000,1.0
decoded,50000,0.05,20000,0,10,100,24,0.24,1000,94,0.094,100,24,0.24,1000,85,0.085
decoded,50000,0.05,20000,0,20,100,0,0.0,1000,3,0.003,100,0,0.0,1000,1,0.001
decoded,50000,0.05,20000,0,3,100,97,0.97,1000,949,0.949,100,97,0.97,1000,949,0.949
decoded,50000,0.05,20000,0,5,100,74,0.74,1000,611,0.611,100,75,0.75,1000,628,0.628
decoded,50000,0.05,20000,1,1,100,100,1.0,1000,1000,1.0,100,100,1.0,1000,1000,1.0
decoded,50000,0.05,20000,1,10,100,29,0.29,1000,128,0.128,100,28,0.28,1000,115,0.115
