# Gamma-SMC explicit haplotype pairs
# genotype_class	heterozygous
# n_pairs	29
12	13
14	15
26	27
32	33
38	39
42	43
62	63
66	67
80	81
82	83
84	85
86	87
94	95
100	101
102	103
104	105
114	115
116	117
120	121
138	139
140	141
146	147
162	163
164	165
172	173
176	177
178	179
182	183
186	187
